,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl%_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
70,Bressan,br  BRA,DF,Avaí,29,1993,20.6,19,7,12,6,1,9,23,39.1,14,25,19,6,22,41,82,0
71,Emanuel Brítez,ar  ARG,DF,Fortaleza,29,1992,20.0,48,32,28,18,2,31,45,68.9,14,23,10,13,30,78,77,0
72,Bruninho,br  BRA,"MF,FW",Juventude,21,2000,1.3,1,0,0,1,0,1,3,33.3,2,1,0,1,1,2,0,0
73,Bruno,br  BRA,MF,Bragantino,18,2003,0.4,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
74,Fabrício Bruno,br  BRA,DF,Flamengo,25,1996,13.0,13,6,12,1,0,6,11,54.5,5,3,3,0,10,23,52,0
75,Ricardo Bueno,br  BRA,FW,Juventude,34,1987,9.0,10,8,1,7,2,2,12,16.7,10,8,2,6,0,10,15,0
76,Vitor Bueno,br  BRA,"MF,FW",Atl Paranaense,27,1994,12.5,8,5,3,5,0,2,13,15.4,11,15,2,13,7,15,13,0
77,Busanello,br  BRA,DF,Juventude,23,1998,3.2,6,4,5,1,0,3,4,75.0,1,2,2,0,8,14,3,0
78,Fabricio Bustos,ar  ARG,DF,Internacional,25,1996,29.7,54,37,39,12,3,35,54,64.8,19,20,9,11,31,85,76,1
79,Nahuel Bustos,ar  ARG,FW,São Paulo,23,1998,3.2,3,2,0,3,0,1,3,33.3,2,2,0,2,0,3,0,0
80,Daniel Cabral,br  BRA,FW,Flamengo,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
81,Patric Cabral Lalau,br  BRA,DF,América (MG),32,1989,19.1,40,20,21,17,2,16,33,48.5,17,10,3,7,19,59,54,0
82,Raúl Cáceres,py  PAR,DF,América (MG),30,1991,18.0,35,19,19,10,6,20,45,44.4,25,17,7,10,17,52,28,0
83,Caetano,br  BRA,DF,Goiás,22,1999,24.6,32,19,24,7,1,15,28,53.6,13,26,21,5,37,69,111,0
84,Jonathan Cafu,br  BRA,"DF,MF",Cuiabá,30,1991,6.2,10,6,6,4,0,4,7,57.1,3,4,0,4,1,11,1,0
85,Rodrigo Caio,br  BRA,DF,Flamengo,28,1993,6.5,9,4,6,3,0,4,8,50.0,4,7,6,1,8,17,24,0
86,Calebe,br  BRA,"MF,FW",Atlético Mineiro,21,2000,2.9,10,7,3,6,1,4,7,57.1,3,2,1,1,3,13,1,0
87,Lucas Calegari,br  BRA,DF,Fluminense,19,2002,7.3,10,5,4,3,3,6,11,54.5,5,8,3,5,5,15,10,0
88,Jonathan Calleri,ar  ARG,FW,São Paulo,28,1993,31.3,20,12,1,9,10,8,19,42.1,11,18,2,16,5,25,48,0
89,Guilherme Camacho,br  BRA,MF,Santos,31,1990,18.1,58,26,28,26,4,29,59,49.2,30,29,13,16,18,76,26,0
90,Nathan Camargo,br  BRA,"MF,FW",Bragantino,16,2005,0.8,6,3,5,1,0,4,5,80.0,1,0,0,0,1,7,2,0
91,Camilo,br  BRA,MF,Cuiabá,22,1999,18.5,29,22,9,14,6,13,31,41.9,18,20,8,12,26,55,46,2
92,Camutanga,br  BRA,DF,Atl Goianiense,28,1993,0.8,2,2,1,1,0,2,5,40.0,3,0,0,0,2,4,2,0
93,Luan Cândido,br  BRA,DF,Bragantino,20,2001,29.2,34,21,18,14,2,22,47,46.8,25,21,9,12,32,66,85,0
94,Germán Cano,ar  ARG,FW,Fluminense,33,1988,34.2,17,6,6,8,3,9,25,36.0,16,11,3,8,8,25,24,0
95,Agustín Canobbio,uy  URU,FW,Atl Paranaense,23,1998,15.6,31,16,12,15,4,16,34,47.1,18,19,0,19,7,38,7,0
96,Víctor Cantillo,co  COL,MF,Corinthians,28,1993,10.2,21,12,10,8,3,12,25,48.0,13,11,4,7,12,33,17,0
97,Capixaba,br  BRA,"FW,MF",Juventude,25,1997,18.4,41,27,27,10,4,25,39,64.1,14,18,1,17,19,60,19,0
98,Juninho Capixaba,br  BRA,DF,Fortaleza,24,1997,32.3,77,38,38,26,13,37,75,49.3,38,30,4,26,66,143,80,0
99,Gabriel Carabajal,ar  ARG,"MF,FW",Santos,30,1991,5.5,5,4,3,2,0,1,8,12.5,7,8,1,7,3,8,5,0
100,Johnny Cardoso,us  USA,MF,Internacional,20,2001,15.7,39,22,16,18,5,18,49,36.7,31,23,10,13,39,78,30,0
101,Igor Cariús,br  BRA,"DF,MF",Cuiabá,28,1993,12.9,26,20,16,6,4,15,26,57.7,11,19,6,13,23,49,28,0
102,Joel Carli,ar  ARG,DF,Botafogo (RJ),35,1986,4.1,4,2,4,0,0,3,4,75.0,1,3,2,1,5,9,31,0
103,Ed Carlos,br  BRA,MF,Santos,20,2001,2.9,6,3,4,1,1,2,3,66.7,1,4,0,4,0,6,0,0
