,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
44,Rodrygo,"€ 144,231","€ 7,500,000","€ 7,500,000",F,21,Brazil,Real Madrid
45,Pau Torres,"€ 144,231","€ 7,500,000","€ 7,500,000",D,25,Spain,Villarreal
46,Óliver Torres,"€ 143,269","€ 7,450,000","€ 7,450,000",M,27,Spain,Sevilla
47,Sime Vrsaljko,"€ 140,962","€ 7,330,000","€ 7,330,000",D,30,Croatia,Atletico Madrid
48,Ronald Araújo,"€ 134,615","€ 7,000,000","€ 7,000,000",D,22,Uruguay,Barcelona
49,Nabil Fekir,"€ 132,692","€ 6,900,000","€ 6,900,000",F,28,France,Real Betis
50,Geoffrey Kondogbia,"€ 132,692","€ 6,900,000","€ 6,900,000",M,28,Central African Republic,Atletico Madrid
51,Vitolo,"€ 129,615","€ 6,740,000","€ 6,740,000",F,32,Spain,Getafe
52,Rodrigo de Paul,"€ 128,269","€ 6,670,000","€ 6,670,000",M,27,Argentina,Atletico Madrid
53,Héctor Bellerín,"€ 128,269","€ 6,670,000","€ 6,670,000",D,26,Spain,Real Betis
54,Vinicius Junior,"€ 128,269","€ 6,670,000","€ 6,670,000",F,21,Brazil,Real Madrid
55,Thomas Lemar,"€ 125,000","€ 6,500,000","€ 6,500,000",F,26,France,Atletico Madrid
56,Youssef En-Nesyri,"€ 123,462","€ 6,420,000","€ 6,420,000",F,24,Morocco,Sevilla
57,Suso,"€ 121,154","€ 6,300,000","€ 6,300,000",F,28,Spain,Sevilla
58,Samuel Umtiti,"€ 120,192","€ 6,250,000","€ 6,250,000",D,28,France,Barcelona
59,Ferran Torres,"€ 120,192","€ 6,250,000","€ 6,250,000",F,21,Spain,Barcelona
60,Papu Gómez,"€ 120,192","€ 6,250,000","€ 6,250,000",F,33,Argentina,Sevilla
61,Gonçalo Guedes,"€ 117,308","€ 6,100,000","€ 6,100,000",F,25,Portugal,Valencia
62,Héctor Herrera,"€ 115,385","€ 6,000,000","€ 6,000,000",M,31,Mexico,Atletico Madrid
63,Neto,"€ 115,385","€ 6,000,000","€ 6,000,000",K,32,Brazil,Barcelona
64,Martin Braithwaite,"€ 115,385","€ 6,000,000","€ 6,000,000",F,30,Denmark,Barcelona
