,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
416,Jason Shackell,eng  ENG,DF,Burnley,30,1983,38,38,3346,37.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
417,Luke Shaw,eng  ENG,"DF,MF",Manchester Utd,19,1995,16,15,1121,12.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
418,Ryan Shawcross,eng  ENG,DF,Stoke City,26,1987,32,32,2831,31.5,2,1,2,0,0,7,0,0.06,0.03,0.10,0.06,0.10
419,Jonjo Shelvey,eng  ENG,MF,Swansea City,22,1992,31,28,2449,27.2,3,5,2,1,1,9,1,0.11,0.18,0.29,0.07,0.26
420,Ollie Shenton,eng  ENG,MF,Stoke City,16,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
421,Steve Sidwell,eng  ENG,MF,Stoke City,31,1982,12,5,450,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
422,Gylfi Sigurðsson,is  ISL,"FW,MF",Swansea City,24,1989,32,32,2682,29.8,7,10,7,0,0,2,0,0.23,0.34,0.57,0.23,0.57
423,David Silva,es  ESP,"FW,MF",Manchester City,28,1986,32,32,2646,29.4,12,7,12,0,0,8,0,0.41,0.24,0.65,0.41,0.65
424,Jerome Sinclair,eng  ENG,FW,Liverpool,17,1996,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
425,Moussa Sissoko,fr  FRA,MF,Newcastle Utd,24,1989,34,34,3031,33.7,4,2,4,0,0,9,2,0.12,0.06,0.18,0.12,0.18
426,Martin Škrtel,sk  SVK,DF,Liverpool,29,1984,33,33,2970,33.0,1,0,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03
427,Chris Smalling,eng  ENG,DF,Manchester Utd,24,1989,25,21,1879,20.9,4,0,4,0,0,2,1,0.19,0.00,0.19,0.19,0.19
428,Robert Snodgrass,sco  SCO,"FW,MF",Hull City,26,1987,1,1,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
429,Roberto Soldado,es  ESP,FW,Tottenham,29,1985,24,7,804,8.9,1,1,1,0,1,1,0,0.11,0.11,0.22,0.11,0.22
430,Alex Song,cm  CMR,"DF,MF",West Ham,26,1987,28,25,2245,24.9,0,3,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12
431,Marvin Sordell,eng  ENG,FW,Burnley,23,1991,14,2,289,3.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
432,Pape Souaré,sn  SEN,DF,Crystal Palace,24,1990,9,7,605,6.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
433,Julián Speroni,ar  ARG,GK,Crystal Palace,35,1979,36,36,3204,35.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
434,Benjamin Stambouli,fr  FRA,"DF,MF",Tottenham,23,1990,12,4,459,5.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
435,Jed Steer,eng  ENG,GK,Aston Villa,21,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
436,Raheem Sterling,eng  ENG,"FW,MF",Liverpool,19,1994,35,34,3045,33.8,7,7,7,0,0,5,0,0.21,0.21,0.41,0.21,0.41
437,John Stones,eng  ENG,DF,Everton,20,1994,23,23,2043,22.7,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04
438,Daniel Sturridge,eng  ENG,"FW,MF",Liverpool,24,1989,12,7,752,8.4,4,1,4,0,0,0,0,0.48,0.12,0.60,0.48,0.60
439,Yun Suk-young,kr  KOR,"DF,MF",QPR,24,1990,23,19,1722,19.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
440,Ki Sung-yueng,kr  KOR,MF,Swansea City,25,1989,33,30,2689,29.9,8,1,8,0,0,4,0,0.27,0.03,0.30,0.27,0.30
441,Wojciech Szczęsny,pl  POL,GK,Arsenal,24,1990,17,17,1498,16.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
442,Adel Taarabt,ma  MAR,"FW,MF",QPR,25,1989,7,3,297,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
443,Dušan Tadić,rs  SRB,"FW,MF",Southampton,25,1988,31,24,2056,22.8,4,8,3,1,2,2,0,0.18,0.35,0.53,0.13,0.48
444,Matt Targett,eng  ENG,"DF,MF",Southampton,18,1995,6,3,226,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
445,Matthew Taylor,eng  ENG,"DF,MF",Burnley,32,1981,10,7,565,6.3,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16
446,Neil Taylor,wal  WAL,DF,Swansea City,25,1989,34,34,2998,33.3,0,2,0,0,0,9,0,0.00,0.06,0.06,0.00,0.06
447,Ryan Taylor,eng  ENG,"DF,MF",Newcastle Utd,29,1984,14,11,906,10.1,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10
448,Steven Taylor,eng  ENG,DF,Newcastle Utd,28,1986,10,7,653,7.3,1,0,1,0,0,3,1,0.14,0.00,0.14,0.14,0.14
449,Gary Taylor-Fletcher,eng  ENG,"FW,MF",Leicester City,33,1981,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
450,Dionatan Teixeira,br  BRA,DF,Stoke City,22,1992,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
451,John Terry,eng  ENG,DF,Chelsea,33,1980,38,38,3420,38.0,5,0,5,0,0,2,0,0.13,0.00,0.13,0.13,0.13
452,Jerome Thomas,eng  ENG,"FW,MF",Crystal Palace,31,1983,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
453,Tom Thorpe,eng  ENG,DF,Manchester Utd,21,1993,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
454,Dwight Tiendalli,nl  NED,DF,Swansea City,28,1985,3,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
455,Cheick Tioté,ci  CIV,MF,Newcastle Utd,28,1986,11,10,895,9.9,0,2,0,0,0,5,0,0.00,0.20,0.20,0.00,0.20
456,James Tomkins,eng  ENG,"DF,MF",West Ham,25,1989,22,20,1852,20.6,1,3,1,0,0,6,0,0.05,0.15,0.19,0.05,0.19
457,Kolo Touré,ci  CIV,DF,Liverpool,33,1981,11,7,667,7.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
458,Yaya Touré,ci  CIV,MF,Manchester City,31,1983,29,27,2353,26.1,10,2,8,2,2,5,0,0.38,0.08,0.46,0.31,0.38
459,Andros Townsend,eng  ENG,"FW,MF",Tottenham,23,1991,17,10,749,8.3,2,2,1,1,1,2,0,0.24,0.24,0.48,0.12,0.36
460,Armand Traoré,sn  SEN,"DF,MF",QPR,24,1989,16,7,786,8.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
461,Gerhard Tremmel,de  GER,GK,Swansea City,35,1978,2,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
462,Kieran Trippier,eng  ENG,"DF,MF",Burnley,23,1990,38,38,3415,37.9,0,4,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11
