,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving
416,Fernando Pacheco,es  ESP,GK,Alavés,29,1992,33.9,1120,929,1115,5,0,0,1120,0,0,,2,0,351,0
417,Jon Pacheco,es  ESP,DF,Real Sociedad,20,2001,4.2,271,46,170,98,3,1,271,0,0,,3,0,176,0
418,Helibelton Palacios,co  COL,DF,Elche,28,1993,21.5,1132,83,452,504,193,7,1132,27,35,77.1,15,10,603,22
419,Isaac Palazón Camacho,es  ESP,"FW,MF",Rayo Vallecano,26,1994,25.4,1261,28,160,567,552,48,1261,36,81,44.4,85,55,848,105
420,Daniel Parejo,es  ESP,MF,Villarreal,32,1989,30.0,2350,62,429,1357,579,18,2349,25,33,75.8,27,23,1670,28
421,Raúl Parra,es  ESP,DF,Cádiz,21,1999,1.0,40,6,25,14,2,0,40,0,1,0.0,1,0,15,1
422,Javier Pastore,ar  ARG,"MF,FW",Elche,32,1989,5.8,337,3,57,166,118,17,337,8,14,57.1,10,11,268,28
423,Gabriel Paulista,br  BRA,DF,Valencia,30,1990,17.7,826,154,478,346,15,7,826,1,2,50.0,9,3,333,1
424,Alfonso Pedraza,es  ESP,DF,Villarreal,25,1996,18.9,1229,59,323,448,472,74,1229,31,61,50.8,42,19,737,92
425,Pedri,es  ESP,MF,Barcelona,18,2002,9.8,698,10,84,354,268,21,698,15,19,78.9,14,17,538,39
426,Pedrosa,es  ESP,DF,Espanyol,23,1998,30.2,1623,124,544,633,469,48,1623,48,82,58.5,61,26,911,63
427,Facundo Pellistri,uy  URU,"MF,FW",Alavés,19,2001,7.5,253,7,49,107,105,18,253,11,26,42.3,24,13,156,24
428,Rubén Peña,es  ESP,"MF,FW",Villarreal,30,1991,1.5,74,2,15,36,24,5,74,2,5,40.0,2,6,48,9
429,Alberto Perea,es  ESP,MF,Cádiz,30,1990,8.6,498,9,62,201,244,17,498,29,53,54.7,29,18,338,32
430,Victor Perea,es  ESP,DF,Espanyol,21,2000,0.0,3,0,2,1,0,0,3,0,0,,0,0,1,0
431,Iñigo Pérez,es  ESP,MF,Osasuna,33,1988,3.8,172,5,20,77,77,4,172,0,3,0.0,0,3,113,13
432,Juan Pérez,es  ESP,GK,Osasuna,25,1996,2.0,44,38,44,0,0,0,44,0,0,,0,0,17,0
433,Kike Pérez,es  ESP,"MF,FW",Elche,24,1997,5.8,315,7,50,152,118,12,315,9,14,64.3,17,11,225,17
434,Njegoš Petrović,rs  SRB,MF,Granada,22,1999,10.2,442,20,93,272,85,7,442,10,16,62.5,11,6,253,11
435,Alex Petxa,es  ESP,"DF,MF",Athletic Club,24,1997,4.6,323,12,84,168,73,4,323,3,9,33.3,9,3,180,3
436,Germán Pezzella,ar  ARG,DF,Betis,30,1991,22.1,1278,178,755,496,33,28,1278,3,3,100.0,3,1,798,4
437,Pablo Piatti,ar  ARG,"MF,FW",Elche,32,1989,3.5,139,3,30,51,59,5,139,2,5,40.0,10,4,90,14
438,Cristiano Piccini,it  ITA,DF,Valencia,28,1992,3.6,182,15,67,78,40,4,182,9,10,90.0,4,2,70,3
439,Tomás Pina Isla,es  ESP,MF,Alavés,33,1987,16.0,721,37,181,430,117,13,721,4,7,57.1,13,6,380,11
440,Orbelín Pineda,mx  MEX,"MF,FW",Celta Vigo,25,1996,1.1,82,1,19,33,33,5,82,1,2,50.0,2,3,56,5
441,Yeremi Pino,es  ESP,"MF,FW",Villarreal,18,2002,18.6,785,14,105,263,428,98,785,25,56,44.6,65,23,547,95
442,Gerard Piqué,es  ESP,DF,Barcelona,34,1987,23.2,1902,219,823,1024,59,29,1902,6,6,100.0,8,3,1320,4
443,Ezequiel Ponce,ar  ARG,FW,Elche,24,1997,7.4,248,6,23,132,95,28,248,14,25,56.0,22,20,179,40
444,Pere Pons,es  ESP,MF,Alavés,28,1993,15.2,504,17,96,285,128,26,504,4,8,50.0,35,10,299,47
445,Portu,es  ESP,"FW,MF",Real Sociedad,29,1992,17.7,648,9,73,250,333,86,647,9,18,50.0,34,19,455,119
446,Sergio Postigo,es  ESP,DF,Levante,32,1988,9.4,445,94,261,179,8,6,445,0,1,0.0,3,1,250,1
447,Darío Poveda,es  ESP,"FW,MF",Getafe,24,1997,4.2,137,2,7,64,68,5,137,7,13,53.8,21,7,96,23
448,José Pozo,es  ESP,"MF,DF",Rayo Vallecano,25,1996,0.8,66,1,10,28,29,4,66,0,2,0.0,2,2,47,7
449,Abdón Prats,es  ESP,FW,Mallorca,28,1992,7.1,228,5,20,108,102,27,228,7,11,63.6,17,21,157,31
450,Alejandro Primo,es  ESP,GK,Levante,17,2004,1.0,26,25,26,0,0,0,26,0,0,,0,0,15,0
451,Javi Puado,es  ESP,"MF,FW",Espanyol,23,1998,24.9,862,35,154,387,335,61,862,30,55,54.5,42,33,615,83
452,Pubill,es  ESP,"DF,MF",Levante,18,2003,5.7,331,9,82,130,121,13,331,4,10,40.0,15,3,196,11
453,Antonio Puertas,es  ESP,"MF,FW",Granada,29,1992,25.1,982,34,184,428,386,63,982,31,56,55.4,56,40,637,99
454,Riqui Puig,es  ESP,MF,Barcelona,21,1999,5.4,497,2,43,290,166,9,497,5,8,62.5,9,10,424,23
455,Yacine Qasmi,ma  MAR,FW,Rayo Vallecano,30,1991,0.0,4,0,0,2,2,0,4,0,0,,1,0,2,1
456,Quini,es  ESP,DF,Granada,31,1989,25.6,1242,99,444,507,302,26,1242,17,33,51.5,33,20,501,31
457,Uroš Račić,rs  SRB,MF,Valencia,23,1998,13.4,659,33,153,379,138,13,659,14,18,77.8,19,9,370,14
458,Nemanja Radoja,rs  SRB,MF,Levante,28,1993,13.5,597,40,181,343,84,7,597,11,16,68.8,22,20,362,21
459,Rafinha,br  BRA,MF,Real Sociedad,28,1993,11.7,847,14,135,481,245,19,847,18,36,50.0,26,22,582,24
460,Antonio Raillo,es  ESP,DF,Mallorca,29,1991,17.0,788,138,465,294,35,13,788,0,1,0.0,8,1,432,0
461,Ivan Rakitić,hr  CRO,MF,Sevilla,33,1988,24.2,1892,50,403,1064,435,25,1890,8,21,38.1,31,12,1316,52
462,Jonás Ramalho,es  ESP,DF,Osasuna,28,1993,2.7,161,11,50,91,21,1,161,0,2,0.0,3,1,90,4
463,Sandro Ramírez,es  ESP,FW,Getafe,26,1995,16.2,593,8,43,242,317,58,593,13,44,29.5,52,16,432,88
464,Raúl,es  ESP,"FW,DF",Betis,20,2000,0.0,1,0,0,0,1,0,1,0,0,,0,0,1,0
465,Lluís Recasens,es  ESP,DF,Espanyol,19,2002,0.5,15,5,9,6,0,0,15,0,0,,0,0,6,0
466,Manolo Reina,es  ESP,GK,Mallorca,36,1985,21.0,686,578,685,1,0,0,686,0,0,,1,0,216,0
467,Karim Rekik,nl  NED,DF,Sevilla,26,1994,12.2,862,61,395,395,81,13,862,5,8,62.5,17,5,632,8
468,Álex Remiro,es  ESP,GK,Real Sociedad,26,1995,35.0,1333,1198,1324,9,0,0,1333,0,0,,1,0,633,0
469,Nico Ribaudo,es  ESP,"MF,FW",Espanyol,20,2001,12.4,567,7,84,277,211,30,567,23,39,59.0,31,18,433,46
470,Diego Rico,es  ESP,DF,Real Sociedad,28,1993,18.3,1337,66,432,569,356,11,1337,12,29,41.4,26,7,717,23
471,Sergio Rico,es  ESP,GK,Mallorca,27,1993,14.0,383,325,382,1,0,0,383,0,0,,0,0,132,0
472,Luis Rioja,es  ESP,"MF,FW",Alavés,27,1993,34.6,1305,18,203,446,695,89,1305,70,130,53.8,99,51,803,120
473,Rober,es  ESP,DF,Levante,26,1995,22.3,1271,160,715,502,72,15,1271,5,6,83.3,16,3,746,5
474,Sergi Roberto,es  ESP,"MF,DF",Barcelona,29,1992,4.4,281,9,50,154,80,8,281,3,3,100.0,5,2,204,10
475,Rubén Rochina,es  ESP,"MF,FW",Granada,30,1991,8.3,486,10,69,260,168,4,486,14,19,73.7,26,16,329,25
476,Enzo Roco,cl  CHI,DF,Elche,28,1992,28.4,1433,215,843,554,44,18,1433,5,10,50.0,15,2,799,7
477,Rodrigo,es  ESP,FW,Betis,21,2000,9.8,506,10,69,233,212,31,506,16,26,61.5,14,11,400,50
478,Kévin Rodrigues,pt  POR,"DF,FW",Rayo Vallecano,27,1994,4.8,288,12,88,148,56,2,288,2,4,50.0,11,5,131,7
479,Ángel Rodríguez,es  ESP,"FW,MF",Mallorca,34,1987,17.2,442,17,56,198,198,62,442,13,23,56.5,45,21,286,82
480,Dani Rodríguez,es  ESP,"MF,FW",Mallorca,33,1988,31.5,1337,32,191,643,537,84,1337,60,100,60.0,88,81,865,110
481,Guido Rodríguez,ar  ARG,MF,Betis,27,1994,28.1,1778,105,585,1045,161,11,1778,18,27,66.7,25,17,1091,13
482,Rodrygo,br  BRA,FW,Real Madrid,20,2001,16.9,888,3,88,313,496,103,888,27,58,46.6,48,15,689,117
483,Leonardo Román,es  ESP,GK,Mallorca,21,2000,2.0,75,63,75,0,0,0,75,1,1,100.0,0,0,26,0
484,Iván Romero,es  ESP,FW,Sevilla,20,2001,2.0,56,0,1,26,29,7,56,3,9,33.3,6,6,43,14
485,Unai Ropero,es  ESP,MF,Alavés,19,2001,0.1,4,0,1,3,0,0,4,0,0,,1,1,4,2
486,Rubén,es  ESP,DF,Espanyol,20,2001,1.7,91,7,38,33,21,1,91,3,3,100.0,4,1,49,3
487,Aitor Ruibal,es  ESP,"FW,DF",Betis,25,1996,9.5,463,9,73,196,200,25,463,13,26,50.0,24,11,326,48
488,Isma Ruiz,es  ESP,MF,Granada,20,2001,3.1,149,3,33,94,24,3,149,2,2,100.0,1,1,92,3
489,Víctor Ruiz,es  ESP,DF,Betis,32,1989,15.8,1060,126,522,519,26,13,1060,1,2,50.0,13,1,668,2
490,Gerónimo Rulli,ar  ARG,GK,Villarreal,29,1992,32.0,1359,1012,1350,9,0,0,1359,1,1,100.0,3,1,680,0
491,Franco Russo,ar  ARG,DF,Mallorca,26,1994,16.3,813,120,419,366,37,18,813,5,6,83.3,8,3,423,4
492,Mathew Ryan,au  AUS,GK,Real Sociedad,29,1992,3.0,116,103,115,1,0,0,116,0,0,,0,0,44,0
493,Youssouf Sabaly,sn  SEN,DF,Betis,28,1993,8.8,587,36,184,260,149,10,587,6,13,46.2,22,7,373,17
494,Salvi,es  ESP,"MF,FW",Cádiz,30,1991,15.5,486,20,109,179,210,26,485,9,16,56.3,29,5,292,47
495,Fede San Emeterio,es  ESP,MF,Cádiz,24,1997,9.2,401,15,103,242,58,1,401,0,2,0.0,7,1,247,3
496,Oihan Sancet,es  ESP,FW,Athletic Club,21,2000,15.8,625,14,40,263,331,68,625,23,37,62.2,62,45,533,143
497,Antonio Sánchez,es  ESP,"MF,FW",Mallorca,24,1997,18.0,939,39,251,474,234,21,939,18,34,52.9,45,20,530,39
498,Germán Sánchez,es  ESP,DF,Granada,34,1986,25.5,1298,204,734,516,52,27,1298,0,2,0.0,2,1,707,5
499,Juan Sánchez,es  ESP,,Sevilla,17,2003,0.1,,,,,,,,,,,,,,
500,Manuel Sánchez,es  ESP,DF,Osasuna,20,2000,25.1,1396,52,339,606,464,36,1396,24,45,53.3,35,26,770,66
501,Oier Sanjurjo,es  ESP,MF,Osasuna,35,1986,8.4,389,13,58,220,112,9,389,2,3,66.7,9,5,244,21
502,Jesús Santiago,es  ESP,MF,Valencia,17,2004,0.9,41,2,6,25,10,0,41,0,1,0.0,2,1,20,1
503,Sergio Santos,es  ESP,DF,Real Madrid,20,2001,0.1,8,0,3,4,1,0,8,0,0,,0,0,7,0
504,Alvaro Sanz,es  ESP,MF,Barcelona,20,2001,0.3,14,0,3,6,5,0,14,0,1,0.0,0,0,11,0
505,Marcelo Saracchi,uy  URU,DF,Levante,23,1998,2.1,129,10,52,42,35,2,129,2,2,100.0,2,1,68,7
506,Joan Sastre Vanrell,es  ESP,DF,Mallorca,24,1997,2.9,135,14,57,53,25,1,135,3,5,60.0,2,2,71,4
507,Esteban Saveljich,me  MNE,DF,Rayo Vallecano,30,1991,18.9,760,101,433,313,17,12,760,0,1,0.0,3,2,433,1
508,Stefan Savić,me  MNE,DF,Atlético Madrid,30,1991,27.1,1642,154,755,826,70,25,1642,8,9,88.9,10,3,1049,5
509,Valentino Scotta,es  ESP,DF,Sevilla,19,2001,0.0,2,0,1,1,0,0,2,0,0,,0,1,0,0
510,Aleksandar Sedlar,rs  SRB,"DF,MF",Mallorca,29,1991,4.5,214,33,128,82,4,1,214,0,0,,3,0,119,0
511,Javier Serrano,es  ESP,MF,Atlético Madrid,18,2003,0.8,50,5,13,36,1,0,50,0,1,0.0,3,0,34,0
512,Nicolás Serrano,es  ESP,"MF,FW",Athletic Club,18,2003,3.5,179,5,29,75,80,11,179,4,7,57.1,15,2,122,14
513,Salva Sevilla,es  ESP,MF,Mallorca,37,1984,16.7,1118,27,232,638,266,8,1114,5,7,71.4,20,5,709,13
514,David Silva,es  ESP,MF,Real Sociedad,35,1986,19.1,1208,24,132,606,479,71,1208,29,44,65.9,37,28,950,104
515,Jonathan Silva,ar  ARG,"DF,FW",Getafe,27,1994,2.5,129,5,40,47,42,2,129,1,1,100.0,2,4,65,5
516,Rui Silva,pt  POR,GK,Betis,27,1994,21.8,778,658,774,4,0,0,778,0,0,,2,0,291,0
517,Giuliano Simeone,ar  ARG,MF,Atlético Madrid,18,2002,0.0,3,0,0,1,2,1,3,0,0,,0,0,2,2
518,Unai Simón,es  ESP,GK,Athletic Club,24,1997,34.0,981,832,977,4,0,0,981,0,0,,1,0,351,0
519,Antonio Sivera,es  ESP,GK,Alavés,24,1996,3.1,115,103,115,0,0,0,115,0,0,,0,0,29,0
520,Alex Sola,es  ESP,"DF,FW",Real Sociedad,22,1999,0.5,35,2,10,19,8,0,35,2,3,66.7,2,0,17,0
521,Augusto Solari,ar  ARG,"MF,DF",Celta Vigo,29,1992,7.9,548,11,106,246,201,19,548,9,20,45.0,17,14,329,26
522,Roberto Soldado,es  ESP,FW,Levante,36,1985,7.4,203,8,14,99,90,34,203,3,7,42.9,13,3,133,43
523,Carlos Soler,es  ESP,MF,Valencia,24,1997,27.5,1220,40,197,547,498,51,1213,19,38,50.0,39,13,668,66
524,Son,es  ESP,DF,Levante,27,1994,21.9,1242,56,397,515,346,32,1242,19,39,48.7,35,4,716,53
525,David Soria,es  ESP,GK,Getafe,28,1993,37.9,1261,1021,1256,5,0,0,1261,0,0,,2,0,397,0
526,Alberto Soro,es  ESP,"MF,FW",Granada,22,1999,6.4,258,6,59,95,107,19,258,6,11,54.5,18,14,152,27
527,Hugo Sotelo,es  ESP,FW,Celta Vigo,17,2003,0.0,1,0,1,0,0,0,1,0,0,,0,0,1,0
528,Damián Suárez,uy  URU,DF,Getafe,33,1988,30.1,1728,64,404,853,499,12,1728,15,42,35.7,40,14,854,44
529,Denis Suárez,es  ESP,MF,Celta Vigo,27,1994,31.3,2335,26,304,1421,639,35,2335,42,82,51.2,57,17,1653,58
530,Luis Suárez,uy  URU,FW,Atlético Madrid,34,1987,20.4,678,16,53,288,338,85,675,6,23,26.1,47,10,519,99
531,Mario Suárez,es  ESP,DF,Rayo Vallecano,34,1987,7.9,408,60,211,183,17,10,408,4,6,66.7,4,2,219,2
532,Suso,es  ESP,FW,Sevilla,27,1993,4.3,215,1,10,89,118,11,215,7,12,58.3,8,2,180,24
533,Alexander Sørloth,no  NOR,FW,Real Sociedad,25,1995,19.6,685,19,48,308,343,93,685,38,66,57.6,71,52,541,107
534,Tachi,es  ESP,DF,Alavés,23,1997,2.7,114,13,52,54,8,1,114,0,0,,2,0,47,0
535,Renato Tapia,pe  PER,MF,Celta Vigo,26,1995,15.7,1061,58,291,694,82,9,1061,6,15,40.0,11,13,613,5
536,Cristian Tello,es  ESP,FW,Betis,29,1991,9.1,482,7,61,185,239,34,482,10,27,37.0,14,13,347,60
537,Nahuel Tenaglia,ar  ARG,DF,Alavés,25,1996,11.9,630,43,250,263,120,8,630,7,11,63.6,14,6,235,6
538,Marc Tenas,es  ESP,"FW,MF",Alavés,20,2001,0.6,27,2,5,10,13,1,27,1,1,100.0,4,1,23,0
539,Marc-André ter Stegen,de  GER,GK,Barcelona,29,1992,35.0,1338,1100,1326,12,0,0,1338,2,2,100.0,0,0,802,0
540,David Timor,es  ESP,MF,Getafe,31,1989,3.8,205,8,38,132,39,1,205,1,2,50.0,1,5,121,4
541,Raúl de Tomás,es  ESP,FW,Espanyol,26,1994,32.4,1094,46,126,482,503,126,1089,50,72,69.4,87,60,877,166
542,Raúl Torrente,es  ESP,DF,Granada,19,2001,14.2,754,106,425,315,18,5,754,1,1,100.0,3,0,423,0
543,Ferrán Torres,es  ESP,FW,Barcelona,21,2000,15.7,762,11,58,300,411,86,761,13,37,35.1,45,20,636,129
544,Óliver Torres,es  ESP,"MF,FW",Sevilla,26,1994,11.2,768,10,130,431,221,23,768,15,26,57.7,17,21,586,37
545,Pau Torres,es  ESP,DF,Villarreal,24,1997,31.7,2251,224,1065,1090,117,34,2251,25,28,89.3,25,5,1561,8
546,Roberto Torres,es  ESP,"MF,FW",Osasuna,32,1989,9.0,505,6,73,211,227,11,503,5,12,41.7,12,5,325,30
547,Lucas Torró,es  ESP,MF,Osasuna,27,1994,30.3,1624,85,377,1012,253,38,1624,22,25,88.0,33,23,830,27
548,Adama Traoré,es  ESP,FW,Barcelona,25,1996,4.2,217,3,10,73,138,26,217,24,35,68.6,11,5,169,26
549,Óscar Trejo,ar  ARG,MF,Rayo Vallecano,33,1988,22.3,1352,17,129,742,513,52,1349,82,127,64.6,78,66,921,97
550,Manu Trigueros,es  ESP,"MF,FW",Villarreal,29,1991,24.2,1435,43,207,787,445,55,1435,8,15,53.3,35,27,1090,98
551,Kieran Trippier,eng  ENG,"DF,FW",Atlético Madrid,30,1990,10.8,848,24,222,386,245,6,848,7,12,58.3,9,4,552,29
552,Beñat Turrientes,es  ESP,MF,Real Sociedad,19,2002,2.3,111,2,12,59,43,4,111,7,11,63.6,2,3,80,5
553,Samuel Umtiti,fr  FRA,DF,Barcelona,27,1993,1.0,57,10,32,26,0,0,57,0,0,,0,0,35,0
554,Enes Ünal,tr  TUR,FW,Getafe,24,1997,31.1,1064,34,71,503,497,128,1060,25,48,52.1,109,55,804,125
555,Myrto Uzuni,al  ALB,"FW,MF",Granada,26,1995,9.5,334,16,66,126,149,31,334,9,22,40.9,29,9,179,28
556,Álvaro Vadillo,es  ESP,"DF,MF",Espanyol,26,1994,0.1,13,1,5,4,4,1,13,0,0,,0,0,10,1
557,Óscar Valentín,es  ESP,MF,Rayo Vallecano,26,1994,28.5,1657,84,445,1078,155,9,1657,16,20,80.0,34,11,927,7
558,Germán Valera,es  ESP,FW,Real Sociedad,19,2002,0.6,33,0,9,6,18,0,33,2,7,28.6,4,1,23,2
559,Martin Valjent,sk  SVK,DF,Mallorca,25,1995,35.3,1700,289,1044,614,51,10,1700,4,6,66.7,11,3,954,4
560,Jesús Vallejo,es  ESP,DF,Real Madrid,24,1997,3.8,265,61,172,82,13,2,265,2,4,50.0,0,0,170,0
561,Federico Valverde,uy  URU,MF,Real Madrid,23,1998,20.4,1370,32,216,711,469,40,1370,32,50,64.0,26,9,1033,59
562,José Luis García Vayá,es  ESP,MF,Levante,22,1998,22.4,1474,54,363,865,269,13,1474,13,20,65.0,25,10,983,20
563,Jesus Vazquez,es  ESP,DF,Valencia,18,2003,9.0,466,25,125,192,160,14,466,25,34,73.5,29,10,207,17
564,Kevin Vázquez,es  ESP,DF,Celta Vigo,28,1993,14.8,1030,41,260,492,287,15,1030,11,16,68.8,21,12,536,37
565,Lucas Vázquez,es  ESP,DF,Real Madrid,30,1991,20.4,1750,69,490,730,537,55,1750,18,31,58.1,36,19,1305,69
566,Gabriel Veiga,es  ESP,MF,Celta Vigo,19,2002,1.2,92,0,9,60,27,1,92,6,7,85.7,3,1,54,2
567,Unai Vencedor Paris,es  ESP,MF,Athletic Club,20,2000,26.5,1506,65,294,864,360,22,1506,25,30,83.3,25,22,1019,21
568,Gonzalo Verdú,es  ESP,DF,Elche,32,1988,15.5,844,125,507,327,11,4,844,0,0,,4,0,557,0
569,Mikel Vesga,es  ESP,MF,Athletic Club,28,1993,15.1,877,49,179,550,154,16,877,9,15,60.0,18,10,539,14
570,Rúben Vezo,pt  POR,DF,Levante,27,1994,26.9,1549,209,844,649,64,24,1549,5,8,62.5,13,5,951,7
571,Aleix Vidal,es  ESP,"DF,MF",Espanyol,31,1989,21.1,1279,66,398,489,402,18,1279,12,32,37.5,25,15,753,56
572,Nacho Vidal,es  ESP,DF,Osasuna,26,1995,32.2,1893,124,588,824,499,30,1893,23,48,47.9,44,9,852,29
573,Dídac Vilà,es  ESP,"DF,MF",Espanyol,32,1989,2.3,114,12,40,42,32,3,114,1,1,100.0,6,0,58,3
574,Tonny Vilhena,nl  NED,"MF,FW",Espanyol,26,1995,10.3,449,25,101,182,172,20,449,12,17,70.6,23,12,289,39
575,Daniel Villahermosa,es  ESP,MF,Espanyol,20,2001,0.3,9,1,2,7,0,0,9,1,1,100.0,1,1,9,0
576,Asier Villalibre,es  ESP,FW,Athletic Club,23,1997,6.1,182,11,15,79,90,27,182,4,5,80.0,18,14,158,48
577,Gonzalo Villar,es  ESP,MF,Getafe,23,1998,3.3,180,3,32,125,23,2,180,8,8,100.0,6,4,119,2
578,Vitolo,es  ESP,MF,Getafe,31,1989,2.5,137,2,11,60,67,7,137,5,9,55.6,4,2,112,16
579,Daniel Vivian,es  ESP,DF,Athletic Club,22,1999,22.1,1183,183,686,464,46,20,1183,4,5,80.0,14,6,606,0
580,Šime Vrsaljko,hr  CRO,DF,Atlético Madrid,29,1992,10.2,712,34,213,310,190,10,712,5,7,71.4,14,7,402,12
581,Nikola Vukčević,me  MNE,MF,Levante,29,1991,1.3,90,6,25,62,6,0,90,1,1,100.0,2,0,40,0
582,Iñaki Williams,gh  GHA,FW,Athletic Club,27,1994,30.9,999,27,55,365,590,192,998,28,56,50.0,90,42,805,302
583,Nico Williams,es  ESP,MF,Athletic Club,19,2002,14.9,689,9,87,224,393,82,689,44,90,48.9,39,28,494,76
584,Joseba Zaldúa,es  ESP,DF,Real Sociedad,29,1992,13.0,740,49,245,330,172,7,740,3,8,37.5,11,7,383,24
585,Oier Zarraga,es  ESP,MF,Athletic Club,22,1999,13.0,623,22,128,321,180,18,622,4,8,50.0,20,9,414,28
586,Luca Zidane,fr  FRA,GK,Rayo Vallecano,23,1998,7.2,247,209,247,0,0,0,247,2,2,100.0,0,0,103,0
587,Igor Zubeldia,es  ESP,DF,Real Sociedad,24,1997,18.3,1198,115,574,586,41,12,1198,3,6,50.0,7,1,811,3
588,Martín Zubimendi,es  ESP,MF,Real Sociedad,22,1999,28.8,1745,108,447,1117,194,30,1745,17,24,70.8,27,12,1187,23
