,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
ESP-La Liga,2122,Celta Vigo,José Fontán,ESP,DF,21.0,9,3,276.0,3.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07
ESP-La Liga,2122,Celta Vigo,Kevin Vázquez,ESP,DF,28.0,17,16,1334.0,14.8,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,0.4,0.4,0.5,0.9,0.03,0.04,0.06,0.03,0.06
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Celta Vigo,Miguel Baeza,ESP,DF,21.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Celta Vigo,Nolito,ESP,MF,34.0,32,15,1384.0,15.4,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.13,0.0,0.13,0.13,0.13,3.4,3.4,1.8,5.3,0.22,0.12,0.34,0.22,0.34
ESP-La Liga,2122,Celta Vigo,Néstor Araujo,MEX,DF,29.0,34,29,2617.0,29.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.01,0.01,0.01,0.01,0.01
ESP-La Liga,2122,Celta Vigo,Okay Yokuşlu,TUR,"DF,MF",27.0,8,1,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.15,0.0,0.15,0.15,0.15
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38,418,3420.0,38.0,41.0,29.0,37.0,4.0,8.0,103.0,5.0,1.08,0.76,1.84,0.97,1.74,46.6,40.5,30.0,70.5,1.23,0.79,2.02,1.06,1.86
ESP-La Liga,2122,Celta Vigo,Orbelín Pineda,MEX,"MF,FW",25.0,7,0,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.47,0.11,0.58,0.47,0.58
ESP-La Liga,2122,Celta Vigo,Renato Tapia,PER,MF,26.0,29,13,1412.0,15.7,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.7,0.03,0.01,0.04,0.03,0.04
ESP-La Liga,2122,Celta Vigo,Rubén Blanco,ESP,GK,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Santi Mina,ESP,FW,25.0,33,30,2367.0,26.3,7.0,3.0,7.0,0.0,1.0,4.0,0.0,0.27,0.11,0.38,0.27,0.38,7.9,7.1,2.0,9.1,0.3,0.07,0.38,0.27,0.35
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38,418,3420.0,38.0,43.0,29.0,40.0,3.0,6.0,87.0,3.0,1.13,0.76,1.89,1.05,1.82,44.0,39.3,28.3,67.6,1.16,0.74,1.9,1.04,1.78
ESP-La Liga,2122,Celta Vigo,Thiago Galhardo,BRA,"FW,MF",32.0,31,9,1148.0,12.8,2.0,2.0,2.0,0.0,0.0,5.0,0.0,0.16,0.16,0.31,0.16,0.31,3.4,3.4,2.3,5.8,0.27,0.18,0.45,0.27,0.45
ESP-La Liga,2122,Celta Vigo,Thomas Carrique,FRA,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Alberto Perea,ESP,MF,30.0,18,8,777.0,8.6,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,0.9,0.9,0.6,1.5,0.1,0.07,0.18,0.1,0.18
ESP-La Liga,2122,Cádiz,Alfonso Espino,URU,DF,29.0,37,37,3329.0,37.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,0.05,0.05,0.11,0.05,0.11,1.6,1.4,3.9,5.3,0.04,0.11,0.15,0.04,0.14
ESP-La Liga,2122,Cádiz,Anthony Lozano,HON,"FW,MF",28.0,31,21,1672.0,18.6,7.0,2.0,7.0,0.0,0.0,8.0,0.0,0.38,0.11,0.48,0.38,0.48,5.2,5.2,1.0,6.2,0.28,0.06,0.34,0.28,0.34
ESP-La Liga,2122,Cádiz,Cala,ESP,DF,31.0,14,10,947.0,10.5,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.05,0.0,0.05,0.05,0.05
ESP-La Liga,2122,Cádiz,Carlos Akapo,EQG,DF,28.0,25,21,1844.0,20.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04
ESP-La Liga,2122,Cádiz,Chapela,ESP,"MF,FW",22.0,9,4,398.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.02,0.03,0.05,0.02,0.05
ESP-La Liga,2122,Cádiz,David Gil,ESP,GK,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Fali,ESP,"DF,MF",27.0,28,23,1803.0,20.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1,0.1,0.0,0.1,0.8,0.8,1.0,1.8,0.04,0.05,0.09,0.04,0.09
ESP-La Liga,2122,Cádiz,Fede San Emeterio,ESP,MF,24.0,12,10,830.0,9.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.05,0.05,0.0,0.05
ESP-La Liga,2122,Cádiz,Florin Andone,ROU,FW,28.0,5,1,176.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.13,0.02,0.15,0.13,0.15
ESP-La Liga,2122,Cádiz,Isaac Carcelen,ESP,"DF,MF",28.0,25,17,1544.0,17.2,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,0.5,0.5,0.6,1.2,0.03,0.04,0.07,0.03,0.07
ESP-La Liga,2122,Cádiz,Iván Alejo,ESP,"MF,FW",26.0,20,11,1065.0,11.8,2.0,2.0,2.0,0.0,0.0,7.0,0.0,0.17,0.17,0.34,0.17,0.34,1.0,1.0,2.3,3.3,0.08,0.2,0.28,0.08,0.28
ESP-La Liga,2122,Cádiz,Jens Jønsson,DEN,MF,28.0,22,17,1303.0,14.5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,0.4,0.4,0.9,1.3,0.03,0.07,0.09,0.03,0.09
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Cádiz,José Mari,ESP,MF,33.0,11,4,386.0,4.3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.08,0.0,0.08,0.08,0.08
ESP-La Liga,2122,Cádiz,Juan Flere,ARG,GK,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Lucas Pérez,ESP,"FW,MF",32.0,15,11,1060.0,11.8,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.25,0.17,0.42,0.25,0.42,3.3,3.3,2.4,5.7,0.28,0.2,0.49,0.28,0.49
ESP-La Liga,2122,Cádiz,Luis Hernández,ESP,DF,32.0,16,15,1366.0,15.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.03,0.0,0.03,0.03,0.03
ESP-La Liga,2122,Cádiz,Marcos Mauro López Gutiérrez,ARG,DF,30.0,3,1,136.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Cádiz,Martín,ESP,MF,22.0,6,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06
ESP-La Liga,2122,Cádiz,Milutin Osmajić,MNE,"FW,MF",22.0,10,2,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.09,0.0,0.09,0.09,0.09
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38,418,3420.0,38.0,51.0,31.0,40.0,11.0,13.0,98.0,6.0,1.34,0.82,2.16,1.05,1.87,52.8,43.0,32.4,75.4,1.39,0.85,2.24,1.13,1.98
ESP-La Liga,2122,Cádiz,Oussama Idrissi,MAR,MF,25.0,12,11,902.0,10.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.1,0.2,1.9,1.9,2.0,3.9,0.19,0.2,0.39,0.19,0.39
ESP-La Liga,2122,Cádiz,Pedro Benito,ESP,FW,21.0,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Cádiz,Raúl Parra,ESP,DF,21.0,2,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Cádiz,Rubén Alcaraz,ESP,MF,30.0,14,12,1105.0,12.3,2.0,0.0,2.0,0.0,0.0,7.0,0.0,0.16,0.0,0.16,0.16,0.16,1.3,1.3,1.1,2.4,0.1,0.09,0.19,0.1,0.19
ESP-La Liga,2122,Cádiz,Rubén Sobrino,ESP,"FW,MF",29.0,33,19,1861.0,20.7,4.0,1.0,4.0,0.0,0.0,4.0,0.0,0.19,0.05,0.24,0.19,0.24,6.3,6.3,1.9,8.2,0.31,0.09,0.4,0.3,0.4
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30.0,23,17,1395.0,15.5,2.0,1.0,2.0,0.0,1.0,3.0,1.0,0.13,0.06,0.19,0.13,0.19,3.0,2.2,1.4,3.6,0.19,0.09,0.28,0.14,0.23
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,"MF,DF",23.0,14,5,469.0,5.2,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.19,0.0,0.19,0.19,0.19,0.2,0.2,0.0,0.2,0.04,0.0,0.04,0.04,0.04
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38,418,3420.0,38.0,35.0,21.0,32.0,3.0,6.0,105.0,3.0,0.92,0.55,1.47,0.84,1.39,41.4,36.8,25.5,62.3,1.09,0.67,1.76,0.97,1.64
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22.0,23,16,1425.0,15.8,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06,1.0,1.0,1.1,2.1,0.06,0.07,0.14,0.06,0.14
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28.0,17,16,1437.0,16.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.06,0.0,0.06,0.06,0.06,0.6,0.6,0.2,0.8,0.04,0.01,0.05,0.04,0.05
ESP-La Liga,2122,Cádiz,Victor Wehbi,BRA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21.0,25,20,1830.0,20.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.03,0.0,0.03,0.03,0.03
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28.0,32,22,2051.0,22.8,3.0,2.0,2.0,1.0,2.0,2.0,0.0,0.13,0.09,0.22,0.09,0.18,2.9,1.4,1.6,3.0,0.13,0.07,0.2,0.06,0.13
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17.0,6,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26.0,9,1,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35.0,34,24,2157.0,24.0,7.0,2.0,5.0,2.0,3.0,3.0,0.0,0.29,0.08,0.38,0.21,0.29,8.8,6.5,2.1,8.6,0.37,0.09,0.45,0.27,0.36
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34.0,16,12,1020.0,11.3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
ESP-La Liga,2122,Elche,Axel Werner,ARG,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,César,ESP,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,FW,31.0,14,6,590.0,6.6,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.31,0.15,0.46,0.31,0.46,2.7,2.7,0.9,3.6,0.41,0.14,0.56,0.41,0.56
ESP-La Liga,2122,Elche,Diego Bri,ESP,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26.0,28,19,1793.0,19.9,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.01,0.0,0.01,0.01,0.01
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28.0,30,29,2552.0,28.4,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.04,0.0,0.04,0.04,0.04,1.1,1.1,0.1,1.2,0.04,0.0,0.04,0.04,0.04
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24.0,13,5,667.0,7.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.13,0.0,0.13,0.13,0.13,2.0,2.0,0.3,2.3,0.28,0.04,0.32,0.28,0.32
ESP-La Liga,2122,Elche,Fidel,ESP,"MF,FW",31.0,33,29,2261.0,25.1,5.0,6.0,4.0,1.0,1.0,9.0,0.0,0.2,0.24,0.44,0.16,0.4,3.1,2.3,5.1,7.4,0.12,0.2,0.32,0.09,0.29
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26.0,31,20,1890.0,21.0,0.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0,0.19,0.19,0.0,0.19,0.9,0.9,2.1,3.0,0.04,0.1,0.14,0.04,0.14
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32.0,19,16,1397.0,15.5,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30.0,29,11,1168.0,13.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.15,0.0,0.15,0.15,0.15,2.9,2.9,0.2,3.1,0.22,0.01,0.24,0.22,0.24
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28.0,26,22,1931.0,21.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.0,0.01,0.01,0.0,0.01
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31.0,20,10,809.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32.0,13,6,525.0,5.8,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.9,1.3,0.07,0.15,0.22,0.07,0.22
ESP-La Liga,2122,Elche,Jesús López,ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28.0,33,32,2855.0,31.7,2.0,5.0,2.0,0.0,0.0,4.0,1.0,0.06,0.16,0.22,0.06,0.22,0.7,0.7,4.5,5.2,0.02,0.14,0.16,0.02,0.16
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.09,0.01,0.1,0.09,0.1
ESP-La Liga,2122,Elche,Jony Álamo,ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31.0,31,10,1211.0,13.5,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.15,0.22,0.37,0.15,0.37,1.2,1.2,3.6,4.8,0.09,0.27,0.36,0.09,0.36
ESP-La Liga,2122,Elche,Josema,ESP,DF,25.0,6,1,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05
ESP-La Liga,2122,Elche,José Friaza,ESP,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"FW,MF",24.0,12,5,519.0,5.8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.35,0.0,0.35,0.35,0.35,1.1,1.1,1.0,2.1,0.2,0.17,0.37,0.2,0.37
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
ESP-La Liga,2122,Elche,Lluis Andreu,ESP,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25.0,24,22,1713.0,19.0,7.0,3.0,7.0,0.0,0.0,3.0,0.0,0.37,0.16,0.53,0.37,0.53,4.9,4.9,1.8,6.7,0.26,0.1,0.35,0.26,0.35
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27.0,5,3,295.0,3.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.31,0.0,0.31,0.31,0.31,0.7,0.7,0.3,1.1,0.22,0.1,0.32,0.22,0.32
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32.0,18,16,1266.0,14.1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.14,0.07,0.21,0.14,0.21,2.5,2.5,1.3,3.8,0.18,0.09,0.27,0.18,0.27
ESP-La Liga,2122,Elche,Marco Soler,ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Omar Mascarell,ESP,MF,28.0,32,30,2493.0,27.7,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,0.02,0.01,0.03,0.02,0.03
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38,418,3420.0,38.0,52.0,41.0,45.0,7.0,10.0,80.0,2.0,1.37,1.08,2.45,1.18,2.26,61.0,53.6,41.0,94.6,1.61,1.08,2.68,1.41,2.49
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32.0,10,3,312.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.06,0.15,0.22,0.06,0.22
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30.0,19,19,1551.0,17.2,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.06,0.0,0.06,0.06,0.06,0.6,0.6,0.3,0.9,0.03,0.02,0.05,0.03,0.05
ESP-La Liga,2122,Elche,Pere Milla,ESP,"FW,MF",28.0,32,17,1644.0,18.3,8.0,3.0,8.0,0.0,0.0,4.0,0.0,0.44,0.16,0.6,0.44,0.6,4.4,4.4,1.9,6.3,0.24,0.1,0.34,0.24,0.34
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24.0,31,17,1627.0,18.1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,1.5,0.07,0.01,0.08,0.07,0.08
ESP-La Liga,2122,Elche,Sergio Bono Juan,ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38,418,3420.0,38.0,39.0,29.0,38.0,1.0,1.0,104.0,6.0,1.03,0.76,1.79,1.0,1.76,34.8,34.1,28.0,62.1,0.92,0.74,1.65,0.9,1.63
ESP-La Liga,2122,Elche,Tete Morente,ESP,"MF,FW",24.0,32,18,1632.0,18.1,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.17,0.17,0.33,0.17,0.33,3.2,3.2,2.1,5.3,0.18,0.12,0.29,0.18,0.29
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29.0,32,24,1986.0,22.1,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,3.1,3.1,2.5,5.6,0.14,0.11,0.25,0.14,0.25
ESP-La Liga,2122,Espanyol,Aleix Gorjon,ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31.0,31,21,1901.0,21.1,2.0,0.0,2.0,0.0,0.0,10.0,0.0,0.09,0.0,0.09,0.09,0.09,0.8,0.8,1.9,2.7,0.04,0.09,0.13,0.04,0.13
ESP-La Liga,2122,Espanyol,Alejandro Pérez,ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20.0,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31.0,18,8,743.0,8.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.06,0.05,0.11,0.06,0.11
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,36,36,3177.0,35.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32.0,9,1,203.0,2.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25.0,16,13,1090.0,12.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31.0,10,3,266.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.05,0.08,0.03,0.08
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"FW,MF",23.0,30,26,2245.0,24.9,4.0,1.0,4.0,0.0,0.0,5.0,0.0,0.16,0.04,0.2,0.16,0.2,4.9,4.9,1.2,6.1,0.19,0.05,0.24,0.19,0.24
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,2,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20.0,3,0,20.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,4.5,0.0,0.0,0.3,0.3,0.0,1.57,1.57,0.0,1.57
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23.0,25,18,1481.0,16.5,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,1.0,1.5,0.03,0.06,0.09,0.03,0.09
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23.0,17,4,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,1.6,0.22,0.04,0.26,0.22,0.26
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30.0,37,37,3330.0,37.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,0.05,0.0,0.05,0.05,0.05,1.3,1.3,0.3,1.6,0.04,0.01,0.04,0.04,0.04
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27.0,21,4,563.0,6.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,0.8,0.8,0.4,1.2,0.12,0.06,0.18,0.12,0.18
