,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
384,Antonio Raillo,es  ESP,DF,Mallorca,31-083,1991,13.0,10,5,10,0,0,2,5,40.0,3,11,7,4,15,25,65,0
385,Predrag Rajković,rs  SRB,GK,Mallorca,27-060,1995,14.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0
386,Ivan Rakitić,hr  CRO,MF,Sevilla,34-295,1988,5.8,10,7,3,4,3,6,13,46.2,7,6,0,6,9,19,9,0
387,Largie Ramazani,be  BEL,FW,Almería,21-306,2001,8.9,7,5,3,0,4,5,12,41.7,7,6,0,6,5,12,1,0
388,Raphinha,br  BRA,FW,Barcelona,26-016,1996,6.3,9,7,2,1,6,5,10,50.0,5,14,1,13,5,14,2,0
389,Sergio Reguilón,es  ESP,DF,Atlético Madrid,26-014,1996,0.6,3,2,2,1,0,2,3,66.7,1,1,0,1,1,4,0,0
390,Reinier,br  BRA,"MF,FW",Girona,20-345,2002,3.5,6,4,4,0,2,1,4,25.0,3,3,0,3,1,7,2,0
391,Karim Rekik,nl  NED,DF,Sevilla,28-028,1994,4.7,1,0,1,0,0,1,2,50.0,1,3,0,3,6,7,9,0
392,Álex Remiro,es  ESP,GK,Real Sociedad,27-281,1995,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,2
393,Alejandro Revuelta Montero,es  ESP,DF,Getafe,22-258,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
394,Chadi Riad,es  ESP,MF,Barcelona,19-196,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
395,Nico Ribaudo,es  ESP,"FW,MF",Espanyol,21-263,2001,2.0,4,3,1,2,1,2,4,50.0,2,2,0,2,1,5,1,0
396,Diego Rico,es  ESP,DF,Real Sociedad,29-310,1993,6.6,14,11,4,6,4,4,7,57.1,3,2,0,2,5,19,16,0
397,Rodrigo Riquelme,es  ESP,"MF,FW",Girona,22-272,2000,9.6,8,0,4,2,2,3,12,25.0,9,5,0,5,3,11,1,0
398,Sergi Roberto,es  ESP,DF,Barcelona,30-326,1992,4.2,5,5,3,1,1,3,4,75.0,1,2,1,1,7,12,7,0
399,Lucas Robertone,ar  ARG,MF,Almería,25-287,1997,11.3,15,8,6,7,2,6,19,31.6,13,22,3,19,16,31,14,0
400,Enzo Roco,cl  CHI,DF,Elche,30-136,1992,8.8,11,6,9,2,0,6,10,60.0,4,7,5,2,6,17,22,1
401,Rodrigo,es  ESP,FW,Betis,22-228,2000,7.7,5,4,1,3,1,3,5,60.0,2,4,0,4,6,11,0,0
402,Ángel Rodríguez,es  ESP,"FW,MF",Mallorca,35-248,1987,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
403,Óscar Rodríguez Arnaiz,es  ESP,MF,Celta Vigo,24-185,1998,11.1,19,16,7,9,3,7,12,58.3,5,5,1,4,13,32,7,0
404,Dani Rodríguez,es  ESP,MF,Mallorca,34-207,1988,7.7,15,6,8,6,1,6,13,46.2,7,8,2,6,10,25,7,0
405,Guido Rodríguez,ar  ARG,MF,Betis,28-262,1994,11.6,38,25,15,19,4,17,28,60.7,11,19,6,13,13,51,24,0
406,Rodrygo,br  BRA,FW,Real Madrid,21-355,2001,10.1,9,4,1,5,3,1,4,25.0,3,9,0,9,3,12,3,0
407,Iván Romero,es  ESP,MF,Sevilla,21-264,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
408,Oriol Romeu,es  ESP,MF,Girona,31-097,1991,12.0,36,19,20,12,4,12,22,54.5,10,15,4,11,16,52,12,0
409,Rubén,es  ESP,"MF,FW",Espanyol,21-329,2001,2.7,9,6,4,3,2,8,8,100.0,0,3,1,2,7,16,3,0
410,Antonio Rüdiger,de  GER,DF,Real Madrid,29-302,1993,7.6,3,3,2,1,0,2,3,66.7,1,5,3,2,4,7,24,0
411,Aitor Ruibal,es  ESP,"DF,FW",Betis,26-283,1996,6.3,18,9,16,1,1,11,19,57.9,8,4,0,4,13,31,14,0
412,Víctor Ruiz,es  ESP,DF,Betis,33-339,1989,3.8,1,0,1,0,0,0,0,,0,6,3,3,3,4,18,0
413,Gerónimo Rulli,ar  ARG,GK,Villarreal,30-224,1992,14.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,2
414,Franco Russo,ar  ARG,DF,Mallorca,28-066,1994,0.9,1,1,1,0,0,0,1,0.0,1,4,0,4,2,3,4,0
415,Youssouf Sabaly,sn  SEN,DF,Betis,29-300,1993,7.9,15,6,12,3,0,8,9,88.9,1,16,5,11,8,23,18,1
416,Samuel Sáiz,es  ESP,"MF,FW",Girona,31-342,1991,2.4,2,2,0,2,0,1,2,50.0,1,3,0,3,0,2,1,1
417,Salvi,es  ESP,"FW,MF",Rayo Vallecano,31-275,1991,2.9,7,5,2,3,2,1,3,33.3,2,0,0,0,2,9,0,0
418,Samuel,br  BRA,"FW,MF",Valencia,23-007,1999,13.5,23,16,7,14,2,6,15,40.0,9,12,0,12,4,27,2,0
419,Fede San Emeterio,es  ESP,MF,Cádiz,25-289,1997,8.8,9,4,5,2,2,3,12,25.0,9,17,7,10,3,12,7,0
420,Oihan Sancet,es  ESP,MF,Athletic Club,22-249,2000,11.2,9,4,1,5,3,4,16,25.0,12,5,0,5,3,12,3,0
421,Antonio Sánchez,es  ESP,MF,Mallorca,25-363,1997,6.4,6,3,4,1,1,3,13,23.1,10,7,0,7,8,14,3,0
422,Iván Sánchez,es  ESP,"FW,MF",Valladolid,30-098,1992,6.2,7,5,3,1,3,5,12,41.7,7,6,0,6,1,8,0,0
423,Javi Sánchez,es  ESP,DF,Valladolid,25-291,1997,11.1,14,8,9,5,0,4,7,57.1,3,15,12,3,18,32,53,0
424,Manuel Sánchez,es  ESP,DF,Osasuna,22-128,2000,5.2,15,11,11,4,0,10,14,71.4,4,10,1,9,5,20,11,0
425,Esteban Saveljich,me  MNE,FW,Rayo Vallecano,31-224,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
426,Stefan Savić,me  MNE,DF,Atlético Madrid,31-356,1991,10.8,18,14,15,3,0,14,16,87.5,2,5,2,3,19,37,32,0
427,Jaime Seoane,es  ESP,MF,Getafe,25-342,1997,3.0,10,4,3,4,3,2,6,33.3,4,3,2,1,1,11,2,0
428,David Silva,es  ESP,MF,Real Sociedad,36-356,1986,9.1,12,6,4,7,1,2,5,40.0,3,3,0,3,5,17,7,0
429,Rui Silva,pt  POR,GK,Betis,28-326,1994,13.0,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,7,1
430,Unai Simón,es  ESP,GK,Athletic Club,25-202,1997,15.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,7,1
431,Rubén Sobrino,es  ESP,"MF,FW",Cádiz,30-212,1992,8.9,11,5,3,5,3,2,4,50.0,2,7,0,7,6,17,11,0
432,Alex Sola,es  ESP,DF,Real Sociedad,23-204,1999,3.1,16,8,12,3,1,7,10,70.0,3,5,0,5,3,19,10,0
433,Augusto Solari,ar  ARG,"MF,FW",Celta Vigo,30-361,1992,2.1,5,5,2,2,1,1,6,16.7,5,4,0,4,3,8,0,0
434,Carlos Soler,es  ESP,MF,Valencia,25-362,1997,2.7,2,0,0,1,1,2,3,66.7,1,1,0,1,0,2,2,0
435,David Soria,es  ESP,GK,Getafe,29-270,1993,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,3
436,Dyego Sousa,pt  POR,FW,Almería,33-107,1989,3.4,4,2,2,1,1,2,2,100.0,0,3,1,2,0,4,8,0
437,Vinicius Souza,br  BRA,MF,Espanyol,23-196,1999,13.2,53,34,21,23,9,16,26,61.5,10,14,9,5,29,82,27,1
438,Jørgen Strand Larsen,no  NOR,FW,Celta Vigo,22-327,2000,7.7,3,1,1,1,1,1,8,12.5,7,5,2,3,1,4,11,0
439,Cristhian Stuani,uy  URU,FW,Girona,36-079,1986,4.8,4,1,1,1,2,3,5,60.0,2,1,0,1,1,5,4,0
440,Damián Suárez,uy  URU,DF,Getafe,34-247,1988,6.1,10,7,3,4,3,4,8,50.0,4,9,0,9,5,15,14,0
441,Mario Suárez,es  ESP,"DF,MF",Rayo Vallecano,35-309,1987,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
442,Suso,es  ESP,"FW,MF",Sevilla,29-041,1993,1.0,2,2,1,1,0,1,2,50.0,1,1,0,1,0,2,0,0
443,Williot Swedberg,se  SWE,MF,Celta Vigo,18-332,2004,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
444,Alexander Sørloth,no  NOR,FW,Real Sociedad,27-025,1995,9.1,3,3,0,1,2,1,4,25.0,3,4,1,3,0,3,9,1
445,Renato Tapia,pe  PER,MF,Celta Vigo,27-155,1995,7.1,18,10,9,8,1,4,11,36.4,7,14,8,6,8,26,11,0
446,Aurélien Tchouaméni,fr  FRA,MF,Real Madrid,22-337,2000,10.0,27,15,8,19,0,10,16,62.5,6,10,2,8,21,48,21,0
447,Alex Telles,br  BRA,DF,Sevilla,30-015,1992,8.4,9,5,6,3,0,7,12,58.3,5,6,1,5,7,16,9,0
448,Marc-André ter Stegen,de  GER,GK,Barcelona,30-244,1992,14.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,2
449,Ramón Terrats,es  ESP,MF,Girona,22-073,2000,1.6,2,1,0,2,0,1,4,25.0,3,3,1,2,2,4,1,1
450,Pablo Torre,es  ESP,FW,Barcelona,19-271,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
451,Ferrán Torres,es  ESP,"FW,MF",Barcelona,22-304,2000,6.3,5,2,0,4,1,2,8,25.0,6,5,1,4,1,6,2,0
452,Óliver Torres,es  ESP,"MF,FW",Sevilla,28-050,1994,9.4,15,9,3,6,6,8,19,42.1,11,13,2,11,7,22,3,0
453,Pau Torres,es  ESP,DF,Villarreal,25-348,1997,13.0,9,5,4,4,1,6,8,75.0,2,11,10,1,3,12,53,2
454,Roberto Torres,es  ESP,"FW,MF",Osasuna,33-298,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
455,Lucas Torró,es  ESP,MF,Osasuna,28-164,1994,12.5,20,13,7,10,3,7,11,63.6,4,7,1,6,13,33,23,0
456,Nabil Touaizi,ma  MAR,MF,Espanyol,21-332,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
457,Óscar Trejo,ar  ARG,"MF,FW",Rayo Vallecano,34-248,1988,10.0,16,14,3,7,6,3,8,37.5,5,11,2,9,5,21,3,0
458,Manu Trigueros,es  ESP,"MF,FW",Villarreal,31-074,1991,2.8,4,2,2,2,0,2,7,28.6,5,2,1,1,1,5,2,0
459,Beñat Turrientes,es  ESP,"MF,FW",Real Sociedad,20-333,2002,1.2,4,3,4,0,0,1,4,25.0,3,2,0,2,0,4,3,0
460,Enes Ünal,tr  TUR,FW,Getafe,25-234,1997,13.5,12,6,4,7,1,4,10,40.0,6,6,1,5,0,12,19,0
461,Oscar Ureña,es  ESP,MF,Girona,19-363,2003,1.1,4,2,2,2,0,2,3,66.7,1,2,0,2,1,5,0,0
462,Óscar Valentín,es  ESP,MF,Rayo Vallecano,28-132,1994,10.6,43,22,12,23,8,21,37,56.8,16,25,5,20,19,62,12,0
463,Valery,es  ESP,"MF,DF",Girona,23-037,1999,4.6,6,3,1,5,0,2,3,66.7,1,4,0,4,2,8,2,0
464,Enrique Valiente,es  ESP,DF,Sevilla,20-251,2002,3.1,0,0,0,0,0,0,0,,0,3,2,1,1,1,19,0
465,Martin Valjent,sk  SVK,DF,Mallorca,27-019,1995,12.8,14,9,11,3,0,8,11,72.7,3,23,10,13,17,31,51,0
466,Manu Vallejo,es  ESP,"FW,MF",Girona,25-319,1997,2.3,4,1,1,2,1,1,6,16.7,5,2,0,2,1,5,3,0
467,Federico Valverde,uy  URU,"FW,MF",Real Madrid,24-161,1998,12.3,12,8,4,5,3,5,13,38.5,8,11,1,10,5,17,4,0
468,Jesus Vazquez,es  ESP,"DF,MF",Valencia,19-362,2003,1.6,4,4,2,0,2,0,1,0.0,1,2,0,2,0,4,3,0
469,Kevin Vázquez,es  ESP,MF,Celta Vigo,29-282,1993,0.8,2,1,0,1,1,0,0,,0,1,0,1,0,2,1,0
470,Lucas Vázquez,es  ESP,DF,Real Madrid,31-182,1991,4.1,11,7,4,6,1,5,5,100.0,0,4,0,4,4,15,3,0
471,Gabriel Veiga,es  ESP,MF,Celta Vigo,20-217,2002,6.4,18,7,5,13,0,7,16,43.8,9,7,0,7,5,23,3,0
472,Unai Vencedor Paris,es  ESP,MF,Athletic Club,22-045,2000,1.6,3,1,0,3,0,1,5,20.0,4,3,0,3,1,4,0,0
473,Gonzalo Verdú,es  ESP,DF,Elche,34-070,1988,4.8,4,1,4,0,0,2,5,40.0,3,7,6,1,5,9,21,0
474,Mikel Vesga,es  ESP,MF,Athletic Club,29-223,1993,11.3,27,16,10,13,4,12,38,31.6,26,14,3,11,18,45,13,1
475,Aleix Vidal,es  ESP,"FW,MF",Espanyol,33-131,1989,5.0,4,2,2,1,1,0,7,0.0,7,11,1,10,4,8,4,0
476,Nacho Vidal,es  ESP,DF,Osasuna,27-340,1995,9.9,22,12,14,3,5,14,26,53.8,12,15,2,13,17,39,21,1
477,Asier Villalibre,es  ESP,FW,Athletic Club,25-091,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
478,Daniel Vivian,es  ESP,DF,Athletic Club,23-168,1999,8.1,13,8,11,2,0,8,9,88.9,1,6,4,2,13,26,29,1
479,Shon Weissman,il  ISR,FW,Valladolid,26-319,1996,6.2,1,1,1,0,0,0,2,0.0,2,7,0,7,1,2,6,0
480,Iñaki Williams,gh  GHA,FW,Athletic Club,28-198,1994,13.5,11,7,2,8,1,5,7,71.4,2,4,2,2,2,13,11,0
481,Nico Williams,es  ESP,FW,Athletic Club,20-171,2002,12.9,14,7,5,5,4,6,10,60.0,4,19,1,18,4,18,3,0
482,Axel Witsel,be  BEL,"DF,MF",Atlético Madrid,33-352,1989,11.9,12,7,7,5,0,6,8,75.0,2,11,6,5,11,23,36,0
483,Jawad El Yamiq,ma  MAR,DF,Valladolid,30-304,1992,4.9,7,3,6,1,0,2,2,100.0,0,7,7,0,13,20,33,0
484,Joseba Zaldúa,es  ESP,DF,Cádiz,30-189,1992,7.1,15,8,10,4,1,7,10,70.0,3,4,2,2,11,26,22,0
485,Oier Zarraga,es  ESP,MF,Athletic Club,23-360,1999,2.7,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0
486,Igor Zubeldia,es  ESP,DF,Real Sociedad,25-275,1997,8.0,12,6,7,5,0,6,7,85.7,1,9,6,3,7,19,33,0
487,Martín Zubimendi,es  ESP,MF,Real Sociedad,23-331,1999,12.8,23,13,11,11,1,7,13,53.8,6,16,8,8,13,36,26,3
