,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
224,Joselu,es  ESP,FW,Espanyol,32-278,1990,14.0,1,0,0,8,31,6,5,3,1,1,0,0,34,71,45,61.2
225,Juanmi,es  ESP,FW,Betis,29-224,1993,3.6,2,0,0,4,10,6,0,2,1,0,0,0,14,4,7,36.4
226,Juanpe,es  ESP,DF,Girona,31-244,1991,6.8,2,0,0,5,1,0,1,5,4,0,0,0,22,11,4,73.3
227,Lago Junior,ci  CIV,"FW,MF",Mallorca,31-364,1990,0.6,0,0,0,3,1,0,2,0,0,0,0,0,7,4,1,80.0
228,Vinicius Júnior,br  BRA,FW,Real Madrid,22-171,2000,13.6,3,0,0,23,49,9,19,5,11,0,0,0,41,0,4,0.0
229,Kaiky,br  BRA,DF,Almería,18-352,2004,5.4,5,0,0,7,3,0,1,11,5,0,1,0,19,5,7,41.7
230,Lee Kangin,kr  KOR,"MF,FW",Mallorca,21-314,2001,12.1,4,0,0,17,19,0,70,2,8,0,0,0,32,3,26,10.3
231,Jon Karrikaburu,es  ESP,FW,Real Sociedad,20-102,2002,1.0,1,0,0,3,4,3,1,0,0,0,0,0,5,4,4,50.0
232,Kenedy,br  BRA,MF,Valladolid,26-325,1996,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
233,Franck Kessié,ci  CIV,MF,Barcelona,26-011,1996,2.4,3,0,0,6,3,1,0,1,2,0,0,0,11,0,0,
234,Kike,es  ESP,FW,Osasuna,33-035,1989,4.8,3,0,0,11,11,3,1,1,1,2,0,0,14,19,25,43.2
235,Justin Kluivert,nl  NED,"FW,MF",Valencia,23-239,1999,5.8,1,0,0,8,7,0,19,3,5,1,0,0,28,4,7,36.4
236,Koke,es  ESP,MF,Atlético Madrid,30-356,1992,8.4,2,0,0,9,12,0,13,1,14,0,0,0,49,4,3,57.1
237,Luca Koleosho,ca  CAN,"FW,DF",Espanyol,18-106,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
238,Geoffrey Kondogbia,cf  CTA,MF,Atlético Madrid,29-318,1993,9.0,3,0,0,12,11,1,0,20,13,0,0,0,81,10,7,58.8
239,Jules Koundé,fr  FRA,DF,Barcelona,24-048,1998,6.4,0,0,0,5,1,0,6,4,5,0,0,0,39,9,2,81.8
240,Toni Kroos,de  GER,MF,Real Madrid,32-360,1990,9.5,2,1,1,10,11,0,50,8,12,0,0,0,51,3,3,50.0
241,Takefusa Kubo,jp  JPN,"FW,MF",Real Sociedad,21-209,2001,9.4,0,0,0,13,14,9,29,2,7,0,0,0,30,7,11,38.9
242,César de la Hoz,es  ESP,MF,Almería,30-275,1992,6.5,4,0,0,13,3,0,1,5,7,0,1,0,27,6,7,46.2
243,Luca de la Torre,us  USA,MF,Celta Vigo,24-221,1998,0.6,0,0,0,3,0,0,0,0,2,0,0,0,5,0,1,0.0
244,Érik Lamela,ar  ARG,"FW,MF",Sevilla,30-301,1992,10.6,5,1,1,37,10,4,14,2,12,0,0,0,45,5,17,22.7
245,Latasa,es  ESP,"FW,DF",Getafe,21-282,2001,0.7,0,0,0,1,3,0,0,1,1,0,0,0,1,8,7,53.3
246,Toni Lato,es  ESP,"DF,MF",Valencia,25-039,1997,3.1,0,0,0,1,3,1,15,2,1,0,0,0,15,1,4,20.0
247,Lázaro,br  BRA,"MF,FW",Almería,20-293,2002,2.3,0,0,0,1,4,1,4,1,0,0,0,0,9,0,3,0.0
248,Robin Le Normand,fr  FRA,DF,Real Sociedad,26-049,1996,9.1,3,0,0,13,9,1,0,9,5,0,0,0,38,22,8,73.3
249,Benjamin Lecomte,fr  FRA,GK,Espanyol,31-248,1991,10.0,1,1,0,1,0,0,0,0,0,0,0,1,16,0,0,
250,Jeremías Ledesma,ar  ARG,GK,Cádiz,29-320,1993,14.0,0,0,0,1,1,0,0,2,0,0,1,0,12,0,0,
251,Florian Lejeune,fr  FRA,DF,Rayo Vallecano,31-224,1991,11.5,4,1,1,10,4,2,1,6,5,0,1,0,44,21,8,72.4
252,Iñigo Lekue,es  ESP,DF,Athletic Club,29-240,1993,10.5,1,0,0,10,3,1,27,12,9,0,0,0,88,12,6,66.7
253,Thomas Lemar,fr  FRA,MF,Atlético Madrid,27-048,1995,4.6,0,0,0,0,5,0,19,3,4,0,0,0,36,0,2,0.0
254,Sergio León,es  ESP,FW,Valladolid,33-358,1989,6.9,0,0,0,4,11,8,4,0,2,0,0,0,17,10,17,37.0
255,Robert Lewandowski,pl  POL,FW,Barcelona,34-131,1988,11.8,2,1,1,19,19,7,9,0,4,0,0,0,21,16,19,45.7
256,Pol Lirola,es  ESP,DF,Elche,25-139,1997,6.1,1,0,0,3,3,0,29,6,6,0,0,0,40,8,6,57.1
257,Javier Llabrés,es  ESP,FW,Mallorca,20-110,2002,0.2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0.0
258,Marcos Llorente,es  ESP,"DF,MF",Atlético Madrid,27-334,1995,8.4,1,0,0,11,9,1,20,8,10,0,0,0,39,3,7,30.0
259,Giovani Lo Celso,ar  ARG,"MF,FW",Villarreal,26-265,1996,5.8,1,0,0,7,14,3,5,5,17,0,0,0,26,1,2,33.3
260,David López,es  ESP,"DF,MF",Girona,33-082,1989,8.7,2,0,0,7,7,2,0,4,9,0,0,0,44,17,14,54.8
261,Diego López,es  ESP,GK,Rayo Vallecano,41-057,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
262,Unai López,es  ESP,MF,Rayo Vallecano,27-061,1995,6.5,0,0,0,10,9,0,25,8,4,0,0,0,48,3,7,30.0
263,Anthony Lozano,hn  HON,FW,Cádiz,29-249,1993,8.4,2,0,0,21,16,4,3,2,1,0,0,0,23,32,42,43.2
264,Pol Lozano,es  ESP,MF,Espanyol,23-085,1999,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0
265,José Luis Gayà,es  ESP,DF,Valencia,27-219,1995,9.6,1,0,0,5,5,5,76,11,13,1,0,0,47,8,5,61.5
266,José Luis Morales,es  ESP,FW,Villarreal,35-160,1987,4.7,0,0,0,2,2,1,2,0,2,0,0,0,9,6,6,50.0
267,Andriy Lunin,ua  UKR,GK,Real Madrid,23-322,1999,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
268,Awer Mabil,au  AUS,"MF,FW",Cádiz,27-106,1995,1.8,0,0,0,0,3,0,9,0,0,0,0,0,6,1,5,16.7
269,Pablo Maffeo,es  ESP,DF,Mallorca,25-171,1997,11.3,3,1,0,12,20,2,38,10,15,0,0,0,49,12,15,44.4
270,Jon Magunacelaya,es  ESP,"MF,FW",Real Sociedad,22-170,2000,0.7,0,0,0,1,1,0,2,0,0,0,0,0,4,0,2,0.0
271,Nemanja Maksimović,rs  SRB,MF,Getafe,27-338,1995,7.9,0,0,0,5,5,0,4,10,4,0,0,0,29,8,6,57.1
272,Hugo Mallo,es  ESP,DF,Celta Vigo,31-191,1991,9.7,3,0,0,22,8,2,36,6,8,0,1,0,45,17,10,63.0
273,Mickael Malsa,mq  MTQ,MF,Valladolid,27-079,1995,0.4,0,0,0,2,0,0,0,1,1,0,0,0,3,1,1,50.0
274,Giorgi Mamardashvili,ge  GEO,GK,Valencia,22-092,2000,14.0,1,0,0,1,2,0,0,0,0,0,1,0,26,3,1,75.0
275,Reinildo Mandava,mz  MOZ,DF,Atlético Madrid,28-343,1994,13.8,2,0,0,25,18,0,11,20,32,0,0,0,87,16,18,47.1
276,Aïssa Mandi,dz  ALG,DF,Villarreal,31-069,1991,2.9,0,0,0,6,3,1,1,7,3,0,0,0,12,3,2,60.0
277,Maranhão,br  BRA,"FW,MF",Valencia,26-071,1996,4.1,2,1,0,9,11,0,0,0,1,0,0,0,5,10,13,43.5
278,Marcão,br  BRA,DF,Sevilla,26-208,1996,4.0,2,0,0,5,6,0,0,5,2,0,0,0,14,6,4,60.0
279,Agustín Marchesín,ar  ARG,GK,Celta Vigo,34-289,1988,14.0,2,0,0,0,4,0,0,0,0,0,0,0,17,3,0,100.0
280,Óscar de Marcos,es  ESP,DF,Athletic Club,33-260,1989,13.0,2,0,0,21,5,2,53,7,11,0,0,0,72,13,6,68.4
281,José Mari,es  ESP,MF,Cádiz,35-024,1987,3.2,1,0,0,3,6,0,1,5,5,0,0,0,29,3,5,37.5
282,José María Giménez,uy  URU,DF,Atlético Madrid,27-344,1995,9.2,5,0,0,9,3,0,0,12,8,0,1,0,53,19,10,65.5
