,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types
352,Marco Reus,de  GER,"MF,FW",Dortmund,31-294,1989,18.2,63,3.45,39,7,4,6,5,2,10,0.55,6,1,0,1,1,1,0
353,Elvis Rexhbeçaj,de  GER,"MF,FW",Köln,23-140,1997,17.9,39,2.19,18,12,1,3,4,1,4,0.22,2,0,0,1,0,1,0
354,Gio Reyna,us  USA,"FW,MF",Dortmund,18-128,2002,16.5,55,3.49,35,5,6,2,7,0,9,0.57,5,1,1,1,1,0,0
355,Marco Richter,de  GER,"FW,MF",Augsburg,23-117,1997,9.2,22,2.39,11,1,7,0,2,1,3,0.33,2,0,0,0,0,1,0
356,Marc Roca,es  ESP,MF,Bayern Munich,24-115,1996,1.6,2,1.22,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0
357,Sebastian Rode,de  GER,MF,Eint Frankfurt,30-161,1990,13.8,32,2.50,27,1,1,0,3,0,3,0.23,2,0,0,0,1,0,0
358,Jérôme Roussillon,fr  FRA,DF,Wolfsburg,28-074,1993,10.5,18,1.71,16,0,1,1,0,0,3,0.29,2,0,1,0,0,0,0
359,Georginio Rutter,fr  FRA,"MF,FW",Hoffenheim,18-335,2002,0.1,2,13.85,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
360,Julian Ryerson,no  NOR,DF,Union Berlin,23-124,1997,8.5,9,1.19,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
361,Frederik Rønnow,dk  DEN,GK,Schalke 04,28-229,1992,9.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
362,João Victor Santos Sá,br  BRA,FW,Wolfsburg,26-359,1994,4.0,14,3.71,10,0,1,2,0,1,1,0.26,1,0,0,0,0,0,0
363,Marcel Sabitzer,at  AUT,MF,RB Leipzig,27-004,1994,16.6,47,2.83,43,0,0,3,1,0,4,0.24,3,0,0,1,0,0,0
364,Roland Sallai,hu  HUN,"MF,FW",Freiburg,23-303,1997,12.2,22,1.81,16,1,0,2,3,0,5,0.41,3,0,0,1,1,0,0
365,Lazar Samardzic,de  GER,"MF,FW",RB Leipzig,19-025,2002,2.0,4,1.96,3,0,1,0,0,0,1,0.49,1,0,0,0,0,0,0
366,Diadie Samassékou,ml  MLI,MF,Hoffenheim,25-069,1996,21.5,26,1.21,20,1,1,2,0,2,6,0.28,5,0,0,1,0,0,0
367,Jadon Sancho,eng  ENG,"FW,MF",Dortmund,20-361,2000,19.7,104,5.29,74,19,6,2,2,1,19,0.97,14,1,1,1,2,0,0
368,Leroy Sané,de  GER,"FW,MF",Bayern Munich,25-069,1996,15.4,63,4.34,47,2,11,2,1,0,16,1.10,14,0,1,1,0,0,0
369,Salif Sané,sn  SEN,DF,Schalke 04,30-208,1990,8.5,6,0.71,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0
370,Baptiste Santamaria,fr  FRA,MF,Freiburg,26-012,1995,18.7,27,1.45,21,0,1,2,2,1,3,0.16,2,0,0,1,0,0,0
371,Josh Sargent,us  USA,FW,Werder Bremen,21-029,2000,22.0,44,2.06,30,0,4,4,5,1,4,0.19,1,0,0,1,1,1,0
372,Bouna Sarr,gn  GUI,DF,Bayern Munich,29-049,1992,3.7,6,1.62,5,0,1,0,0,0,3,0.81,3,0,0,0,0,0,0
373,Patrik Schick,cz  CZE,FW,Leverkusen,25-056,1996,14.1,36,2.56,27,0,5,3,1,0,4,0.28,3,0,1,0,0,0,0
374,Sven Schipplock,de  GER,"FW,MF",Arminia,32-133,1988,7.6,16,2.11,11,0,1,0,3,1,1,0.13,1,0,0,0,0,0,0
375,Xaver Schlager,at  AUT,MF,Wolfsburg,23-174,1997,21.6,35,1.70,29,0,0,3,1,2,4,0.19,3,0,0,1,0,0,0
376,Keven Schlotterbeck,de  GER,DF,Freiburg,23-327,1997,13.9,5,0.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
377,Nico Schlotterbeck,de  GER,DF,Union Berlin,21-110,1999,8.3,6,0.82,4,0,0,1,0,1,1,0.14,1,0,0,0,0,0,0
378,Jonathan Schmid,fr  FRA,"DF,MF",Freiburg,30-268,1990,19.8,41,2.07,30,5,2,2,1,1,5,0.25,3,1,0,0,0,1,0
379,Romano Schmid,at  AUT,"FW,MF",Werder Bremen,21-053,2000,10.2,24,2.50,19,1,1,1,2,0,6,0.62,5,0,0,0,1,0,0
380,Benno Schmitz,de  GER,DF,Köln,26-124,1994,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
381,Alessandro Schöpf,at  AUT,"FW,MF",Schalke 04,27-042,1994,9.5,14,1.48,9,1,2,1,1,0,0,0.00,0,0,0,0,0,0,0
382,Nico Schulz,de  GER,DF,Dortmund,27-354,1993,4.8,4,1.05,4,0,0,0,0,0,2,0.52,2,0,0,0,0,0,0
383,Alexander Schwolow,de  GER,GK,Hertha BSC,28-292,1992,18.0,1,0.06,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
384,Davie Selke,de  GER,FW,Werder Bremen,26-060,1995,4.7,6,1.31,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
385,Suat Serdar,de  GER,MF,Schalke 04,23-344,1997,17.5,28,1.69,22,1,1,1,2,1,2,0.12,2,0,0,0,0,0,0
386,Ryan Sessegnon,eng  ENG,DF,Hoffenheim,20-307,2000,10.6,16,1.52,14,0,1,1,0,0,2,0.19,2,0,0,0,0,0,0
387,Nils Seufert,de  GER,"MF,FW",Arminia,24-046,1997,3.8,6,1.57,4,1,0,0,1,0,1,0.26,1,0,0,0,0,0,0
388,André Silva,pt  POR,FW,Eint Frankfurt,25-135,1995,22.7,50,2.29,33,0,6,4,6,1,8,0.37,3,0,0,1,4,0,0
389,Jóan Símun Edmundsson,fo  FRO,"MF,FW",Arminia,29-238,1991,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
390,Daley Sinkgraven,nl  NED,DF,Leverkusen,25-260,1995,14.7,28,1.91,22,4,0,0,1,1,3,0.20,2,0,0,0,1,0,0
391,Tobias Sippel,de  GER,GK,M'Gladbach,32-364,1988,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
392,Ellyes Skhiri,tn  TUN,MF,Köln,25-315,1995,24.2,28,1.20,21,2,2,3,0,0,3,0.13,1,0,1,1,0,0,0
393,Robert Skov,dk  DEN,"DF,FW",Hoffenheim,24-305,1996,7.6,18,2.36,10,6,0,2,0,0,1,0.13,0,0,0,1,0,0,0
394,Steven Skrzybski,de  GER,FW,Schalke 04,28-123,1992,4.1,7,1.71,3,1,0,2,1,0,1,0.24,0,0,0,1,0,0,0
395,Yann Sommer,ch  SUI,GK,M'Gladbach,32-094,1988,25.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
396,Borna Sosa,hr  CRO,DF,Stuttgart,23-059,1998,18.0,56,3.20,42,11,0,1,2,0,9,0.51,6,3,0,0,0,0,0
397,Cebio Soukou,bj  BEN,"FW,MF",Arminia,28-170,1992,4.7,8,1.70,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,0
398,Djibril Sow,ch  SUI,MF,Eint Frankfurt,24-043,1997,17.9,25,1.48,22,0,0,0,2,1,4,0.24,3,0,0,0,1,0,0
399,Jerry St. Juste,nl  NED,DF,Mainz 05,24-153,1996,23.0,21,0.91,15,1,1,2,1,1,4,0.17,3,1,0,0,0,0,0
400,Benjamin Stambouli,fr  FRA,"MF,DF",Schalke 04,30-220,1990,17.7,19,1.07,15,1,0,0,2,1,3,0.17,3,0,0,0,0,0,0
401,Niklas Stark,de  GER,"DF,MF",Hertha BSC,25-341,1995,24.9,10,0.40,7,0,0,1,1,1,0,0.00,0,0,0,0,0,0,0
402,Renato Steffen,ch  SUI,"FW,MF",Wolfsburg,29-138,1991,17.4,49,2.82,37,0,4,3,3,2,8,0.46,7,0,0,0,1,0,0
403,Pascal Stenzel,de  GER,DF,Stuttgart,25-001,1996,11.7,8,0.69,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
404,Lars Stindl,de  GER,"MF,FW",M'Gladbach,32-207,1988,18.1,54,3.14,39,6,0,5,2,2,10,0.58,6,0,0,3,0,1,0
405,Kevin Stöger,at  AUT,"MF,FW",Mainz 05,27-206,1993,5.6,19,3.38,15,3,0,1,0,0,0,0.00,0,0,0,0,0,0,0
406,Tobias Strobl,de  GER,MF,Augsburg,30-313,1990,17.6,22,1.25,21,1,0,0,0,0,1,0.06,1,0,0,0,0,0,0
407,Marek Suchý,cz  CZE,DF,Augsburg,32-357,1988,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
408,Niklas Süle,de  GER,DF,Bayern Munich,25-199,1995,14.9,26,1.87,24,0,0,2,0,0,4,0.29,4,0,0,0,0,0,0
409,Ádám Szalai,hu  HUN,FW,Mainz 05,33-102,1987,5.6,6,1.08,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,0
410,Frederik Sørensen,dk  DEN,DF,Köln,28-341,1992,1.1,1,0.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
411,Alexander Sørloth,no  NOR,FW,RB Leipzig,25-106,1995,12.5,46,3.69,34,0,2,6,1,3,3,0.24,2,0,0,1,0,0,0
412,Jonathan Tah,de  GER,DF,Leverkusen,25-038,1996,17.2,3,0.17,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
413,Edmond Tapsoba,bf  BFA,DF,Leverkusen,22-047,1999,21.5,21,0.98,21,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0
414,Niklas Tauer,de  GER,"MF,DF",Mainz 05,20-032,2001,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
415,Lino Tempelmann,de  GER,"MF,DF",Freiburg,22-047,1999,2.6,1,0.39,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0
416,Cedric Teuchert,de  GER,"FW,MF",Union Berlin,24-066,1997,7.2,14,2.03,9,1,1,2,1,0,2,0.29,1,1,0,0,0,0,0
417,Malick Thiaw,de  GER,DF,Schalke 04,19-225,2001,12.4,5,0.44,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
418,Jan Thielmann,de  GER,"FW,MF",Köln,18-299,2002,10.5,14,1.33,13,0,0,1,0,0,2,0.19,1,0,0,1,0,0,0
419,Erik Thommy,de  GER,"FW,DF",Stuttgart,26-213,1994,1.6,6,3.78,4,1,0,1,0,0,2,1.26,2,0,0,0,0,0,0
420,Marcus Thuram,fr  FRA,"FW,MF",M'Gladbach,23-227,1997,12.8,27,2.25,13,0,1,6,7,0,6,0.50,2,0,0,1,3,0,0
421,Steffen Tigges,de  GER,FW,Dortmund,22-233,1998,0.6,1,1.70,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0
422,Guus Til,nl  NED,FW,Freiburg,23-089,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
423,Corentin Tolisso,fr  FRA,MF,Bayern Munich,26-230,1994,8.1,16,1.96,11,3,1,0,1,0,2,0.25,2,0,0,0,0,0,0
424,Ömer Toprak,tr  TUR,DF,Werder Bremen,31-243,1989,18.6,7,0.40,5,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0
425,Jordan Torunarigha,de  GER,DF,Hertha BSC,23-226,1997,7.5,3,0.40,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
426,Almamy Touré,ml  MLI,DF,Eint Frankfurt,24-327,1996,7.7,25,3.24,21,1,1,0,0,2,3,0.39,3,0,0,0,0,0,0
427,Lucas Tousart,fr  FRA,MF,Hertha BSC,23-326,1997,18.8,24,1.28,17,0,0,4,2,1,4,0.21,3,0,0,0,1,0,0
428,Ibrahima Traoré,gn  GUI,FW,M'Gladbach,32-334,1988,1.0,1,0.97,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
429,Kevin Trapp,de  GER,GK,Eint Frankfurt,30-256,1990,26.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
430,Christopher Trimmel,at  AUT,DF,Union Berlin,34-025,1987,22.1,54,2.56,32,21,0,0,1,0,9,0.43,5,3,0,0,1,0,0
431,Tuta,br  BRA,DF,Eint Frankfurt,21-260,1999,10.3,8,0.78,7,1,0,0,0,0,1,0.10,0,1,0,0,0,0,0
432,Dayot Upamecano,fr  FRA,DF,RB Leipzig,22-145,1998,20.1,13,0.65,12,0,0,1,0,0,1,0.05,0,0,0,1,0,0,0
433,Mark Uth,de  GER,"FW,MF",Schalke 04,29-209,1991,14.4,40,2.79,17,11,2,4,3,3,4,0.28,2,0,0,0,1,1,0
434,Ruben Vargas,ch  SUI,"MF,FW",Augsburg,22-228,1998,13.2,24,1.82,19,0,1,1,3,0,2,0.15,2,0,0,0,0,0,0
435,Miloš Veljković,rs  SRB,DF,Werder Bremen,25-176,1995,15.6,4,0.27,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
436,Michel Vlap,nl  NED,MF,Arminia,23-292,1997,3.4,10,2.90,6,3,0,0,0,1,2,0.58,1,1,0,0,0,0,0
437,Andreas Voglsammer,de  GER,"FW,MF",Arminia,29-071,1992,4.2,6,1.44,5,0,0,0,1,0,1,0.24,1,0,0,0,0,0,0
438,Kevin Vogt,de  GER,DF,Hoffenheim,29-179,1991,17.5,9,0.51,8,0,1,0,0,0,2,0.11,1,0,1,0,0,0,0
439,Silas Wamangituka,cd  COD,"DF,FW",Stuttgart,21-166,1999,21.3,58,2.77,39,0,6,7,3,3,10,0.48,6,0,1,1,0,2,0
440,Wout Weghorst,nl  NED,FW,Wolfsburg,28-226,1992,24.7,42,1.77,33,0,0,7,2,0,8,0.34,5,0,0,3,0,0,0
441,Mitchell Weiser,de  GER,DF,Leverkusen,26-334,1994,2.5,2,0.80,1,0,0,1,0,0,1,0.40,0,0,0,1,0,0,0
442,Wendell,br  BRA,DF,Leverkusen,27-244,1993,9.9,6,0.61,6,0,0,0,0,0,1,0.10,1,0,0,0,0,0,0
443,Oscar Wendt,se  SWE,DF,M'Gladbach,35-148,1985,12.2,13,1.06,9,4,0,0,0,0,1,0.08,1,0,0,0,0,0,0
444,Florian Wirtz,de  GER,MF,Leverkusen,17-322,2003,18.6,67,3.60,53,1,8,2,2,1,9,0.48,8,0,1,0,0,0,0
445,Axel Witsel,be  BEL,MF,Dortmund,32-068,1989,12.6,19,1.51,17,0,0,2,0,0,1,0.08,1,0,0,0,0,0,0
446,Hannes Wolf,at  AUT,"FW,MF",M'Gladbach,21-339,1999,12.0,20,1.67,18,0,0,0,2,0,3,0.25,2,0,0,0,1,0,0
447,Marius Wolf,de  GER,"DF,MF",Köln,25-298,1995,22.0,34,1.62,23,0,5,3,3,0,6,0.29,4,0,0,1,1,0,0
448,Nick Woltemade,de  GER,"MF,FW",Werder Bremen,19-035,2002,1.6,5,3.06,3,0,0,1,1,0,1,0.61,1,0,0,0,0,0,0
449,Jeong Woo-yeong,kr  KOR,"FW,MF",Freiburg,21-182,1999,7.7,20,2.60,18,0,0,2,0,0,1,0.13,1,0,0,0,0,0,0
450,Joscha Wosz,de  GER,"DF,FW",RB Leipzig,18-244,2002,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
451,Reinhold Yabo,de  GER,"MF,FW",Arminia,29-039,1992,7.2,7,0.97,5,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0
452,Amin Younes,de  GER,"MF,FW",Eint Frankfurt,27-227,1993,13.3,48,3.62,29,5,7,3,4,0,6,0.45,3,1,2,0,0,0,0
453,Dan-Axel Zagadou,fr  FRA,DF,Dortmund,21-291,1999,3.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
454,Denis Zakaria,ch  SUI,MF,M'Gladbach,24-121,1996,9.9,5,0.51,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0
455,Deyovaisio Zeefuik,nl  NED,"DF,MF",Hertha BSC,23-010,1998,6.1,14,2.30,11,0,2,0,1,0,0,0.00,0,0,0,0,0,0,0
456,Robin Zentner,de  GER,GK,Mainz 05,26-144,1994,24.0,3,0.12,1,1,0,1,0,0,0,0.00,0,0,0,0,0,0,0
457,Ron-Robert Zieler,de  GER,GK,Köln,32-037,1989,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
458,Joshua Zirkzee,nl  NED,FW,Bayern Munich,19-303,2001,1.0,2,1.96,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
459,Steven Zuber,ch  SUI,DF,Eint Frankfurt,29-216,1991,5.4,15,2.86,14,0,0,0,0,1,2,0.38,2,0,0,0,0,0,0
