,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
241,Nehuén Pérez,"€ 16,538","€ 860,000","Jun 30, 2026",4-yrs,"€ 3,440,000",,D,CB,22,Argentina,Atletico Madrid
242,Ivo Grbic,"€ 16,538","€ 860,000","Jun 30, 2024",2-yrs,"€ 1,720,000",,K,GK,26,Croatia,Atletico Madrid
243,Diego Rico,"€ 16,346","€ 850,000","Jun 30, 2023",1-yr,"€ 850,000",,D,LB,29,Spain,Real Sociedad
244,Francisco Portillo,"€ 16,346","€ 850,000","Jun 30, 2023",1-yr,"€ 850,000",,F,RW,32,Spain,Almeria
245,Orbelín Pineda,"€ 16,154","€ 840,000","Jun 30, 2027",5-yrs,"€ 4,200,000",,M,CM,26,Mexico,Celta Vigo
246,Tomás Alarcón,"€ 15,962","€ 830,000","Jun 30, 2025",3-yrs,"€ 2,490,000",,M,DM,23,Chile,Cadiz
247,Iddrisu Baba,"€ 15,769","€ 820,000","Jun 30, 2024",2-yrs,"€ 1,640,000",,M,CM,26,Ghana,Mallorca
248,Omar Mascarell,"€ 15,769","€ 820,000","Jun 30, 2023",1-yr,"€ 820,000",,M,DM,29,Spain,Elche
249,Loren Morón,"€ 15,577","€ 810,000","Jun 30, 2024",2-yrs,"€ 1,620,000",,F,CF,28,Spain,Real Betis
250,Mouctar Diakhaby,"€ 15,385","€ 800,000","Jun 30, 2023",1-yr,"€ 800,000",,D,CB,25,Guinea,Valencia
251,Álvaro García,"€ 15,385","€ 800,000","Jun 30, 2026",4-yrs,"€ 3,200,000",,F,LW,29,Spain,Rayo Vallecano
252,Reinildo Mandava,"€ 15,385","€ 800,000","Jun 30, 2025",3-yrs,"€ 2,400,000",,D,LB,28,Mozambique,Atletico Madrid
253,Álex Centelles,"€ 15,385","€ 800,000","Jun 30, 2026",4-yrs,"€ 3,200,000",,D,LB,22,Spain,Almeria
254,Giovanni González,"€ 15,385","€ 800,000","Jun 30, 2024",2-yrs,"€ 1,600,000",,D,RB,27,Uruguay,Mallorca
255,Antonio Raíllo,"€ 15,000","€ 780,000","Jun 30, 2024",2-yrs,"€ 1,560,000",,D,CB,30,Spain,Mallorca
256,Miguel Baeza,"€ 15,000","€ 780,000","Jun 30, 2025",3-yrs,"€ 2,340,000",,F,AM,22,Spain,Celta Vigo
257,Rubén Alcaraz,"€ 14,808","€ 770,000","Jun 30, 2024",2-yrs,"€ 1,540,000",,M,CM,31,Spain,Cadiz
258,Darko Brasanac,"€ 14,808","€ 770,000","Jun 30, 2023",1-yr,"€ 770,000",,M,CM,30,Serbia,Osasuna
259,Aleix Febas,"€ 14,615","€ 760,000","Jun 30, 2023",1-yr,"€ 760,000",,M,CM,26,Spain,Mallorca
260,Giorgi Mamardashvili,"€ 14,615","€ 760,000","Jun 30, 2024",2-yrs,"€ 1,520,000",,K,GK,21,Georgia,Valencia
261,Koba Koindredi,"€ 14,615","€ 760,000","Jun 30, 2025",3-yrs,"€ 2,280,000",,M,CM,20,Neukaledonien,Valencia
262,Youssouf Sabaly,"€ 14,423","€ 750,000","Jun 30, 2026",4-yrs,"€ 3,000,000",,D,RB,29,Senegal,Real Betis
263,Miguel Gutiérrez,"€ 14,423","€ 750,000","Jun 30, 2024",2-yrs,"€ 1,500,000",,D,LB,20,Spain,Real Madrid
264,Alejandro Pozo,"€ 13,846","€ 720,000","Jun 30, 2027",5-yrs,"€ 3,600,000",,D,RB,23,Spain,Almeria
265,Roberto Torres,"€ 13,654","€ 710,000","Jun 30, 2023",1-yr,"€ 710,000",,F,AM,33,Spain,Osasuna
266,Martin Valjent,"€ 13,462","€ 700,000","Jun 30, 2025",3-yrs,"€ 2,100,000",,D,CB,26,Slovakia,Mallorca
