,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
33,Tiemoué Bakayoko,fr  FRA,MF,Milan,26,1994,5.6,0,4,0,0.0,0.72,0.00,0.00,,18.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3
34,Tommaso Baldanzi,it  ITA,FW,Empoli,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
35,Keita Baldé,sn  SEN,"FW,MF",Cagliari,26,1995,13.7,3,26,9,34.6,1.90,0.66,0.12,0.33,12.2,0,0,0,3.2,3.2,0.12,-0.2,-0.2
36,Fodé Ballo-Touré,sn  SEN,DF,Milan,24,1997,5.0,0,3,1,33.3,0.61,0.20,0.00,0.00,13.3,0,0,0,0.5,0.5,0.18,-0.5,-0.5
37,Filippo Bandinelli,it  ITA,MF,Empoli,26,1995,21.7,2,40,12,30.0,1.84,0.55,0.05,0.17,18.5,0,0,0,2.6,2.6,0.06,-0.6,-0.6
38,Mattia Bani,it  ITA,DF,Genoa,27,1993,13.5,0,9,0,0.0,0.67,0.00,0.00,,8.3,0,0,0,1.2,1.2,0.13,-1.2,-1.2
39,Antonín Barák,cz  CZE,"FW,MF",Hellas Verona,26,1994,26.0,11,48,20,41.7,1.85,0.77,0.15,0.35,14.8,2,4,4,9.5,6.5,0.13,+1.5,+0.5
40,Francesco Bardi,it  ITA,GK,Bologna,29,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
41,Nicolò Barella,it  ITA,MF,Inter,24,1997,32.4,3,68,12,17.6,2.10,0.37,0.04,0.25,19.7,0,0,0,5.2,5.2,0.08,-2.2,-2.2
42,Musa Barrow,gm  GAM,"FW,MF",Bologna,22,1998,23.7,6,72,28,38.9,3.04,1.18,0.08,0.21,20.3,3,0,0,5.4,5.4,0.08,+0.6,+0.6
43,Toma Bašić,hr  CRO,MF,Lazio,24,1996,10.9,0,16,11,68.8,1.47,1.01,0.00,0.00,20.2,2,0,0,1.7,1.7,0.13,-1.7,-1.7
