,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
85,Franco Cervi,ar  ARG,MF,Celta Vigo,28-158,1994,11,10,842,9.4,0,1,0,0,0,0,1,0.00,0.11,0.11,0.00,0.11,0.6,0.6,0.5,1.1,0.06,0.06,0.12,0.06,0.12
86,Pep Chavarría,es  ESP,"DF,FW",Rayo Vallecano,24-204,1998,4,0,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05
87,Andreas Christensen,dk  DEN,DF,Barcelona,26-204,1996,3,3,239,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06
88,Samuel Chukwueze,ng  NGA,"MF,FW",Villarreal,23-162,1999,11,3,358,4.0,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.6,0.6,0.8,1.4,0.16,0.19,0.35,0.16,0.35
89,Víctor Chust,es  ESP,DF,Cádiz,22-240,2000,10,8,826,9.2,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,0.8,0.8,0.0,0.8,0.09,0.00,0.09,0.09,0.09
90,Pathé Ciss,sn  SEN,"MF,DF",Rayo Vallecano,28-229,1994,11,6,610,6.8,1,0,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.3,1.3,0.1,1.4,0.19,0.02,0.21,0.19,0.21
91,Carlos Clerc,es  ESP,DF,Elche,30-252,1992,7,7,602,6.7,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.4,0.4,0.3,0.7,0.06,0.04,0.10,0.06,0.10
92,Álex Collado,es  ESP,MF,Elche,23-192,1999,6,6,379,4.2,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.4,0.7,0.07,0.09,0.16,0.07,0.16
93,Eray Cömert,ch  SUI,DF,Valencia,24-269,1998,9,8,691,7.7,1,0,1,0,0,3,1,0.13,0.00,0.13,0.13,0.13,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03
94,Santi Comesaña,es  ESP,MF,Rayo Vallecano,26-026,1996,10,6,581,6.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.6,1.6,0.16,0.09,0.25,0.16,0.25
95,Copete,es  ESP,DF,Mallorca,23-021,1999,10,10,817,9.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.2,0.0,0.2,0.07,0.01,0.08,0.02,0.03
96,Francis Coquelin,fr  FRA,MF,Villarreal,31-171,1991,10,6,502,5.6,1,0,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,0.5,0.5,0.7,1.2,0.09,0.13,0.22,0.09,0.22
97,Jesús Corona,mx  MEX,MF,Sevilla,29-298,1993,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.27,0.27,0.00,0.27
98,Ángel Correa,ar  ARG,"FW,MF",Atlético Madrid,27-236,1995,12,4,407,4.5,3,0,3,0,0,0,0,0.66,0.00,0.66,0.66,0.66,2.3,2.3,0.8,3.1,0.51,0.19,0.70,0.51,0.70
99,Thierry Correia,pt  POR,DF,Valencia,23-236,1999,12,12,1031,11.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.01,0.03,0.04,0.01,0.04
100,Jaume Costa,es  ESP,DF,Mallorca,34-227,1988,9,9,784,8.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.07,0.03,0.10,0.07,0.10
101,Samu Costa,pt  POR,MF,Almería,21-338,2000,9,7,670,7.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.04,0.06,0.03,0.06
102,Thibaut Courtois,be  BEL,GK,Real Madrid,30-173,1992,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
103,Yan Couto,br  BRA,"DF,FW",Girona,20-150,2002,10,5,506,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.01,0.07,0.08,0.01,0.08
104,Juan Cruz Armada,es  ESP,DF,Osasuna,30-095,1992,12,10,916,10.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.02,0.06,0.08,0.02,0.08
105,Juan Cruz,es  ESP,MF,Betis,22-189,2000,4,0,111,1.2,1,0,1,0,0,0,0,0.81,0.00,0.81,0.81,0.81,0.4,0.4,0.0,0.4,0.34,0.00,0.34,0.34,0.34
