,,,,Nation,Pos,Age,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
ESP-La Liga,2122,Espanyol,Squad Total,,,27.6,38.0,21243,2810,7794,10023,4810,645,19449,319,589,54.2,346,33,13321,69247,35721,1346,476,126,447,421,15532,13438,86.5,934
ESP-La Liga,2122,Espanyol,Tonny Vilhena,NED,"MF,FW",26.0,10.3,456,28,92,207,187,24,433,6,8,75.0,6,1,289,1474,871,39,15,2,10,18,362,302,83.4,51
ESP-La Liga,2122,Espanyol,Victor Perea,ESP,DF,21.0,0.0,3,0,1,2,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,1,1,100.0,0
ESP-La Liga,2122,Espanyol,Wu Lei,CHN,"FW,MF",29.0,5.3,152,3,21,84,58,21,148,2,8,25.0,2,0,86,403,219,13,3,2,12,3,168,92,54.8,27
ESP-La Liga,2122,Espanyol,Yangel Herrera,VEN,MF,23.0,18.3,1099,58,300,678,179,19,1082,21,31,67.7,22,2,722,2856,1104,43,14,0,19,31,819,731,89.3,43
ESP-La Liga,2122,Espanyol,Álvaro Vadillo,ESP,"MF,DF",26.0,0.1,14,1,5,4,5,1,12,0,0,,0,0,8,39,28,3,0,1,0,0,12,9,75.0,0
ESP-La Liga,2122,Espanyol,Óscar Gil,ESP,DF,23.0,18.8,990,63,346,408,283,16,833,12,34,35.3,14,3,556,2362,1210,48,21,4,28,14,614,537,87.5,37
ESP-La Liga,2122,Espanyol,Óscar Melendo,ESP,"MF,FW",23.0,11.0,558,8,70,361,176,11,547,6,17,35.3,8,0,435,2487,1054,48,19,1,11,13,483,428,88.6,34
ESP-La Liga,2122,Getafe,Allan Nyom,CMR,DF,33.0,2.7,116,9,46,59,16,0,93,2,2,100.0,2,0,52,205,92,6,2,0,2,1,62,53,85.5,1
ESP-La Liga,2122,Getafe,Borja Mayoral,ESP,FW,24.0,11.6,384,8,31,204,170,50,371,14,30,46.7,15,1,261,1177,547,29,9,6,30,19,445,267,60.0,70
ESP-La Liga,2122,Getafe,Carles Aleñá,ESP,MF,23.0,25.8,1109,14,143,648,381,24,1073,15,34,44.1,18,2,806,3765,1737,86,25,3,33,43,995,801,80.5,82
ESP-La Liga,2122,Getafe,Chema,ESP,MF,29.0,0.5,16,2,3,11,2,0,14,0,0,,0,0,6,31,13,0,0,0,0,0,7,7,100.0,1
ESP-La Liga,2122,Getafe,Damián Suárez,URU,DF,33.0,30.1,1776,73,416,899,547,22,1397,12,41,29.3,14,2,896,3615,2114,98,39,4,32,22,1020,882,86.5,37
ESP-La Liga,2122,Getafe,Darío Poveda,ESP,"FW,MF",24.0,4.2,141,2,10,76,68,8,137,7,17,41.2,8,0,94,426,232,14,6,2,18,9,171,103,60.2,27
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28.0,37.9,1272,1079,1264,10,0,0,815,0,0,,0,0,509,2611,1670,0,0,0,0,0,411,408,99.3,0
ESP-La Liga,2122,Getafe,David Timor,ESP,MF,31.0,3.8,206,6,40,134,40,1,188,2,3,66.7,2,0,106,496,218,9,2,0,1,4,131,124,94.7,5
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22.0,0.1,6,5,6,0,0,0,3,0,0,,0,0,2,14,11,0,0,0,0,0,2,2,100.0,0
ESP-La Liga,2122,Getafe,Djené,TOG,DF,29.0,34.6,1642,193,788,844,106,13,1610,16,17,94.1,16,0,980,4906,2168,83,24,0,11,13,900,881,97.9,2
ESP-La Liga,2122,Getafe,Emmanuel Amankwaa Akurugu,GHA,DF,19.0,0.9,49,1,11,27,14,3,41,3,4,75.0,3,0,26,165,110,6,1,1,2,0,33,25,75.8,2
ESP-La Liga,2122,Getafe,Enes Ünal,TUR,FW,24.0,31.1,1111,35,79,575,517,129,1065,18,51,35.3,26,3,597,2075,928,48,25,5,107,58,1462,820,56.1,164
ESP-La Liga,2122,Getafe,Erick Cabaco,URU,DF,26.0,4.5,203,22,90,106,13,4,196,0,0,,0,0,106,504,301,15,2,0,1,0,121,120,99.2,1
ESP-La Liga,2122,Getafe,Florentino Luís,POR,MF,21.0,11.0,560,24,141,357,82,6,555,3,7,42.9,3,1,314,1116,419,19,2,1,8,13,339,309,91.2,11
ESP-La Liga,2122,Getafe,Gonzalo Villar,ESP,MF,23.0,3.3,181,4,34,131,28,1,175,5,7,71.4,5,1,127,590,298,14,4,0,7,4,123,117,95.1,2
ESP-La Liga,2122,Getafe,Hugo Duro,ESP,"DF,MF",21.0,0.1,6,0,0,0,6,5,6,0,0,,0,0,2,5,2,0,0,0,0,0,5,5,100.0,2
ESP-La Liga,2122,Getafe,Iglesias,ESP,DF,23.0,8.0,444,23,139,224,110,2,347,5,11,45.5,5,1,200,1046,518,25,10,0,9,5,217,177,81.6,9
ESP-La Liga,2122,Getafe,Jaime Mata,ESP,FW,32.0,7.5,295,6,25,126,157,35,286,5,9,55.6,5,1,186,801,399,13,7,1,28,11,397,226,56.9,69
ESP-La Liga,2122,Getafe,Jakub Jankto,CZE,"DF,MF",25.0,6.5,297,10,66,150,101,12,263,2,5,40.0,2,0,174,951,527,25,7,2,5,7,195,168,86.2,14
ESP-La Liga,2122,Getafe,Jonathan Silva,ARG,"DF,MF",27.0,2.5,136,6,44,54,43,2,123,1,2,50.0,2,0,74,373,248,10,3,1,3,3,87,75,86.2,6
ESP-La Liga,2122,Getafe,Jorge Cuenca,ESP,DF,21.0,29.8,1414,170,746,660,52,28,1358,7,8,87.5,7,0,684,2892,1272,32,5,0,11,6,739,714,96.6,3
ESP-La Liga,2122,Getafe,José Juan Macías,MEX,"FW,MF",21.0,2.2,76,1,5,37,38,12,74,3,7,42.9,3,1,55,189,62,5,1,1,6,6,101,58,57.4,20
ESP-La Liga,2122,Getafe,Marc Cucurella,ESP,"FW,DF",23.0,0.3,24,0,2,6,18,2,21,1,1,100.0,1,0,18,150,106,4,2,1,0,0,16,13,81.3,2
ESP-La Liga,2122,Getafe,Mathías Olivera,URU,DF,23.0,31.1,1899,91,490,934,597,71,1570,16,45,35.6,19,3,904,5361,3478,155,59,17,44,43,1121,924,82.4,50
ESP-La Liga,2122,Getafe,Mauro Arambarri,URU,MF,25.0,29.6,1585,42,286,1011,359,19,1444,39,56,69.6,39,1,975,4990,2066,97,24,3,29,36,1003,931,92.8,46
ESP-La Liga,2122,Getafe,Nemanja Maksimović,SRB,MF,26.0,32.6,1190,62,255,669,314,70,1163,12,18,66.7,12,0,610,3013,1395,82,23,5,27,17,731,615,84.1,42
ESP-La Liga,2122,Getafe,Okay Yokuşlu,TUR,"DF,MF",27.0,5.2,239,32,122,113,19,3,232,0,0,,0,0,133,766,385,10,1,0,3,3,125,124,99.2,3
ESP-La Liga,2122,Getafe,Opponent Total,,,27.8,38.0,25338,2284,8118,13249,5538,744,23472,305,573,53.2,330,41,16361,79569,41422,1599,478,109,519,396,19517,16901,86.6,1209
ESP-La Liga,2122,Getafe,Sandro Ramírez,ESP,FW,26.0,16.2,630,8,51,274,352,69,599,19,56,33.9,24,1,468,2500,1096,49,16,17,45,21,737,456,61.9,118
ESP-La Liga,2122,Getafe,Squad Total,,,26.6,38.0,18824,2137,6123,9213,4420,621,16928,225,460,48.9,251,19,10331,50150,24707,1002,328,77,491,362,12812,10436,81.5,834
ESP-La Liga,2122,Getafe,Stefan Mitrović,SRB,DF,31.0,29.6,1130,193,684,474,23,13,1076,2,3,66.7,2,0,506,2887,1028,13,0,0,4,2,571,557,97.5,3
ESP-La Liga,2122,Getafe,Vitolo,ESP,"MF,FW",31.0,2.5,144,2,11,81,66,5,135,5,7,71.4,5,0,109,624,374,23,7,3,4,6,141,119,84.4,16
ESP-La Liga,2122,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",23.0,10.5,543,14,95,319,181,12,498,11,19,57.9,13,1,351,1906,893,32,22,4,21,10,404,355,87.9,26
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25.0,3.2,135,118,133,2,0,0,83,0,0,,0,0,46,285,175,0,0,0,0,0,36,36,100.0,0
ESP-La Liga,2122,Granada,Adrián Butzke,ESP,FW,22.0,0.0,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0
ESP-La Liga,2122,Granada,Alberto Soro,ESP,"MF,FW",22.0,6.4,272,3,58,117,109,22,259,4,7,57.1,5,0,167,744,445,25,4,2,12,15,247,166,67.2,30
ESP-La Liga,2122,Granada,Antonio Puertas,ESP,"MF,FW",29.0,25.1,987,37,190,463,400,66,951,31,63,49.2,33,4,638,3405,1687,88,30,8,50,41,912,658,72.1,102
ESP-La Liga,2122,Granada,Barcia,ESP,DF,20.0,0.8,24,2,10,13,1,0,24,0,0,,0,0,11,66,41,1,0,0,0,1,9,9,100.0,0
ESP-La Liga,2122,Granada,Carlos Bacca,COL,FW,34.0,5.7,156,6,17,66,81,24,148,8,10,80.0,8,1,92,502,286,17,4,7,8,5,201,108,53.7,30
ESP-La Liga,2122,Granada,Carlos Neva,ESP,DF,25.0,23.4,1214,99,482,512,286,11,973,9,18,50.0,11,0,581,2887,1392,54,18,1,17,17,662,568,85.8,44
ESP-La Liga,2122,Granada,Dani Raba,ESP,"MF,FW",25.0,0.3,17,1,3,8,6,1,17,0,0,,0,0,8,45,33,2,0,0,1,3,10,9,90.0,1
ESP-La Liga,2122,Granada,Darwin Machís,VEN,"MF,FW",28.0,15.3,682,17,131,304,312,45,662,27,52,51.9,28,3,506,3350,1931,90,27,9,46,28,603,452,75.0,71
ESP-La Liga,2122,Granada,Dimitri Foulquier,FRA,DF,28.0,2.0,92,3,24,53,19,0,68,1,1,100.0,1,0,36,162,73,4,1,0,2,3,50,43,86.0,1
ESP-La Liga,2122,Granada,Domingos Duarte,POR,DF,26.0,18.7,896,158,494,427,28,12,866,1,3,33.3,1,0,447,2345,1071,21,4,0,4,1,491,480,97.8,1
ESP-La Liga,2122,Granada,Germán Sánchez,ESP,DF,34.0,25.5,1298,239,754,557,51,31,1245,0,3,0.0,0,0,638,3438,1617,31,3,0,2,1,739,717,97.0,7
ESP-La Liga,2122,Granada,Isma Ruiz,ESP,MF,20.0,3.1,151,4,37,92,28,5,150,2,2,100.0,2,0,99,503,236,13,1,1,1,3,105,99,94.3,2
ESP-La Liga,2122,Granada,Jorge Molina,ESP,FW,39.0,21.8,743,18,58,367,348,105,726,5,16,31.3,7,2,383,1346,640,39,9,6,39,31,945,580,61.4,132
ESP-La Liga,2122,Granada,Luis Abram,PER,DF,25.0,6.2,290,63,186,113,7,5,282,0,0,,0,0,156,803,478,7,0,0,2,0,187,182,97.3,1
ESP-La Liga,2122,Granada,Luis Javier Suárez,COL,FW,23.0,31.6,1079,28,91,517,555,127,1044,35,71,49.3,39,2,733,4001,2357,136,37,29,107,46,1316,797,60.6,215
ESP-La Liga,2122,Granada,Luis Milla,ESP,MF,26.0,30.8,1700,76,372,1066,387,27,1516,22,34,64.7,24,2,1063,6477,3557,138,39,6,14,19,1090,1011,92.8,40
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22.0,34.8,1263,1090,1256,10,0,0,807,1,1,100.0,1,0,500,2660,1605,0,0,0,0,3,378,378,100.0,0
ESP-La Liga,2122,Granada,Matias Arezo,URU,FW,18.0,1.8,73,2,6,32,38,9,70,1,3,33.3,1,0,34,192,132,7,1,2,14,3,73,45,61.6,16
ESP-La Liga,2122,Granada,Maxime Gonalons,FRA,MF,32.0,17.2,838,61,254,550,94,11,820,9,15,60.0,9,0,520,3340,1359,50,17,2,9,21,520,477,91.7,8
ESP-La Liga,2122,Granada,Monchu,ESP,MF,21.0,7.4,423,13,103,267,86,5,407,4,9,44.4,5,1,274,1351,654,29,12,0,8,10,312,278,89.1,10
ESP-La Liga,2122,Granada,Myrto Uzuni,ALB,"MF,FW",26.0,9.5,343,14,71,142,153,33,328,7,21,33.3,8,0,208,1029,510,29,6,6,27,15,318,192,60.4,31
ESP-La Liga,2122,Granada,Njegoš Petrović,SRB,MF,22.0,10.2,448,19,97,294,90,7,443,6,13,46.2,7,0,281,1318,716,23,11,1,11,6,284,252,88.7,10
ESP-La Liga,2122,Granada,Opponent Total,,,27.6,38.0,23238,2332,6998,11149,6456,1058,21321,325,604,53.8,352,34,14452,74982,40498,1697,523,174,538,431,17291,14813,85.7,1257
ESP-La Liga,2122,Granada,Quini,ESP,DF,31.0,25.6,1255,108,458,524,329,27,1037,15,29,51.7,18,2,595,2843,1356,48,17,2,22,19,601,530,88.2,34
ESP-La Liga,2122,Granada,Raúl Torrente,ESP,DF,19.0,14.2,751,138,459,326,20,5,735,0,0,,0,0,394,2699,1583,23,2,0,3,0,453,440,97.1,0
ESP-La Liga,2122,Granada,Rubén Rochina,ESP,"MF,FW",30.0,8.3,503,13,69,285,179,8,467,8,16,50.0,10,0,340,1735,743,33,12,1,25,16,406,342,84.2,30
ESP-La Liga,2122,Granada,Santiago Arias,COL,DF,29.0,4.9,273,22,85,103,97,6,224,3,7,42.9,3,1,141,616,321,16,7,0,5,2,137,118,86.1,10
ESP-La Liga,2122,Granada,Sergio Escudero,ESP,"DF,MF",31.0,15.9,924,48,281,472,211,15,760,3,13,23.1,3,0,442,1917,1034,40,10,3,8,15,477,414,86.8,26
ESP-La Liga,2122,Granada,Squad Total,,,28.1,38.0,19220,2601,6937,8918,4446,664,17317,229,460,49.8,252,22,10733,56538,28979,1088,315,95,479,379,13155,10770,81.9,916
ESP-La Liga,2122,Granada,Víctor Díaz,ESP,DF,33.0,16.7,853,136,458,375,59,14,797,2,5,40.0,2,1,445,2010,987,25,7,0,2,1,487,473,97.1,2
ESP-La Liga,2122,Granada,Yan Brice Eteki,CMR,MF,23.0,3.8,177,17,36,113,36,1,176,1,3,33.3,1,0,101,350,152,3,3,0,3,9,109,89,81.7,2
ESP-La Liga,2122,Granada,Álex Collado,ESP,"MF,FW",22.0,11.3,561,12,84,270,254,24,517,21,40,52.5,21,3,379,2039,1014,65,25,9,25,26,412,328,79.6,31
ESP-La Liga,2122,Granada,Ángel Montoro,ESP,MF,33.0,14.8,798,36,180,477,182,18,714,3,5,60.0,4,0,475,2080,794,31,8,0,12,19,584,498,85.3,29
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30.0,13.0,415,364,409,8,0,0,299,0,0,,0,0,183,627,418,0,0,0,0,0,159,159,100.0,0
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17.0,1.0,27,26,27,0,0,0,17,0,0,,0,0,14,31,14,0,0,0,0,0,15,15,100.0,0
ESP-La Liga,2122,Levante,Carlos Clerc,ESP,DF,29.0,16.8,1029,60,373,495,223,14,876,24,32,75.0,25,1,589,3167,1884,82,17,2,5,7,626,584,93.3,28
ESP-La Liga,2122,Levante,Coke,ESP,DF,34.0,1.3,83,8,40,27,19,3,69,2,3,66.7,2,0,42,210,105,5,2,1,1,1,41,37,90.2,2
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24.0,24.0,793,710,787,7,0,0,531,1,1,100.0,1,0,329,1357,787,0,0,0,0,0,306,305,99.7,0
ESP-La Liga,2122,Levante,Dani Gómez,ESP,FW,23.0,11.8,379,9,30,183,193,57,359,18,45,40.0,20,2,286,1269,699,42,10,9,39,35,494,279,56.5,88
ESP-La Liga,2122,Levante,Enis Bardhi,MKD,"MF,FW",26.0,18.9,997,13,131,474,463,51,898,36,64,56.3,39,3,709,3242,1822,109,34,14,42,37,832,679,81.6,98
ESP-La Liga,2122,Levante,Enric Franquesa,ESP,DF,24.0,6.9,344,12,85,176,97,5,289,8,18,44.4,9,2,197,1015,572,29,6,1,9,8,224,187,83.5,15
ESP-La Liga,2122,Levante,Gonzalo Melero,ESP,MF,27.0,18.8,986,50,243,604,198,28,969,12,20,60.0,12,3,671,3057,1564,67,14,1,22,35,819,724,88.4,51
ESP-La Liga,2122,Levante,Jorge Miramón,ESP,DF,32.0,22.0,1261,100,451,570,316,17,1047,18,28,64.3,20,1,682,3272,1766,67,25,1,22,27,757,676,89.3,49
ESP-La Liga,2122,Levante,Jorge de Frutos,ESP,"MF,FW",24.0,19.6,767,22,131,316,378,86,734,31,76,40.8,35,4,532,2986,1990,105,31,25,40,35,726,489,67.4,128
ESP-La Liga,2122,Levante,José Campaña,ESP,MF,28.0,15.8,1030,36,236,588,278,19,954,16,32,50.0,17,5,687,3853,1999,80,29,2,9,21,778,700,90.0,45
ESP-La Liga,2122,Levante,José Luis García Vayá,ESP,MF,22.0,22.4,1470,62,384,889,287,13,1399,13,20,65.0,14,2,914,3975,1997,70,26,0,17,14,1040,983,94.5,31
ESP-La Liga,2122,Levante,José Luis Morales,ESP,"FW,MF",34.0,30.2,1212,12,133,504,698,163,1137,60,131,45.8,71,11,893,5114,3465,157,58,55,73,92,1227,838,68.3,210
ESP-La Liga,2122,Levante,Marcelo Saracchi,URU,DF,23.0,2.1,128,10,47,46,42,1,110,2,2,100.0,2,0,72,337,175,7,5,0,1,1,80,70,87.5,8
ESP-La Liga,2122,Levante,Martín Cáceres,URU,DF,34.0,7.4,404,37,190,204,38,4,392,0,0,,0,0,255,1405,771,20,7,1,2,1,271,263,97.0,3
ESP-La Liga,2122,Levante,Mickael Malsa,MTQ,MF,25.0,12.7,675,35,207,415,82,15,667,4,9,44.4,5,0,425,1882,980,30,5,0,13,8,450,411,91.3,13
ESP-La Liga,2122,Levante,Nemanja Radoja,SRB,MF,28.0,13.5,609,42,175,374,94,10,596,8,13,61.5,8,1,390,1689,665,28,9,1,17,19,432,383,88.7,23
ESP-La Liga,2122,Levante,Nikola Vukčević,MNE,MF,29.0,1.3,91,5,25,63,7,0,90,1,1,100.0,1,0,39,256,134,2,0,0,0,1,47,44,93.6,0
ESP-La Liga,2122,Levante,Omar Faraj,SWE,FW,19.0,0.0,5,0,4,1,1,0,5,0,0,,0,0,4,23,5,0,0,0,2,1,3,2,66.7,0
ESP-La Liga,2122,Levante,Opponent Total,,,27.4,38.0,22892,2414,7183,11060,6043,977,21062,287,537,53.4,310,29,14188,75733,40938,1679,520,177,482,389,17495,14834,84.8,1217
ESP-La Liga,2122,Levante,Pablo Martínez,ESP,MF,23.0,7.3,354,11,81,208,96,11,342,7,13,53.8,8,0,230,1212,589,25,9,0,13,11,267,223,83.5,31
ESP-La Liga,2122,Levante,Pubill,ESP,DF,18.0,5.7,341,11,92,139,131,14,286,2,3,66.7,3,0,210,847,456,24,8,2,18,3,233,199,85.4,10
ESP-La Liga,2122,Levante,Rober,ESP,DF,26.0,22.3,1269,193,749,523,78,13,1232,4,5,80.0,4,0,749,4261,2345,57,19,0,7,4,772,752,97.4,3
ESP-La Liga,2122,Levante,Roberto Soldado,ESP,FW,36.0,7.4,209,8,16,104,93,39,195,2,5,40.0,3,0,112,259,109,6,0,5,14,6,263,141,53.6,46
ESP-La Liga,2122,Levante,Roger Martí,ESP,FW,30.0,23.5,695,6,36,377,317,100,642,11,27,40.7,12,1,448,1896,837,55,20,6,65,29,955,506,53.0,156
ESP-La Liga,2122,Levante,Rúben Vezo,POR,DF,27.0,26.9,1541,240,897,671,65,24,1477,6,9,66.7,6,1,886,4758,2559,47,8,0,9,6,958,946,98.7,6
ESP-La Liga,2122,Levante,Sergio Postigo,ESP,DF,32.0,9.4,443,96,265,186,11,6,426,0,2,0.0,0,0,249,1215,670,15,0,0,2,3,259,256,98.8,1
ESP-La Liga,2122,Levante,Shkodran Mustafi,GER,DF,29.0,7.3,430,77,262,182,12,4,418,1,3,33.3,1,0,244,1430,702,11,1,0,0,1,276,267,96.7,1
ESP-La Liga,2122,Levante,Son,ESP,DF,27.0,21.9,1270,66,403,554,382,40,1062,18,40,45.0,22,2,731,3062,1816,86,25,10,22,16,816,736,90.2,55
ESP-La Liga,2122,Levante,Squad Total,,,28.0,38.0,20622,2545,7663,9434,4739,791,18832,313,620,50.5,351,39,12529,61366,33884,1264,378,140,479,439,15084,12715,84.3,1146
ESP-La Liga,2122,Levante,Álex Cantero,ESP,"FW,MF",21.0,6.8,207,4,31,90,106,30,203,7,16,43.8,9,0,145,825,558,22,10,4,15,11,241,153,63.5,44
ESP-La Liga,2122,Levante,Óscar Duarte,CRC,DF,32.0,19.7,1158,220,723,456,34,24,1111,1,2,50.0,2,0,612,2834,1431,16,0,0,0,6,717,708,98.7,1
ESP-La Liga,2122,Mallorca,Abdón Prats,ESP,FW,28.0,7.1,247,5,22,113,120,39,230,8,13,61.5,9,0,135,443,187,10,4,2,17,20,323,174,53.9,45
ESP-La Liga,2122,Mallorca,Aleix Febas,ESP,MF,25.0,1.3,73,1,6,55,15,2,72,3,4,75.0,3,0,57,244,139,8,2,1,2,4,55,49,89.1,6
ESP-La Liga,2122,Mallorca,Aleksandar Sedlar,SRB,"DF,MF",29.0,4.5,211,36,134,84,6,1,206,0,0,,0,0,111,605,285,6,2,0,1,2,122,114,93.4,0
ESP-La Liga,2122,Mallorca,Amath,SEN,"FW,MF",25.0,9.8,348,13,64,163,151,30,341,16,30,53.3,17,4,240,1206,674,37,14,6,22,18,359,226,63.0,50
ESP-La Liga,2122,Mallorca,Antonio Raillo,ESP,DF,29.0,17.0,792,153,499,317,39,14,760,0,0,,0,0,403,3075,1670,33,7,1,1,1,445,432,97.1,1
ESP-La Liga,2122,Mallorca,Antonio Sánchez,ESP,"MF,FW",24.0,18.0,943,50,248,495,249,29,916,18,36,50.0,20,3,623,3001,1308,55,14,5,20,31,635,538,84.7,58
ESP-La Liga,2122,Mallorca,Brian Oliván,ESP,DF,27.0,24.3,1231,96,453,529,319,36,1010,1,4,25.0,2,0,577,3221,1867,75,32,5,11,8,691,631,91.3,42
ESP-La Liga,2122,Mallorca,Clément Grenier,FRA,MF,30.0,0.7,49,2,14,24,13,4,47,0,2,0.0,0,0,35,130,55,4,0,1,0,1,34,32,94.1,2
ESP-La Liga,2122,Mallorca,Dani Rodríguez,ESP,"MF,FW",33.0,31.5,1390,40,220,720,568,93,1330,56,96,58.3,62,6,970,5096,2607,114,46,18,58,90,1188,919,77.4,131
ESP-La Liga,2122,Mallorca,Dominik Greif,SVK,GK,24.0,1.0,33,32,33,0,0,0,21,0,0,,0,0,13,25,20,0,0,0,0,0,10,10,100.0,0
ESP-La Liga,2122,Mallorca,Fernando Niño,ESP,FW,20.0,9.8,340,17,42,168,145,46,324,8,16,50.0,9,0,163,876,510,25,8,6,24,19,424,235,55.4,62
ESP-La Liga,2122,Mallorca,Franco Russo,ARG,DF,26.0,16.3,832,146,465,371,37,18,791,4,7,57.1,4,1,398,2264,917,23,2,0,6,2,454,428,94.3,5
ESP-La Liga,2122,Mallorca,Giovanni González,URU,DF,26.0,4.1,253,19,73,115,74,11,209,3,5,60.0,3,0,115,487,253,11,2,3,2,2,149,125,83.9,9
ESP-La Liga,2122,Mallorca,Iddrisu Baba,GHA,MF,25.0,21.5,1023,74,331,640,117,9,1010,15,27,55.6,17,2,648,3211,1447,48,22,0,13,28,557,524,94.1,6
ESP-La Liga,2122,Mallorca,Iñigo Ruiz de Galarreta,ESP,MF,27.0,15.3,938,38,210,613,174,7,900,18,28,64.3,18,1,611,2800,1455,62,23,0,11,18,634,585,92.3,23
ESP-La Liga,2122,Mallorca,Jaume Costa,ESP,DF,33.0,20.3,1201,77,347,510,405,23,993,11,15,73.3,11,0,629,3119,1882,99,30,2,15,13,691,620,89.7,50
ESP-La Liga,2122,Mallorca,Javier Llabrés,,"FW,MF",,1.5,83,0,6,36,44,4,81,3,5,60.0,4,0,58,267,129,9,1,2,2,4,81,66,81.5,12
ESP-La Liga,2122,Mallorca,Joan Sastre Vanrell,ESP,DF,24.0,2.9,144,15,56,66,29,2,121,3,4,75.0,3,0,75,285,170,6,3,0,1,3,79,75,94.9,3
ESP-La Liga,2122,Mallorca,Jordi Mboula,ESP,FW,22.0,4.8,148,6,24,78,68,13,147,9,14,64.3,10,1,103,760,515,24,7,6,14,11,173,99,57.2,22
ESP-La Liga,2122,Mallorca,Josep Antoni Gayá,ESP,DF,21.0,0.6,32,9,24,11,0,0,30,0,0,,0,0,14,76,28,0,0,0,1,0,19,19,100.0,0
ESP-La Liga,2122,Mallorca,Lago Junior,CIV,"FW,MF",30.0,2.0,86,2,14,28,50,11,85,5,8,62.5,6,1,64,364,259,16,2,4,7,8,95,69,72.6,10
ESP-La Liga,2122,Mallorca,Lee Kangin,KOR,"MF,FW",20.0,15.7,802,10,98,406,345,27,706,35,60,58.3,40,0,588,2484,1089,59,18,5,36,43,679,549,80.9,50
ESP-La Liga,2122,Mallorca,Leonardo Román,ESP,GK,21.0,2.0,77,69,76,1,0,0,54,1,1,100.0,1,0,28,140,60,0,0,0,0,0,28,28,100.0,0
ESP-La Liga,2122,Mallorca,Manolo Reina,ESP,GK,36.0,21.0,679,602,675,4,0,0,413,0,0,,0,0,273,1732,1062,0,0,0,0,0,231,231,100.0,0
ESP-La Liga,2122,Mallorca,Martin Valjent,SVK,DF,25.0,35.3,1686,327,1093,666,48,10,1606,1,3,33.3,1,0,932,6393,3375,76,13,1,5,2,961,944,98.2,3
ESP-La Liga,2122,Mallorca,Matthew Hoppe,USA,FW,20.0,1.5,48,0,6,25,21,3,43,0,3,0.0,0,0,28,64,13,0,0,0,4,2,74,37,50.0,11
ESP-La Liga,2122,Mallorca,Opponent Total,,,27.7,38.0,22776,2352,7167,11118,5862,892,20959,252,497,50.7,282,31,14172,72572,39889,1591,470,133,449,455,16570,14517,87.6,1142
ESP-La Liga,2122,Mallorca,Pablo Maffeo,ESP,DF,24.0,32.7,1763,108,544,840,500,53,1454,45,70,64.3,47,2,963,5157,3124,129,47,10,30,62,967,866,89.6,60
ESP-La Liga,2122,Mallorca,Rodrigo Battaglia,ARG,MF,30.0,13.1,670,62,228,401,85,13,645,7,13,53.8,9,0,381,2259,1228,36,13,1,10,8,380,351,92.4,7
ESP-La Liga,2122,Mallorca,Salva Sevilla,ESP,MF,37.0,16.7,1113,33,251,662,270,10,980,7,8,87.5,7,1,698,3556,1994,88,28,1,18,7,764,718,94.0,20
ESP-La Liga,2122,Mallorca,Sergio Rico,ESP,GK,27.0,14.0,385,338,384,1,0,0,246,0,0,,0,0,155,674,326,0,0,0,1,0,135,134,99.3,0
ESP-La Liga,2122,Mallorca,Squad Total,,,27.9,38.0,19566,2437,6892,9056,4809,730,17653,335,583,57.5,368,27,11278,60717,32525,1275,408,119,453,497,13527,11176,82.6,981
ESP-La Liga,2122,Mallorca,Takefusa Kubo,JPN,"FW,MF",20.0,17.8,796,10,115,351,402,74,761,36,68,52.9,43,3,600,3701,2397,140,39,23,42,42,710,537,75.6,83
ESP-La Liga,2122,Mallorca,Vedat Muriqi,KVX,FW,27.0,16.0,681,28,74,330,307,89,664,8,15,53.3,8,1,299,1459,706,43,14,8,44,16,795,503,63.3,110
ESP-La Liga,2122,Mallorca,Ángel Rodríguez,ESP,FW,34.0,17.2,469,19,63,233,208,59,457,14,28,50.0,14,1,291,1543,774,39,15,8,35,32,585,308,52.6,100
ESP-La Liga,2122,Osasuna,Ante Budimir,CRO,FW,30.0,19.3,620,21,52,300,305,97,599,9,27,33.3,12,0,286,1109,553,32,14,3,65,32,901,426,47.3,120
ESP-La Liga,2122,Osasuna,Aridane Hernández,EQG,DF,32.0,12.9,665,84,361,323,14,4,646,1,2,50.0,1,0,345,1575,713,22,1,0,0,2,375,364,97.1,1
ESP-La Liga,2122,Osasuna,Barbero,ESP,"MF,FW",22.0,0.2,19,0,1,7,11,3,18,1,1,100.0,1,0,14,23,4,0,0,0,3,2,24,13,54.2,4
