,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ESP-La Liga,2122,Cádiz,Jens Jønsson,DEN,MF,28.0,22,1303.0,59.0,38.1,14.5,17,68.0,1,5,31.0,11,0.86,9.0,19.0,-10.0,-0.69,-0.44,13.6,21.9,-8.3,-0.58,-0.45
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.03,35.0,51.0,-16.0,-0.42,,41.4,52.8,-11.4,-0.3,
ESP-La Liga,2122,Cádiz,José Mari,ESP,MF,33.0,11,386.0,35.0,11.3,4.3,4,64.0,0,7,19.0,4,1.73,6.0,3.0,3.0,0.7,1.26,7.8,3.3,4.5,1.05,1.52
ESP-La Liga,2122,Cádiz,Juan Flere,ARG,GK,23.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Lucas Pérez,ESP,"FW,MF",32.0,15,1060.0,71.0,31.0,11.8,11,86.0,5,4,28.0,1,1.2,12.0,10.0,2.0,0.17,0.86,16.7,12.8,3.9,0.33,0.92
ESP-La Liga,2122,Cádiz,Luis Hernández,ESP,DF,32.0,16,1366.0,85.0,39.9,15.2,15,90.0,15,1,16.0,0,1.31,15.0,13.0,2.0,0.13,0.92,20.7,14.3,6.4,0.42,1.2
ESP-La Liga,2122,Cádiz,Marcos Mauro López Gutiérrez,ARG,DF,30.0,3,136.0,45.0,4.0,1.5,1,90.0,1,2,23.0,13,0.67,0.0,3.0,-3.0,-1.99,-1.63,0.8,3.2,-2.4,-1.58,-1.33
ESP-La Liga,2122,Cádiz,Martín,ESP,MF,22.0,6,115.0,19.0,3.4,1.3,1,54.0,0,5,12.0,7,0.33,1.0,1.0,0.0,0.0,0.44,0.7,1.3,-0.6,-0.44,-0.15
ESP-La Liga,2122,Cádiz,Milutin Osmajić,MNE,"FW,MF",22.0,10,257.0,26.0,7.5,2.9,2,57.0,0,8,18.0,6,0.8,2.0,5.0,-3.0,-1.05,-0.68,2.0,5.5,-3.5,-1.23,-1.01
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,82.0,250,166,20.0,251,1.03,51.0,35.0,16.0,0.42,,52.8,41.4,11.4,0.3,
ESP-La Liga,2122,Cádiz,Oussama Idrissi,MAR,MF,25.0,12,902.0,75.0,26.4,10.0,11,82.0,3,1,1.0,5,1.25,12.0,10.0,2.0,0.2,0.84,15.7,8.7,7.0,0.7,1.36
ESP-La Liga,2122,Cádiz,Pedro Benito,ESP,FW,21.0,1,31.0,31.0,0.9,0.3,0,,0,1,31.0,0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.5,-0.4,-1.27,-0.98
ESP-La Liga,2122,Cádiz,Raúl Parra,ESP,DF,21.0,2,88.0,44.0,2.6,1.0,1,75.0,0,1,13.0,8,2.0,2.0,1.0,1.0,1.02,1.48,1.8,1.1,0.6,0.63,0.95
ESP-La Liga,2122,Cádiz,Rubén Alcaraz,ESP,MF,30.0,14,1105.0,79.0,32.3,12.3,12,87.0,10,2,31.0,0,1.21,10.0,12.0,-2.0,-0.16,0.38,15.2,13.5,1.7,0.14,0.64
ESP-La Liga,2122,Cádiz,Rubén Sobrino,ESP,"FW,MF",29.0,33,1861.0,56.0,54.4,20.7,19,82.0,9,14,22.0,1,1.06,18.0,31.0,-13.0,-0.63,-0.46,25.6,30.6,-5.1,-0.25,0.12
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30.0,23,1395.0,61.0,40.8,15.5,17,74.0,6,6,24.0,9,1.09,13.0,20.0,-7.0,-0.45,-0.05,16.2,22.6,-6.4,-0.41,-0.19
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,"MF,DF",23.0,14,469.0,34.0,13.7,5.2,5,61.0,1,9,18.0,20,1.5,5.0,7.0,-2.0,-0.38,0.04,2.8,7.4,-4.7,-0.9,-0.69
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38,3420.0,90.0,100.0,38.0,418,81.0,246,172,22.0,270,1.03,35.0,51.0,-16.0,-0.42,,41.4,52.8,-11.4,-0.3,
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22.0,23,1425.0,62.0,41.7,15.8,16,81.0,9,7,19.0,5,0.96,12.0,23.0,-11.0,-0.69,-0.47,13.4,24.6,-11.2,-0.71,-0.7
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28.0,17,1437.0,85.0,42.0,16.0,16,87.0,13,1,53.0,8,0.82,13.0,27.0,-14.0,-0.88,-0.79,14.5,24.2,-9.7,-0.61,-0.53
ESP-La Liga,2122,Cádiz,Victor Wehbi,BRA,GK,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21.0,25,1830.0,73.0,53.5,20.3,20,85.0,17,5,28.0,12,1.08,22.0,27.0,-5.0,-0.25,0.38,21.5,26.5,-5.1,-0.25,0.11
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28.0,32,2051.0,64.0,60.0,22.8,22,83.0,14,10,23.0,4,1.0,21.0,32.0,-11.0,-0.48,-0.15,25.6,35.5,-10.0,-0.44,-0.35
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17.0,6,197.0,33.0,5.8,2.2,2,69.0,0,4,15.0,14,0.67,4.0,6.0,-2.0,-0.91,-0.52,1.7,4.1,-2.4,-1.09,-0.84
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26.0,9,234.0,26.0,6.8,2.6,1,45.0,0,8,24.0,11,0.33,2.0,9.0,-7.0,-2.69,-2.44,1.4,4.1,-2.6,-1.01,-0.76
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35.0,34,2157.0,63.0,63.1,24.0,24,81.0,15,10,21.0,4,1.0,22.0,30.0,-8.0,-0.33,0.24,27.5,31.6,-4.2,-0.17,0.34
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34.0,16,1020.0,64.0,29.8,11.3,12,76.0,5,4,26.0,18,1.0,8.0,20.0,-12.0,-1.06,-1.06,7.0,18.1,-11.1,-0.98,-0.42
ESP-La Liga,2122,Elche,Axel Werner,ARG,GK,25.0,0,,,,,0,,0,0,,12,,,,,,,,,,,
ESP-La Liga,2122,Elche,César,ESP,MF,20.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,FW,31.0,14,590.0,42.0,17.3,6.6,6,70.0,0,8,21.0,3,0.93,9.0,9.0,0.0,0.0,0.38,6.6,8.8,-2.1,-0.32,0.44
ESP-La Liga,2122,Elche,Diego Bri,ESP,FW,18.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26.0,28,1793.0,64.0,52.4,19.9,19,85.0,17,9,19.0,8,1.25,21.0,26.0,-5.0,-0.25,0.14,17.9,36.8,-18.9,-0.95,-0.54
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28.0,30,2552.0,85.0,74.6,28.4,29,87.0,25,1,33.0,4,1.1,29.0,40.0,-11.0,-0.39,-0.28,28.8,47.0,-18.3,-0.64,0.18
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24.0,13,667.0,51.0,19.5,7.4,5,80.0,3,8,33.0,0,1.23,11.0,7.0,4.0,0.54,1.06,8.6,12.8,-4.2,-0.57,0.15
ESP-La Liga,2122,Elche,Fidel,ESP,"MF,FW",31.0,33,2261.0,69.0,66.1,25.1,29,73.0,7,4,36.0,1,1.06,21.0,31.0,-10.0,-0.4,-0.24,20.7,39.3,-18.6,-0.74,-0.15
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26.0,31,1890.0,61.0,55.3,21.0,20,79.0,10,11,28.0,2,1.06,26.0,35.0,-9.0,-0.43,-0.25,16.9,36.2,-19.4,-0.92,-0.52
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32.0,19,1397.0,74.0,40.8,15.5,16,82.0,11,3,29.0,11,1.55,18.0,15.0,3.0,0.19,0.86,11.2,18.9,-7.7,-0.5,0.33
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30.0,29,1168.0,40.0,34.2,13.0,11,76.0,5,18,18.0,6,1.0,12.0,20.0,-8.0,-0.62,-0.46,13.1,18.7,-5.6,-0.43,0.39
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28.0,26,1931.0,74.0,56.5,21.5,22,84.0,17,4,21.0,5,0.96,22.0,28.0,-6.0,-0.28,0.08,17.6,35.7,-18.1,-0.84,-0.36
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31.0,20,809.0,40.0,23.7,9.0,10,69.0,2,10,12.0,13,1.0,7.0,16.0,-9.0,-1.0,-0.9,9.8,18.3,-8.5,-0.94,-0.33
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32.0,13,525.0,40.0,15.4,5.8,6,61.0,0,7,23.0,12,0.5,3.0,12.0,-9.0,-1.54,-1.45,4.9,8.2,-3.4,-0.58,0.13
ESP-La Liga,2122,Elche,Jesús López,ESP,GK,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28.0,33,2855.0,87.0,83.5,31.7,32,89.0,28,1,13.0,1,1.18,33.0,40.0,-7.0,-0.22,0.58,29.4,49.8,-20.4,-0.64,0.27
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,12,1.5,3.0,2.0,1.0,0.5,0.86,3.2,3.5,-0.2,-0.11,0.61
ESP-La Liga,2122,Elche,Jony Álamo,ESP,MF,19.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31.0,31,1211.0,39.0,35.4,13.5,10,75.0,4,21,22.0,7,1.1,17.0,24.0,-7.0,-0.52,-0.32,14.8,23.0,-8.2,-0.61,0.12
ESP-La Liga,2122,Elche,Josema,ESP,DF,25.0,6,183.0,31.0,5.4,2.0,1,77.0,0,5,21.0,12,1.33,3.0,5.0,-2.0,-0.98,-0.71,1.6,3.5,-1.9,-0.92,-0.24
ESP-La Liga,2122,Elche,José Friaza,ESP,FW,19.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"FW,MF",24.0,12,519.0,43.0,15.2,5.8,5,76.0,0,7,20.0,4,1.08,7.0,5.0,2.0,0.35,0.78,7.5,7.5,0.0,0.01,0.82
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14,1260.0,90.0,36.8,14.0,14,90.0,14,0,,20,0.93,12.0,17.0,-5.0,-0.36,-0.07,13.1,19.4,-6.3,-0.45,0.38
ESP-La Liga,2122,Elche,Lluis Andreu,ESP,GK,22.0,0,,,,,0,,0,0,,16,,,,,,,,,,,
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25.0,24,1713.0,71.0,50.1,19.0,22,75.0,9,2,30.0,0,1.0,20.0,25.0,-5.0,-0.26,0.11,17.7,30.3,-12.7,-0.66,0.05
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27.0,5,295.0,59.0,8.6,3.3,3,90.0,3,2,13.0,10,1.8,5.0,4.0,1.0,0.31,0.68,4.2,5.7,-1.5,-0.47,0.24
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32.0,18,1266.0,70.0,37.0,14.1,16,75.0,3,2,30.0,0,1.11,17.0,20.0,-3.0,-0.21,0.16,12.9,23.3,-10.4,-0.74,-0.08
ESP-La Liga,2122,Elche,Marco Soler,ESP,DF,21.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Elche,Omar Mascarell,ESP,MF,28.0,32,2493.0,78.0,72.9,27.7,30,82.0,15,2,17.0,2,1.13,28.0,39.0,-11.0,-0.4,-0.3,23.2,42.5,-19.3,-0.7,-0.03
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38,3420.0,90.0,100.0,38.0,418,81.0,237,179,20.0,241,1.11,52.0,40.0,12.0,0.32,,61.0,34.8,26.2,0.69,
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32.0,10,312.0,31.0,9.1,3.5,3,67.0,0,7,16.0,21,1.0,3.0,7.0,-4.0,-1.15,-0.92,2.9,7.7,-4.8,-1.38,-0.76
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30.0,19,1551.0,82.0,45.4,17.2,19,82.0,13,0,,5,1.05,18.0,26.0,-8.0,-0.46,-0.27,15.9,23.9,-8.0,-0.47,0.41
ESP-La Liga,2122,Elche,Pere Milla,ESP,"FW,MF",28.0,32,1644.0,51.0,48.1,18.3,17,77.0,8,15,22.0,5,1.16,22.0,24.0,-2.0,-0.11,0.4,16.5,30.6,-14.1,-0.77,-0.16
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24.0,31,1627.0,52.0,47.6,18.1,17,79.0,8,14,21.0,5,1.0,16.0,16.0,0.0,0.0,0.6,16.0,26.9,-11.0,-0.61,0.16
ESP-La Liga,2122,Elche,Sergio Bono Juan,ESP,DF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38,3420.0,90.0,100.0,38.0,418,80.0,236,179,22.0,255,1.11,40.0,52.0,-12.0,-0.32,,34.8,61.0,-26.2,-0.69,
ESP-La Liga,2122,Elche,Tete Morente,ESP,"MF,FW",24.0,32,1632.0,51.0,47.7,18.1,18,70.0,3,14,27.0,5,1.06,21.0,22.0,-1.0,-0.06,0.5,18.9,29.0,-10.1,-0.56,0.25
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24,2160.0,90.0,63.2,24.0,24,90.0,24,0,,14,1.21,28.0,35.0,-7.0,-0.29,0.07,21.7,41.6,-19.9,-0.83,-0.38
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29.0,32,1986.0,62.0,58.1,22.1,24,75.0,6,8,22.0,6,1.19,21.0,23.0,-2.0,-0.09,0.6,22.6,28.9,-6.2,-0.28,0.22
ESP-La Liga,2122,Espanyol,Aleix Gorjon,ESP,DF,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31.0,31,1901.0,61.0,55.6,21.1,21,80.0,9,10,22.0,1,1.06,21.0,34.0,-13.0,-0.62,-0.62,20.2,32.3,-12.2,-0.58,-0.45
ESP-La Liga,2122,Espanyol,Alejandro Pérez,ESP,DF,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20.0,1,23.0,23.0,0.7,0.3,0,,0,1,23.0,2,1.0,0.0,0.0,0.0,0.0,0.34,0.1,0.6,-0.5,-2.05,-1.68
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31.0,18,743.0,41.0,21.7,8.3,8,72.0,1,10,17.0,8,1.22,4.0,7.0,-3.0,-0.36,-0.03,7.8,11.9,-4.0,-0.49,-0.14
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,36,3177.0,88.0,92.9,35.3,36,88.0,34,0,,0,1.17,39.0,49.0,-10.0,-0.28,0.83,35.7,48.9,-13.2,-0.37,0.04
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32.0,9,203.0,23.0,5.9,2.3,1,90.0,1,8,14.0,23,0.67,1.0,4.0,-3.0,-1.33,-1.05,2.4,4.3,-1.9,-0.84,-0.49
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25.0,16,1090.0,68.0,31.9,12.1,13,81.0,8,3,12.0,15,0.88,11.0,16.0,-5.0,-0.41,-0.1,10.0,15.5,-5.5,-0.45,-0.11
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31.0,10,266.0,27.0,7.8,3.0,3,58.0,0,7,13.0,24,0.91,1.0,6.0,-5.0,-1.69,-1.46,2.1,4.7,-2.6,-0.88,-0.55
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19.0,1,9.0,9.0,0.3,0.1,0,,0,1,9.0,4,1.0,0.0,0.0,0.0,0.0,0.34,0.1,0.0,0.1,1.41,1.79
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"FW,MF",23.0,30,2245.0,75.0,65.6,24.9,26,82.0,10,4,32.0,0,0.93,26.0,38.0,-12.0,-0.48,-0.4,22.4,35.1,-12.7,-0.51,-0.39
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,2,108.0,54.0,3.2,1.2,1,90.0,1,1,18.0,30,0.5,1.0,3.0,-2.0,-1.67,-1.37,1.3,0.9,0.3,0.27,0.67
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20.0,3,20.0,7.0,0.6,0.2,0,,0,3,7.0,5,1.33,2.0,0.0,2.0,9.0,9.4,1.4,0.3,1.0,4.56,4.97
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23.0,25,1481.0,59.0,43.3,16.5,18,73.0,6,7,25.0,3,1.32,14.0,20.0,-6.0,-0.36,-0.04,14.0,18.7,-4.7,-0.29,0.16
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23.0,17,541.0,32.0,15.8,6.0,4,73.0,1,13,19.0,14,0.94,6.0,10.0,-4.0,-0.67,-0.38,7.7,9.0,-1.2,-0.2,0.2
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.14,39.0,49.0,-10.0,-0.27,2.73,36.1,49.8,-13.7,-0.37,0.2
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19.0,1,45.0,45.0,1.3,0.5,0,,0,1,45.0,0,0.0,0.0,2.0,-2.0,-4.0,-3.71,0.1,0.5,-0.4,-0.72,-0.35
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27.0,21,563.0,27.0,16.5,6.3,4,64.0,0,17,18.0,15,1.0,5.0,10.0,-5.0,-0.8,-0.55,6.8,6.8,0.0,0.0,0.45
ESP-La Liga,2122,Espanyol,Luca Koleosho,USA,FW,16.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.34,0.0,0.5,-0.5,-46.07,-45.7
ESP-La Liga,2122,Espanyol,Manu Morlanes,ESP,MF,22.0,27,1144.0,42.0,33.5,12.7,11,67.0,2,16,26.0,3,1.15,24.0,23.0,1.0,0.08,0.63,17.6,20.0,-2.4,-0.19,0.28
ESP-La Liga,2122,Espanyol,Miguel Juan Llambrich,ESP,DF,25.0,2,70.0,35.0,2.0,0.8,1,57.0,0,1,13.0,27,1.5,0.0,2.0,-2.0,-2.57,-2.28,0.4,1.2,-0.8,-1.03,-0.67
ESP-La Liga,2122,Espanyol,Nico Ribaudo,ESP,"MF,FW",20.0,31,1116.0,36.0,32.6,12.4,7,65.0,0,24,28.0,4,1.23,15.0,14.0,1.0,0.08,0.63,13.3,15.9,-2.5,-0.2,0.25
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31.0,2,135.0,68.0,3.9,1.5,1,90.0,1,1,45.0,22,1.5,0.0,1.0,-1.0,-0.67,-0.34,0.8,2.2,-1.4,-0.96,-0.61
ESP-La Liga,2122,Espanyol,Opponent Total,,,27.5,38,3420.0,90.0,100.0,38.0,418,81.0,243,169,21.0,252,1.11,53.0,40.0,13.0,0.34,,52.1,37.8,14.3,0.38,
ESP-La Liga,2122,Espanyol,Pedrosa,ESP,DF,23.0,31,2720.0,88.0,79.5,30.2,31,88.0,27,0,,0,1.23,34.0,40.0,-6.0,-0.2,0.7,29.6,38.3,-8.6,-0.29,0.44
ESP-La Liga,2122,Espanyol,Raúl de Tomás,ESP,FW,26.0,34,2914.0,86.0,85.2,32.4,33,87.0,19,1,45.0,0,1.21,37.0,44.0,-7.0,-0.22,0.85,33.2,42.7,-9.4,-0.29,0.57
ESP-La Liga,2122,Espanyol,Roger Martínez,ESP,MF,17.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Rubén,ESP,DF,20.0,4,150.0,38.0,4.4,1.7,1,90.0,1,3,20.0,4,1.0,2.0,3.0,-1.0,-0.6,-0.27,0.8,3.7,-2.9,-1.72,-1.4
ESP-La Liga,2122,Espanyol,Sergi Darder,ESP,MF,27.0,36,3125.0,87.0,91.4,34.7,36,87.0,25,0,,0,1.14,39.0,49.0,-10.0,-0.29,0.63,33.9,48.4,-14.4,-0.42,-0.46
ESP-La Liga,2122,Espanyol,Sergi Gómez,ESP,DF,29.0,31,2720.0,88.0,79.5,30.2,31,88.0,27,0,,6,1.03,34.0,47.0,-13.0,-0.43,-0.43,33.6,44.6,-11.0,-0.36,0.06
ESP-La Liga,2122,Espanyol,Squad Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,81.0,234,181,21.0,269,1.11,40.0,53.0,-13.0,-0.34,,37.8,52.1,-14.3,-0.38,
ESP-La Liga,2122,Espanyol,Tonny Vilhena,NED,"MF,FW",26.0,17,928.0,55.0,27.1,10.3,13,65.0,0,4,21.0,0,0.88,9.0,15.0,-6.0,-0.58,-0.33,7.4,13.6,-6.2,-0.6,-0.3
ESP-La Liga,2122,Espanyol,Victor Perea,ESP,DF,21.0,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,0,1.0,0.0,0.0,0.0,0.0,0.34,0.1,0.0,0.1,1.3,1.67
ESP-La Liga,2122,Espanyol,Wu Lei,CHN,"FW,MF",29.0,23,474.0,21.0,13.9,5.3,4,52.0,0,19,14.0,14,1.22,2.0,7.0,-5.0,-0.95,-0.7,4.7,7.9,-3.1,-0.6,-0.26
ESP-La Liga,2122,Espanyol,Yangel Herrera,VEN,MF,23.0,23,1645.0,72.0,48.1,18.3,19,80.0,10,4,30.0,1,1.09,17.0,24.0,-7.0,-0.38,-0.08,14.2,25.6,-11.4,-0.62,-0.48
ESP-La Liga,2122,Espanyol,Álvaro García,ESP,DF,21.0,0,,,,,0,,0,0,,7,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Álvaro Vadillo,ESP,"MF,DF",26.0,3,7.0,2.0,0.2,0.1,0,,0,3,2.0,9,0.33,0.0,0.0,0.0,0.0,0.34,0.2,0.1,0.1,1.54,1.92
ESP-La Liga,2122,Espanyol,Óscar Gil,ESP,DF,23.0,22,1688.0,77.0,49.4,18.8,20,82.0,8,2,27.0,1,1.27,21.0,21.0,0.0,0.0,0.68,20.3,20.9,-0.5,-0.03,0.69
ESP-La Liga,2122,Espanyol,Óscar Melendo,ESP,"MF,FW",23.0,21,990.0,47.0,28.9,11.0,14,59.0,0,7,24.0,17,0.95,16.0,20.0,-4.0,-0.36,-0.03,14.2,17.4,-3.1,-0.28,0.13
ESP-La Liga,2122,Getafe,Allan Nyom,CMR,DF,33.0,5,244.0,49.0,7.1,2.7,3,76.0,1,2,8.0,14,1.6,3.0,3.0,0.0,0.0,0.23,1.6,3.8,-2.2,-0.81,-0.6
ESP-La Liga,2122,Getafe,Borja Mayoral,ESP,FW,24.0,18,1044.0,58.0,30.5,11.6,11,76.0,2,7,30.0,0,1.17,13.0,10.0,3.0,0.26,0.68,11.0,9.7,1.2,0.11,0.52
ESP-La Liga,2122,Getafe,Carles Aleñá,ESP,MF,23.0,33,2320.0,70.0,67.8,25.8,30,76.0,6,3,15.0,1,1.12,23.0,20.0,3.0,0.12,1.02,17.9,22.9,-5.0,-0.19,0.18
ESP-La Liga,2122,Getafe,Chema,ESP,MF,29.0,1,45.0,45.0,1.3,0.5,1,45.0,0,0,,10,0.0,0.0,4.0,-4.0,-8.0,-7.89,0.2,0.9,-0.7,-1.41,-1.18
ESP-La Liga,2122,Getafe,Chinchu,ESP,DF,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Getafe,Damián Suárez,URU,DF,33.0,35,2711.0,77.0,79.3,30.1,31,84.0,19,4,26.0,1,1.11,26.0,28.0,-2.0,-0.07,0.7,23.0,31.5,-8.5,-0.28,-0.15
ESP-La Liga,2122,Getafe,Darío Poveda,ESP,"FW,MF",24.0,15,380.0,25.0,11.1,4.2,3,76.0,1,12,13.0,3,1.0,5.0,4.0,1.0,0.24,0.5,3.1,6.0,-2.9,-0.68,-0.48
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28.0,38,3414.0,90.0,99.8,37.9,38,90.0,37,0,,0,1.03,32.0,41.0,-9.0,-0.24,-15.24,29.4,39.0,-9.6,-0.25,-0.05
ESP-La Liga,2122,Getafe,David Timor,ESP,MF,31.0,7,341.0,49.0,10.0,3.8,3,75.0,1,4,29.0,8,0.29,0.0,7.0,-7.0,-1.85,-1.82,1.7,7.8,-6.2,-1.63,-1.53
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,36,3.0,1.0,0.0,1.0,15.0,15.24,0.1,0.1,0.0,-0.2,0.05
ESP-La Liga,2122,Getafe,Diego López,ESP,MF,19.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Getafe,Djené,TOG,DF,29.0,35,3115.0,89.0,91.1,34.6,35,89.0,33,0,,0,1.0,30.0,37.0,-7.0,-0.2,0.09,27.2,33.3,-6.1,-0.18,0.86
ESP-La Liga,2122,Getafe,Emmanuel Amankwaa Akurugu,GHA,DF,19.0,3,79.0,26.0,2.3,0.9,1,63.0,0,2,8.0,8,1.0,2.0,1.0,1.0,1.14,1.38,0.7,1.3,-0.6,-0.68,-0.44
ESP-La Liga,2122,Getafe,Enes Ünal,TUR,FW,24.0,37,2798.0,76.0,81.8,31.1,33,81.0,14,4,28.0,0,1.03,28.0,35.0,-7.0,-0.23,-0.08,24.7,30.9,-6.2,-0.2,0.28
ESP-La Liga,2122,Getafe,Erick Cabaco,URU,DF,26.0,10,403.0,40.0,11.8,4.5,5,70.0,0,5,11.0,12,0.73,3.0,6.0,-3.0,-0.67,-0.52,3.8,4.9,-1.1,-0.24,0.01
ESP-La Liga,2122,Getafe,Florentino Luís,POR,MF,21.0,22,992.0,45.0,29.0,11.0,9,85.0,4,13,18.0,13,1.23,7.0,15.0,-8.0,-0.73,-0.73,7.5,12.4,-4.9,-0.44,-0.27
ESP-La Liga,2122,Getafe,Gastón Álvarez,URU,DF,21.0,0,,,,,0,,0,0,,15,,,,,,,,,,,
ESP-La Liga,2122,Getafe,Gonzalo Villar,ESP,MF,23.0,10,298.0,30.0,8.7,3.3,2,82.0,1,8,17.0,8,0.7,2.0,6.0,-4.0,-1.21,-1.09,2.2,4.5,-2.3,-0.69,-0.48
ESP-La Liga,2122,Getafe,Hugo Duro,ESP,"DF,MF",21.0,1,12.0,12.0,0.4,0.1,0,,0,1,12.0,2,0.0,0.0,0.0,0.0,0.0,0.21,0.4,0.0,0.4,3.22,3.48
ESP-La Liga,2122,Getafe,Iglesias,ESP,DF,23.0,20,719.0,36.0,21.0,8.0,7,73.0,2,13,16.0,18,0.75,7.0,14.0,-7.0,-0.88,-0.84,6.6,8.8,-2.1,-0.27,-0.02
