,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,TO_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,TO_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
152,Gonzalo Escalante,ar  ARG,MF,Cádiz,30-026,1993,6.7,14,2.10,13,0,0,1,0,0,1,0.15,0,0,0,1,0,0
153,Sergio Escudero,es  ESP,DF,Valladolid,33-232,1989,10.9,23,2.12,12,6,0,3,2,0,0,0.00,0,0,0,0,0,0
154,Alfonso Espino,uy  URU,DF,Cádiz,31-107,1992,27.7,48,1.73,40,5,0,0,1,2,5,0.18,4,1,0,0,0,0
155,Bernardo Espinosa,co  COL,DF,Girona,33-285,1989,9.4,6,0.64,4,0,0,2,0,0,2,0.21,1,0,0,1,0,0
156,Edu Expósito,es  ESP,MF,Espanyol,26-264,1996,11.4,32,2.80,21,4,2,2,2,1,8,0.70,7,0,1,0,0,0
157,Nicolás Ezequiel Fernández,ar  ARG,"MF,DF",Elche,23-101,2000,4.1,14,3.44,12,1,0,1,0,0,1,0.25,1,0,0,0,0,0
158,Abdessamad Ezzalzouli,ma  MAR,"FW,MF",Osasuna,21-126,2001,12.3,41,3.35,21,4,11,4,1,0,3,0.24,3,0,0,0,0,0
159,Radamel Falcao,co  COL,"FW,MF",Rayo Vallecano,37-071,1986,6.1,9,1.47,6,0,1,1,1,0,0,0.00,0,0,0,0,0,0
160,Fali,es  ESP,"DF,MF",Cádiz,29-253,1993,17.1,10,0.59,8,1,0,0,1,0,1,0.06,1,0,0,0,0,0
161,Mamadou Fall,sn  SEN,DF,Villarreal,20-152,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
162,Ansu Fati,es  ESP,FW,Barcelona,20-173,2002,12.3,38,3.10,24,0,8,5,0,1,7,0.57,4,0,1,2,0,0
163,Zouhair Feddal,ma  MAR,DF,Valladolid,34-111,1989,4.2,4,0.96,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
164,Nabil Fekir,fr  FRA,MF,Betis,29-278,1993,10.7,56,5.24,31,10,4,2,9,0,5,0.47,2,0,1,0,2,0
165,Felipe,br  BRA,DF,Atlético Madrid,33-341,1989,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
166,Luiz Felipe,it  ITA,DF,Betis,26-031,1997,14.5,5,0.35,5,0,0,0,0,0,1,0.07,1,0,0,0,0,0
167,João Félix,pt  POR,"FW,MF",Atlético Madrid,23-163,1999,7.2,29,4.02,22,0,3,3,0,1,5,0.69,4,0,0,1,0,0
168,Kiko Femenía,es  ESP,DF,Villarreal,32-079,1991,10.8,20,1.84,19,0,0,0,1,0,0,0.00,0,0,0,0,0,0
169,Aitor Fernández,es  ESP,GK,Osasuna,31-354,1991,16.0,3,0.19,2,1,0,0,0,0,1,0.06,1,0,0,0,0,0
170,Álex Fernández,es  ESP,"MF,FW",Cádiz,30-189,1992,16.6,34,2.05,23,9,1,0,1,0,1,0.06,1,0,0,0,0,0
171,Álvaro Fernández,es  ESP,GK,Espanyol,25-009,1998,11.0,1,0.09,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
172,Carlos Fernández,es  ESP,FW,Real Sociedad,26-335,1996,4.5,10,2.20,7,0,1,0,2,0,0,0.00,0,0,0,0,0,0
173,Federico Fernández,ar  ARG,DF,Elche,34-060,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
174,Joaquín Fernández,es  ESP,DF,Valladolid,26-326,1996,19.8,14,0.71,12,0,0,1,0,1,0,0.00,0,0,0,0,0,0
175,Fidel,es  ESP,"MF,FW",Elche,33-177,1989,11.2,41,3.66,26,8,2,1,4,0,2,0.18,2,0,0,0,0,0
