,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G+A_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
89,Bobby Clark,eng  ENG,MF,Liverpool,18-004,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Nathaniel Clyne,eng  ENG,DF,Crystal Palace,31-312,1991,15,13,1116,12.4,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,12,35,20,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
91,Conor Coady,eng  ENG,DF,Everton,29-351,1993,19,19,1700,18.9,1,1,2,1,0,0,1,0,0.6,0.6,0.3,0.9,4,34,1,0.05,0.05,0.11,0.05,0.11,0.03,0.02,0.05,0.03,0.05
92,Jack Colback,eng  ENG,MF,Nott'ham Forest,33-110,1989,8,1,281,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
93,Séamus Coleman,ie  IRL,DF,Everton,34-123,1988,13,10,857,9.5,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,8,26,18,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
94,Nathan Collins,ie  IRL,DF,Wolves,21-287,2001,17,17,1472,16.4,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,9,52,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
95,Levi Colwill,eng  ENG,DF,Brighton,19-350,2003,7,5,463,5.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,20,1,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
96,Lewis Cook,eng  ENG,MF,Bournemouth,26-008,1997,19,17,1486,16.5,0,2,2,0,0,0,2,0,0.2,0.2,2.2,2.4,9,54,8,0.00,0.12,0.12,0.00,0.12,0.01,0.13,0.14,0.01,0.14
97,Steve Cook,eng  ENG,DF,Nott'ham Forest,31-298,1991,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07
98,Liam Cooper,sct  SCO,DF,Leeds United,31-165,1991,13,12,1106,12.3,1,0,1,1,0,0,2,0,1.0,1.0,0.5,1.5,1,26,1,0.08,0.00,0.08,0.08,0.08,0.08,0.04,0.12,0.08,0.12
