,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
272,Douglas Luiz,br  BRA,MF,Aston Villa,24-278,1998,15.9,774,937,82.6,13389,3316,333,373,89.3,321,369,87.0,82,141,58.2,4,2.5,1.6,+1.5,26,52,11,3,63
273,Lyanco,br  BRA,DF,Southampton,26-010,1997,7.6,237,330,71.8,4344,1580,95,104,91.3,110,147,74.8,22,61,36.1,0,0.1,0.1,-0.1,1,19,1,0,19
274,Alexis Mac Allister,ar  ARG,MF,Brighton,24-049,1998,16.2,842,954,88.3,13929,3363,407,446,91.3,359,382,94.0,56,78,71.8,0,1.1,1.3,-1.1,16,77,11,1,73
275,James Maddison,eng  ENG,"MF,FW",Leicester City,26-080,1996,13.2,465,605,76.9,7916,2282,220,249,88.4,177,222,79.7,50,97,51.5,4,3.0,2.7,+1.0,33,68,12,2,83
276,Noni Madueke,eng  ENG,FW,Chelsea,20-338,2002,0.5,21,30,70.0,300,116,13,15,86.7,4,9,44.4,2,3,66.7,0,0.1,0.0,-0.1,2,5,1,0,4
277,Harry Maguire,eng  ENG,DF,Manchester Utd,29-343,1993,4.3,215,245,87.8,4169,1190,76,79,96.2,105,119,88.2,29,41,70.7,0,0.0,0.0,0.0,1,19,0,0,10
278,Riyad Mahrez,dz  ALG,"FW,MF",Manchester City,31-355,1991,10.0,479,568,84.3,7924,1550,257,284,90.5,168,193,87.0,47,71,66.2,3,3.2,2.9,-0.2,23,22,24,6,46
279,Ainsley Maitland-Niles,eng  ENG,"MF,DF",Southampton,25-166,1997,6.0,215,258,83.3,3478,1097,107,123,87.0,81,92,88.0,21,31,67.7,0,0.4,0.4,-0.4,5,23,5,3,22
280,Tyrell Malacia,nl  NED,DF,Manchester Utd,23-178,1999,9.4,371,447,83.0,5176,1617,247,267,92.5,94,115,81.7,17,35,48.6,0,0.1,0.4,-0.1,1,24,2,0,27
281,Orel Mangala,be  BEL,MF,Nott'ham Forest,24-330,1998,7.1,203,253,80.2,2986,791,112,124,90.3,72,84,85.7,11,24,45.8,0,0.1,0.1,-0.1,2,18,2,0,25
282,Javier Manquillo,es  ESP,DF,Newcastle Utd,28-282,1994,0.1,4,7,57.1,68,34,2,3,66.7,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
283,Sekou Mara,fr  FRA,"FW,MF",Southampton,20-196,2002,3.6,40,56,71.4,549,140,23,30,76.7,9,9,100.0,3,5,60.0,1,0.5,0.2,+0.5,4,6,2,0,5
284,Solly March,eng  ENG,"FW,DF",Brighton,28-206,1994,19.1,577,796,72.5,10290,2385,267,313,85.3,228,299,76.3,66,127,52.0,4,2.7,2.8,+1.3,27,36,28,8,81
285,Emiliano Marcondes,dk  DEN,MF,Bournemouth,27-339,1995,0.1,1,1,100.0,56,37,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
286,Marquinhos,br  BRA,MF,Arsenal,19-310,2003,0.0,2,3,66.7,34,5,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
287,Anthony Martial,fr  FRA,FW,Manchester Utd,27-068,1995,5.1,107,133,80.5,1316,409,70,78,89.7,28,33,84.8,2,6,33.3,2,0.9,0.8,+1.1,5,9,4,0,15
288,Martinelli,br  BRA,FW,Arsenal,21-238,2001,18.5,481,664,72.4,7753,1663,251,295,85.1,174,218,79.8,44,93,47.3,2,5.0,4.3,-3.0,37,23,26,3,64
289,Emiliano Martínez,ar  ARG,GK,Aston Villa,30-162,1992,18.4,482,649,74.3,12794,8507,89,89,100.0,261,264,98.9,131,290,45.2,0,0.3,0.2,-0.3,2,13,0,0,0
290,Lisandro Martínez,ar  ARG,DF,Manchester Utd,25-024,1998,17.4,981,1131,86.7,17634,6029,388,414,93.7,508,543,93.6,70,145,48.3,0,0.2,1.0,-0.2,5,67,5,0,59
291,Pape Matar Sarr,sn  SEN,MF,Tottenham,20-150,2002,1.2,73,79,92.4,1100,232,35,37,94.6,34,36,94.4,1,3,33.3,0,0.0,0.0,0.0,1,6,0,0,10
292,Jean-Philippe Mateta,fr  FRA,FW,Crystal Palace,25-228,1997,4.9,68,94,72.3,791,117,46,59,78.0,12,17,70.6,3,3,100.0,0,0.6,0.1,-0.6,5,4,0,0,4
293,Joël Matip,cm  CMR,DF,Liverpool,31-187,1991,7.1,407,481,84.6,7539,2518,150,174,86.2,218,238,91.6,34,55,61.8,0,0.1,0.2,-0.1,2,29,5,0,30
294,Neal Maupay,fr  FRA,FW,Everton,26-181,1996,7.9,115,154,74.7,1503,148,81,95,85.3,29,38,76.3,3,5,60.0,0,0.5,0.1,-0.5,5,6,2,0,7
295,Kevin Mbabu,ch  SUI,"DF,FW",Fulham,27-298,1995,1.6,68,94,72.3,1051,383,40,43,93.0,24,35,68.6,4,9,44.4,1,0.4,0.4,+0.6,2,4,5,3,8
296,Bryan Mbeumo,cm  CMR,FW,Brentford,23-188,1999,17.6,318,476,66.8,4958,1505,182,224,81.3,92,144,63.9,29,59,49.2,2,2.3,2.3,-0.3,22,15,24,8,42
297,John McGinn,sct  SCO,MF,Aston Villa,28-116,1994,13.6,397,527,75.3,7212,2636,190,221,86.0,144,179,80.4,52,89,58.4,1,1.3,1.9,-0.3,8,62,11,4,60
298,Scott McKenna,sct  SCO,DF,Nott'ham Forest,26-091,1996,16.2,550,691,79.6,10959,4150,157,185,84.9,323,376,85.9,64,115,55.7,0,0.8,0.3,-0.8,7,34,3,1,33
299,Weston McKennie,us  USA,MF,Leeds United,24-167,1998,1.4,42,61,68.9,603,126,26,36,72.2,13,17,76.5,1,3,33.3,0,0.0,0.0,0.0,0,4,1,0,10
300,Dwight McNeil,eng  ENG,"FW,DF",Everton,23-081,1999,10.9,289,400,72.3,4867,1337,150,180,83.3,93,114,81.6,35,73,47.9,2,1.9,1.8,+0.1,15,17,12,5,30
301,Scott McTominay,sct  SCO,MF,Manchester Utd,26-065,1996,8.4,216,267,80.9,3445,945,111,134,82.8,82,94,87.2,16,24,66.7,0,0.2,0.5,-0.2,3,17,1,0,19
302,Ben Mee,eng  ENG,DF,Brentford,33-143,1989,19.4,739,981,75.3,14124,5769,276,328,84.1,363,440,82.5,91,177,51.4,0,0.2,0.4,-0.2,3,33,4,0,32
303,Edouard Mendy,sn  SEN,GK,Chelsea,30-347,1992,8.5,213,268,79.5,4987,3402,69,69,100.0,87,88,98.9,53,107,49.5,0,0.0,0.0,0.0,0,4,0,0,0
304,Nampalys Mendy,sn  SEN,MF,Leicester City,30-233,1992,3.9,161,187,86.1,2465,510,86,95,90.5,64,71,90.1,6,11,54.5,0,0.0,0.1,0.0,0,9,1,0,10
305,Chris Mepham,wls  WAL,DF,Bournemouth,25-098,1997,16.9,575,696,82.6,10814,4092,197,219,90.0,322,355,90.7,52,103,50.5,0,0.2,0.5,-0.2,3,25,2,0,26
306,Illan Meslier,fr  FRA,GK,Leeds United,22-346,2000,21.0,382,636,60.1,9581,6244,92,95,96.8,191,196,97.4,98,342,28.7,0,0.0,0.0,0.0,0,7,1,0,0
307,Alexander Mighten,eng  ENG,FW,Nott'ham Forest,20-306,2002,0.1,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
308,Luka Milivojević,rs  SRB,MF,Crystal Palace,31-310,1991,3.3,132,162,81.5,2256,678,61,67,91.0,57,69,82.6,11,18,61.1,0,0.2,0.2,-0.2,2,11,1,0,14
309,James Milner,eng  ENG,"DF,MF",Liverpool,37-038,1986,6.1,311,420,74.0,5740,2123,140,156,89.7,128,154,83.1,36,82,43.9,1,0.7,1.4,+0.3,9,35,11,4,40
310,Yerry Mina,co  COL,DF,Everton,28-141,1994,2.6,156,174,89.7,2741,956,57,62,91.9,90,99,90.9,7,11,63.6,0,0.0,0.0,0.0,0,10,0,0,7
311,Tyrone Mings,eng  ENG,DF,Aston Villa,29-335,1993,19.0,797,949,84.0,15791,6234,241,264,91.3,459,495,92.7,88,170,51.8,1,0.6,0.7,+0.4,3,58,3,0,57
312,Tyrick Mitchell,eng  ENG,DF,Crystal Palace,23-163,1999,15.2,555,780,71.2,8960,4374,280,339,82.6,237,307,77.2,29,90,32.2,2,0.7,0.8,+1.3,7,53,11,5,60
313,Kaoru Mitoma,jp  JPN,"FW,DF",Brighton,25-267,1997,9.3,319,402,79.4,4296,929,212,238,89.1,89,115,77.4,7,15,46.7,1,2.6,2.7,-1.6,13,14,15,0,36
314,Aleksandar Mitrović,rs  SRB,FW,Fulham,28-148,1994,17.2,226,376,60.1,3494,772,131,197,66.5,67,104,64.4,22,36,61.1,1,2.0,1.1,-1.0,13,19,7,1,34
315,Kieffer Moore,wls  WAL,FW,Bournemouth,30-187,1992,12.4,186,317,58.7,2565,459,103,165,62.4,54,84,64.3,10,18,55.6,0,0.3,0.4,-0.3,4,16,5,0,20
316,Andrew Moran,ie  IRL,FW,Brighton,19-119,2003,0.1,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
317,Álex Moreno,es  ESP,DF,Aston Villa,29-248,1993,2.4,116,166,69.9,1523,517,67,82,81.7,39,54,72.2,2,9,22.2,0,0.3,0.2,-0.3,3,3,3,2,6
318,Mason Mount,eng  ENG,"MF,FW",Chelsea,24-032,1999,16.8,550,730,75.3,8284,2124,324,379,85.5,159,208,76.4,43,81,53.1,2,2.9,2.4,-0.9,29,53,25,5,92
319,Lucas Moura,br  BRA,"MF,DF",Tottenham,30-182,1992,1.1,38,54,70.4,493,138,26,32,81.3,11,16,68.8,0,1,0.0,0,0.0,0.1,0.0,1,2,4,1,7
320,João Moutinho,pt  POR,MF,Wolves,36-156,1986,15.0,667,815,81.8,12479,3301,235,266,88.3,344,393,87.5,73,108,67.6,2,2.1,1.5,-0.1,27,86,19,4,110
321,Divin Mubama,eng  ENG,FW,West Ham,18-109,2004,0.0,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
322,Mykhailo Mudryk,ua  UKR,FW,Chelsea,22-037,2001,0.9,24,31,77.4,249,101,18,24,75.0,3,3,100.0,0,1,0.0,0,0.0,0.2,0.0,0,4,2,0,5
323,Jacob Murphy,eng  ENG,FW,Newcastle Utd,27-352,1995,6.1,114,184,62.0,1689,413,67,85,78.8,39,56,69.6,3,13,23.1,1,0.6,1.2,+0.4,6,3,13,2,22
324,Enock Mwepu,zm  ZAM,"FW,MF",Brighton,25-041,1998,2.4,61,78,78.2,819,126,42,50,84.0,15,17,88.2,3,5,60.0,1,0.5,0.2,+0.5,3,5,2,0,6
325,Vitaliy Mykolenko,ua  UKR,"DF,MF",Everton,23-258,1999,19.8,689,905,76.1,10859,3971,370,413,89.6,261,343,76.1,45,101,44.6,0,0.8,0.6,-0.8,13,63,17,8,70
326,Keylor Navas,cr  CRC,GK,Nott'ham Forest,36-058,1986,1.0,15,36,41.7,652,574,1,1,100.0,3,3,100.0,11,32,34.4,0,0.0,0.0,0.0,0,1,0,0,0
327,Wilfred Ndidi,ng  NGA,"MF,DF",Leicester City,26-057,1996,9.7,500,573,87.3,7682,1951,262,277,94.6,196,220,89.1,25,46,54.3,0,0.0,0.1,0.0,1,40,0,0,37
328,Reiss Nelson,eng  ENG,FW,Arsenal,23-063,1999,0.7,35,39,89.7,407,63,24,25,96.0,6,7,85.7,2,2,100.0,1,0.1,0.2,+0.9,2,0,2,1,1
329,Neto,br  BRA,GK,Bournemouth,33-207,1989,10.5,204,314,65.0,6766,5728,41,41,100.0,64,67,95.5,98,205,47.8,0,0.0,0.0,0.0,0,8,0,0,0
330,Pedro Neto,pt  POR,"FW,MF",Wolves,22-339,2000,6.7,177,240,73.8,2905,727,103,116,88.8,49,73,67.1,20,37,54.1,0,1.2,1.2,-1.2,13,8,6,3,18
331,Rúben Neves,pt  POR,MF,Wolves,25-335,1997,20.0,1008,1220,82.6,21589,5873,326,363,89.8,488,543,89.9,185,270,68.5,0,0.7,0.6,-0.7,17,118,9,1,120
332,Moussa Niakhate,fr  FRA,DF,Nott'ham Forest,26-340,1996,1.8,38,50,76.0,749,255,10,11,90.9,24,26,92.3,4,8,50.0,0,0.0,0.0,0.0,0,2,0,0,2
333,Rasmus Nissen,dk  DEN,DF,Leeds United,25-215,1997,12.6,474,675,70.2,7712,3301,230,283,81.3,206,281,73.3,27,71,38.0,1,0.8,0.7,+0.2,7,35,14,2,46
334,Eddie Nketiah,eng  ENG,FW,Arsenal,23-257,1999,7.7,138,166,83.1,1944,221,89,104,85.6,39,44,88.6,4,6,66.7,0,0.3,0.4,-0.3,4,5,4,0,9
335,Matheus Nunes,pt  POR,MF,Wolves,24-168,1998,14.9,438,550,79.6,8023,1441,209,246,85.0,153,172,89.0,64,94,68.1,1,1.6,0.7,-0.6,16,42,9,1,48
336,Darwin Núñez,uy  URU,FW,Liverpool,23-232,1999,11.0,135,210,64.3,1940,401,65,95,68.4,43,64,67.2,9,12,75.0,2,3.5,1.8,-1.5,18,6,6,1,17
337,Ethan Nwaneri,eng  ENG,FW,Arsenal,15-327,2007,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
338,Christian Nørgaard,dk  DEN,MF,Brentford,28-338,1994,9.7,310,425,72.9,5043,1770,157,197,79.7,123,166,74.1,22,41,53.7,1,0.8,0.7,+0.2,5,39,3,0,33
339,Lewis O'Brien,eng  ENG,MF,Nott'ham Forest,24-120,1998,6.5,166,214,77.6,2785,650,72,85,84.7,84,103,81.6,7,16,43.8,0,0.2,0.2,-0.2,4,19,3,0,21
340,Angelo Ogbonna,it  ITA,DF,West Ham,34-264,1988,4.3,116,139,83.5,2298,758,30,35,85.7,68,77,88.3,15,23,65.2,0,0.2,0.1,-0.2,2,0,0,0,0
341,Michael Olise,fr  FRA,"MF,FW",Crystal Palace,21-061,2001,14.4,500,709,70.5,8257,2457,262,299,87.6,172,230,74.8,50,121,41.3,4,3.3,2.3,+0.7,33,39,19,5,63
342,Robin Olsen,se  SWE,GK,Aston Villa,33-034,1990,2.6,65,111,58.6,1755,1256,14,15,93.3,28,28,100.0,23,68,33.8,0,0.0,0.0,0.0,0,2,0,0,0
343,Amadou Onana,be  BEL,MF,Everton,21-179,2001,16.5,530,629,84.3,8677,1912,276,312,88.5,204,233,87.6,39,58,67.2,1,1.8,1.3,-0.8,10,54,7,0,45
344,Josh Onomah,eng  ENG,MF,Fulham,25-290,1997,0.2,4,6,66.7,54,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
345,Paul Onuachu,ng  NGA,FW,Southampton,28-259,1994,0.5,9,11,81.8,122,43,6,7,85.7,3,3,100.0,0,0,,0,0.1,0.0,-0.1,3,1,0,0,2
346,Frank Onyeka,ng  NGA,MF,Brentford,25-041,1998,4.9,97,129,75.2,1481,384,54,67,80.6,33,43,76.7,6,11,54.5,1,0.5,0.7,+0.5,5,11,3,0,15
347,Mislav Oršić,hr  CRO,MF,Southampton,30-044,1992,0.1,2,3,66.7,16,0,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
348,Dango Ouattara,bf  BFA,MF,Bournemouth,21-000,2002,2.0,33,50,66.0,580,188,14,19,73.7,13,19,68.4,4,7,57.1,1,0.1,0.0,+0.9,1,3,1,1,1
349,Alex Oxlade-Chamberlain,eng  ENG,"FW,MF",Liverpool,29-180,1993,3.5,73,99,73.7,1206,331,38,42,90.5,24,33,72.7,7,13,53.8,0,0.9,0.2,-0.9,5,8,2,0,12
350,David Ozoh,,FW,Crystal Palace,17-256,2005,0.0,3,3,100.0,24,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
351,João Palhinha,pt  POR,MF,Fulham,27-217,1995,20.7,592,729,81.2,10353,2564,291,338,86.1,227,266,85.3,61,89,68.5,0,0.3,0.2,-0.3,3,74,2,0,63
352,Cole Palmer,eng  ENG,"FW,MF",Manchester City,20-281,2002,1.3,62,72,86.1,1020,146,32,33,97.0,26,29,89.7,3,7,42.9,0,0.2,0.3,-0.2,3,2,5,1,7
353,Emerson Palmieri,it  ITA,"DF,MF",West Ham,28-192,1994,5.1,202,253,79.8,2762,883,131,142,92.3,51,64,79.7,11,22,50.0,0,0.3,0.3,-0.3,6,12,6,2,17
354,Lucas Paquetá,br  BRA,MF,West Ham,25-168,1997,11.9,449,570,78.8,7133,2104,241,276,87.3,150,189,79.4,40,58,69.0,2,0.9,1.1,+1.1,13,46,13,2,73
355,Thomas Partey,gh  GHA,MF,Arsenal,29-243,1993,16.1,974,1133,86.0,17074,5189,442,490,90.2,403,454,88.8,104,147,70.7,0,0.8,0.8,-0.8,14,126,11,0,121
356,Nathan Patterson,sct  SCO,"DF,MF",Everton,21-118,2001,11.0,396,517,76.6,5831,2105,234,258,90.7,136,180,75.6,18,53,34.0,0,0.4,0.6,-0.4,4,16,6,2,20
357,Ben Pearson,eng  ENG,MF,Bournemouth,28-038,1995,3.2,108,134,80.6,1814,501,50,58,86.2,45,55,81.8,8,15,53.3,0,0.0,0.0,0.0,0,8,0,0,5
358,Facundo Pellistri,uy  URU,FW,Manchester Utd,21-053,2001,0.4,8,8,100.0,104,0,5,5,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
359,Andreas Pereira,br  BRA,MF,Fulham,27-041,1996,20.2,464,722,64.3,8608,3003,219,279,78.5,154,213,72.3,75,163,46.0,5,4.3,3.1,+0.7,48,56,17,9,76
360,Ayoze Pérez,es  ESP,"MF,FW",Leicester City,29-197,1993,4.2,118,171,69.0,1698,469,75,89,84.3,28,43,65.1,9,18,50.0,1,1.5,0.6,-0.5,11,13,6,0,20
361,Ivan Perišić,hr  CRO,"DF,MF",Tottenham,34-009,1989,15.0,474,727,65.2,8389,2492,230,286,80.4,166,251,66.1,64,139,46.0,5,3.7,3.6,+1.3,30,18,26,18,42
362,Romain Perraud,fr  FRA,DF,Southampton,25-142,1997,12.3,372,528,70.5,5276,2066,221,264,83.7,123,165,74.5,17,52,32.7,2,1.5,1.3,+0.5,11,28,8,4,37
363,Kalvin Phillips,eng  ENG,MF,Manchester City,27-071,1995,0.2,16,20,80.0,303,76,5,8,62.5,10,10,100.0,1,2,50.0,0,0.0,0.0,0.0,0,4,0,0,1
364,Nathaniel Phillips,eng  ENG,DF,Liverpool,25-327,1997,0.7,71,82,86.6,1364,602,32,34,94.1,27,29,93.1,9,14,64.3,0,0.0,0.0,0.0,0,7,0,0,9
365,Jordan Pickford,eng  ENG,GK,Everton,28-341,1994,20.0,455,736,61.8,14534,11049,108,109,99.1,146,147,99.3,197,472,41.7,1,0.1,0.3,+0.9,2,29,1,0,1
366,Ethan Pinnock,jm  JAM,DF,Brentford,29-258,1993,13.0,353,486,72.6,6372,2361,136,175,77.7,173,214,80.8,34,74,45.9,0,0.6,0.4,-0.6,4,23,0,0,25
367,Daniel Podence,pt  POR,"FW,MF",Wolves,27-113,1995,14.6,339,498,68.1,5580,1665,175,230,76.1,110,159,69.2,35,62,56.5,0,1.9,1.4,-1.9,28,25,30,5,75
368,Nick Pope,eng  ENG,GK,Newcastle Utd,30-298,1992,21.0,359,536,67.0,10065,6945,72,72,100.0,159,165,96.4,125,296,42.2,0,0.0,0.0,0.0,0,9,0,0,1
369,Dennis Praet,be  BEL,MF,Leicester City,28-273,1994,4.0,97,129,75.2,1345,313,56,65,86.2,31,40,77.5,4,10,40.0,0,0.0,0.1,0.0,0,4,3,0,10
370,Isaac Price,nir  NIR,MF,Everton,19-138,2003,0.4,12,14,85.7,203,44,6,7,85.7,5,6,83.3,1,1,100.0,0,0.1,0.0,-0.1,1,1,0,0,1
371,Christian Pulisic,us  USA,"FW,DF",Chelsea,24-146,1998,6.8,185,229,80.8,2467,412,123,141,87.2,46,57,80.7,8,13,61.5,1,0.5,0.3,+0.5,11,12,1,0,16
372,Aaron Ramsdale,eng  ENG,GK,Arsenal,24-273,1998,20.0,382,575,66.4,10072,7081,98,103,95.1,171,174,98.3,113,295,38.3,0,0.0,0.0,0.0,0,18,2,0,4
373,Jacob Ramsey,eng  ENG,MF,Aston Villa,21-259,2001,13.7,415,502,82.7,5820,1436,249,285,87.4,126,148,85.1,21,29,72.4,2,1.6,0.7,+0.4,17,45,11,0,53
374,Marcus Rashford,eng  ENG,FW,Manchester Utd,25-103,1997,19.9,387,514,75.3,5577,1318,251,298,84.2,92,114,80.7,26,44,59.1,3,2.4,2.0,+0.6,17,21,32,2,52
375,David Raya,es  ESP,GK,Brentford,27-149,1995,21.0,568,893,63.6,18869,14702,82,85,96.5,227,233,97.4,258,571,45.2,0,0.1,0.1,-0.1,2,37,3,0,8
376,Tim Ream,us  USA,DF,Fulham,35-129,1987,22.0,1073,1247,86.0,23344,8058,253,292,86.6,631,680,92.8,181,256,70.7,0,0.0,0.2,0.0,0,81,0,0,75
377,Nathan Redmond,eng  ENG,DF,Southampton,28-342,1994,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
378,Harrison Reed,eng  ENG,MF,Fulham,28-015,1995,19.2,550,726,75.8,8410,2184,304,361,84.2,179,219,81.7,41,77,53.2,1,1.8,1.0,-0.8,20,48,18,7,56
379,Bobby Reid,jm  JAM,"FW,DF",Fulham,30-009,1993,19.3,477,687,69.4,7239,2503,254,314,80.9,172,238,72.3,25,64,39.1,1,1.2,0.9,-0.2,13,27,23,7,43
380,Declan Rice,eng  ENG,MF,West Ham,24-028,1999,21.0,1140,1297,87.9,20917,5701,530,592,89.5,447,467,95.7,144,195,73.8,1,2.2,1.0,-1.2,26,154,8,3,153
381,Chris Richards,us  USA,DF,Crystal Palace,22-320,2000,3.9,113,137,82.5,2210,680,35,44,79.5,63,70,90.0,15,23,65.2,0,0.3,0.0,-0.3,1,7,0,0,8
382,Richarlison,br  BRA,"MF,FW",Tottenham,25-277,1997,5.4,111,150,74.0,1711,501,58,77,75.3,34,44,77.3,9,12,75.0,2,1.3,1.1,+0.7,9,10,8,2,19
383,Jaïro Riedewald,nl  NED,"DF,FW",Crystal Palace,26-155,1996,0.5,26,35,74.3,351,74,17,18,94.4,9,13,69.2,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0
384,Matt Ritchie,sct  SCO,FW,Newcastle Utd,33-154,1989,0.0,2,3,66.7,19,4,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
385,Andrew Robertson,sct  SCO,DF,Liverpool,28-337,1994,14.7,875,1110,78.8,14981,4652,417,468,89.1,372,444,83.8,71,145,49.0,5,3.4,3.4,+1.6,30,50,20,10,76
386,Antonee Robinson,us  USA,DF,Fulham,25-187,1997,18.3,729,989,73.7,12439,4994,326,374,87.2,322,415,77.6,65,149,43.6,0,0.7,0.9,-0.7,11,56,22,11,70
387,Marc Roca,es  ESP,MF,Leeds United,26-077,1996,16.2,662,862,76.8,10735,4340,341,396,86.1,244,303,80.5,54,113,47.8,1,0.9,1.0,+0.1,17,108,11,0,115
388,Marek Rodák,sk  SVK,GK,Fulham,26-060,1996,2.0,29,61,47.5,1170,1037,3,3,100.0,8,9,88.9,17,48,35.4,0,0.0,0.0,0.0,0,0,0,0,0
389,Rodri,es  ESP,MF,Manchester City,26-234,1996,19.3,1707,1870,91.3,31638,7738,673,730,92.2,801,854,93.8,203,238,85.3,4,2.2,2.6,+1.8,22,178,21,1,169
390,Rodrigo,es  ESP,"FW,MF",Leeds United,31-342,1991,14.4,274,390,70.3,4040,732,145,185,78.4,83,120,69.2,23,40,57.5,1,1.5,0.7,-0.5,13,19,11,2,30
391,Mads Roerslev,dk  DEN,DF,Brentford,23-232,1999,9.4,151,237,63.7,2402,888,83,109,76.1,52,68,76.5,12,39,30.8,0,1.0,0.7,-1.0,7,12,6,4,16
392,Cristian Romero,ar  ARG,DF,Tottenham,24-290,1998,13.3,681,783,87.0,12514,4407,256,289,88.6,349,368,94.8,61,88,69.3,0,0.3,0.5,-0.3,3,43,5,0,51
393,Oriol Romeu,es  ESP,MF,Southampton,31-140,1991,0.8,28,30,93.3,453,79,10,11,90.9,15,16,93.8,2,2,100.0,0,0.0,0.2,0.0,0,0,2,0,4
394,Cristiano Ronaldo,pt  POR,FW,Manchester Utd,38-006,1985,5.8,121,162,74.7,1412,258,85,97,87.6,27,39,69.2,1,5,20.0,0,0.4,0.2,-0.4,6,7,1,0,12
395,Connor Ronan,ie  IRL,MF,Wolves,24-342,1998,0.0,3,4,75.0,37,18,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,0
396,Salomón Rondón,ve  VEN,FW,Everton,33-148,1989,1.2,22,29,75.9,203,35,15,21,71.4,3,3,100.0,0,0,,0,0.2,0.1,-0.2,2,2,1,0,1
397,Joe Rothwell,eng  ENG,"MF,DF",Bournemouth,28-031,1995,1.7,60,70,85.7,1012,291,28,31,90.3,25,27,92.6,5,9,55.6,0,0.2,0.5,-0.2,3,5,4,0,8
398,Georginio Rutter,fr  FRA,FW,Leeds United,20-297,2002,0.6,3,8,37.5,47,0,1,1,100.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
399,José Sá,pt  POR,GK,Wolves,30-025,1993,21.0,523,722,72.4,12821,8600,131,134,97.8,280,288,97.2,111,293,37.9,0,0.0,0.0,0.0,0,7,0,0,0
400,Marcel Sabitzer,at  AUT,MF,Manchester Utd,28-331,1994,1.0,43,53,81.1,695,186,21,24,87.5,17,22,77.3,4,4,100.0,0,0.3,0.2,-0.3,3,4,3,1,8
401,Allan Saint-Maximin,fr  FRA,FW,Newcastle Utd,25-336,1997,6.1,147,212,69.3,2468,799,76,100,76.0,56,80,70.0,13,16,81.3,3,1.2,1.1,+1.8,9,13,16,2,34
402,Bukayo Saka,eng  ENG,FW,Arsenal,21-159,2001,19.0,572,744,76.9,8460,1975,351,400,87.8,155,195,79.5,44,84,52.4,7,4.6,3.2,+2.4,47,22,35,9,48
403,Mohamed Salah,eg  EGY,FW,Liverpool,30-241,1992,19.7,404,537,75.2,5229,1527,258,310,83.2,103,138,74.6,15,26,57.7,4,3.7,3.1,+0.3,38,23,39,3,66
404,William Saliba,fr  FRA,DF,Arsenal,21-324,2001,19.8,1188,1296,91.7,21090,8281,483,512,94.3,613,654,93.7,75,99,75.8,1,0.9,0.2,+0.1,4,56,2,0,62
405,Mohammed Salisu,gh  GHA,DF,Southampton,23-300,1999,20.0,825,1122,73.5,15137,6910,332,380,87.4,406,512,79.3,81,196,41.3,1,0.5,0.4,+0.5,5,75,6,4,77
406,Davinson Sánchez,co  COL,DF,Tottenham,26-244,1996,6.2,339,386,87.8,6152,1814,120,124,96.8,199,215,92.6,17,39,43.6,0,0.1,0.2,-0.1,1,27,1,1,24
407,Robert Sánchez,es  ESP,GK,Brighton,25-085,1997,20.0,516,692,74.6,12086,7881,157,158,99.4,250,259,96.5,102,260,39.2,0,0.0,0.0,0.0,0,11,0,0,0
408,Jadon Sancho,eng  ENG,FW,Manchester Utd,22-323,2000,8.3,264,322,82.0,3179,754,193,218,88.5,50,60,83.3,6,12,50.0,1,1.1,1.2,-0.1,17,7,17,0,32
409,Morgan Sanson,fr  FRA,MF,Aston Villa,28-177,1994,0.1,5,7,71.4,55,12,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
