,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
128,Juan Cuadrado,co  COL,"MF,FW",Juventus,27,1988,19.2,4,,11,,,0.57,,0.36,,0,0
129,Marco D'Alessandro,it  ITA,"FW,MF",Atalanta,24,1991,12.8,3,,5,,,0.39,,0.60,,0,0
130,Danilo D'Ambrosio,it  ITA,"DF,MF",Inter,26,1988,18.0,2,,2,,,0.11,,1.00,,0,0
131,Dario Dainelli,it  ITA,DF,Chievo,36,1979,15.3,1,,1,,,0.07,,1.00,,0,0
132,Felipe dal Belo,br  BRA,DF,Udinese,31,1984,23.8,1,,5,,,0.21,,0.20,,0,0
133,Sebastien De Maio,fr  FRA,DF,Genoa,28,1987,24.8,1,,4,,,0.16,,0.25,,0,0
134,Daniele De Rossi,it  ITA,"MF,DF",Roma,32,1983,21.2,1,,2,,,0.09,,0.50,,0,0
135,Morgan De Sanctis,it  ITA,GK,Roma,38,1977,4.0,0,,0,,,0.00,,,,0,0
136,Mattia De Sciglio,it  ITA,DF,Milan,22,1992,20.4,0,,2,,,0.10,,0.00,,0,0
137,Lorenzo De Silvestri,it  ITA,"MF,DF",Sampdoria,27,1988,15.5,1,,5,,,0.32,,0.20,,0,0
138,Grégoire Defrel,mq  MTQ,FW,Sassuolo,24,1991,22.8,7,,15,,,0.66,,0.47,,0,0
139,Fabio Della Giovanna,it  ITA,DF,Inter,18,1997,0.1,0,,0,,,0.00,,,,0,0
140,Germán Denis,ar  ARG,FW,Atalanta,33,1981,10.8,4,,10,,,0.92,,0.30,,1,2
141,Mattia Destro,it  ITA,FW,Bologna,24,1991,23.7,8,,27,,,1.14,,0.22,,2,3
142,Antonio Di Gaudio,it  ITA,"MF,FW",Carpi,25,1989,16.7,3,,10,,,0.60,,0.30,,0,0
143,Lorenzo Di Livio,it  ITA,MF,Roma,18,1997,0.2,0,,0,,,0.00,,,,0,0
144,Antonio Di Natale,it  ITA,FW,Udinese,37,1977,12.8,2,,13,,,1.02,,0.08,,1,1
145,Alessandro Diamanti,it  ITA,"FW,MF",Atalanta,32,1983,9.5,1,,5,,,0.53,,0.20,,0,0
146,Amadou Diawara,gn  GUI,MF,Bologna,18,1997,30.3,0,,1,,,0.03,,0.00,,0,0
147,Lucas Digne,fr  FRA,DF,Roma,22,1993,31.7,3,,7,,,0.22,,0.43,,0,0
148,Federico Dionisi,it  ITA,FW,Frosinone,28,1987,27.1,9,,25,,,0.92,,0.32,,1,1
149,Assane Dioussé,sn  SEN,MF,Empoli,17,1997,9.6,0,,1,,,0.10,,0.00,,0,0
150,Berat Djimsiti,al  ALB,DF,Atalanta,22,1993,3.0,0,,0,,,0.00,,,,0,0
151,Dodô,br  BRA,"MF,DF",Sampdoria,23,1992,15.8,0,,2,,,0.13,,0.00,,0,0
152,Maurizio Domizzi,it  ITA,DF,Udinese,35,1980,3.0,0,,0,,,0.00,,,,0,0
153,Gianluigi Donnarumma,it  ITA,GK,Milan,16,1999,29.2,0,,0,,,0.00,,,,0,0
154,Godfred Donsah,gh  GHA,MF,Bologna,19,1996,14.9,2,,9,,,0.60,,0.22,,0,0
155,Boukary Dramé,sn  SEN,"DF,MF",Atalanta,30,1985,22.8,0,,5,,,0.22,,0.00,,0,0
156,Alfred Duncan,gh  GHA,MF,Sassuolo,22,1993,27.6,1,,6,,,0.22,,0.17,,0,0
157,Paulo Dybala,ar  ARG,FW,Juventus,21,1993,27.1,19,,43,,,1.58,,0.30,,6,6
