,Player,Varified,Weekly Gross,Annual Gross,Gross Bonus,Expiration,Length,Total Gross,Release Clause,Status,Pos. group,Pos.,Age,Country,Club
347,Gerard Gumbau,,"€ 4,038","€ 210,000",,"Jun 30, 2023",1-yr,"€ 210,000",,Starter,M,DM,27,Spain,Elche
348,Pedro Bigas,,"€ 4,038","€ 210,000",,"Jun 30, 2023",1-yr,"€ 210,000",,Starter,D,CB,32,Spain,Elche
349,Santiago Arzamendia,,"€ 3,846","€ 200,000",,"Jun 30, 2025",3-yrs,"€ 600,000",,Reserve,D,LB,24,Paraguay,Cadiz
350,Joan García,,"€ 3,846","€ 200,000",,"Jun 30, 2025",3-yrs,"€ 600,000",,Reserve,K,GK,21,Spain,Espanyol
351,Ibrahima Kébé,,"€ 3,462","€ 180,000",,"Jun 30, 2024",2-yrs,"€ 360,000",,Reserve,M,DM,22,Mali,Girona
352,Ez Abde,,"€ 3,462","€ 180,000",,"Jun 30, 2023",1-yr,"€ 180,000",,Reserve,F,LW,20,Morocco,Osasuna
353,Samú Costa,,"€ 3,462","€ 180,000",,"Jun 30, 2026",4-yrs,"€ 720,000",,Starter,M,DM,21,Portugal,Almeria
354,Fran García,,"€ 3,269","€ 170,000",,"Jun 30, 2025",3-yrs,"€ 510,000",,Starter,D,LB,23,Spain,Rayo Vallecano
355,Isi Palazón,,"€ 3,269","€ 170,000",,"Jun 30, 2025",3-yrs,"€ 510,000",,Starter,F,RW,27,Spain,Rayo Vallecano
356,Sergio Akieme,,"€ 3,269","€ 170,000",,"Jun 30, 2026",4-yrs,"€ 680,000",,Starter,D,LB,24,Equatorial Guinea,Almeria
357,Álex Balde,,"€ 3,077","€ 160,000",,"Jun 30, 2024",2-yrs,"€ 320,000","€ 500,000,000",Starter,D,LB,18,Spain,Barcelona
358,Arnau Martínez,,"€ 3,077","€ 160,000",,"Jun 30, 2025",3-yrs,"€ 480,000",,Starter,D,RB,19,Spain,Girona
359,Mario Hernández,,"€ 3,077","€ 160,000",,"Jun 30, 2023",1-yr,"€ 160,000",,Reserve,D,RB,23,Spain,Rayo Vallecano
360,Andrés Martín,,"€ 3,077","€ 160,000",,"Jun 30, 2024",2-yrs,"€ 320,000",,Reserve,F,CF,23,Spain,Rayo Vallecano
361,Juan Iglesias,,"€ 2,981","€ 155,000",,"Jun 30, 2026",4-yrs,"€ 620,000",,Starter,D,RB,24,Spain,Getafe
362,Josan,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Reserve,F,RW,32,Spain,Elche
363,Aleix García,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Starter,M,CM,25,Spain,Girona
364,Miguel Ángel Morro,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Reserve,K,GK,21,Spain,Rayo Vallecano
365,Samu Saiz,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Reserve,F,LW,31,Spain,Girona
366,Santiago Bueno,,"€ 2,981","€ 155,000",,"Jun 30, 2024",2-yrs,"€ 310,000",,Starter,D,CB,23,Uruguay,Girona
367,Gonzalo Verdú,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Starter,D,CB,33,Spain,Elche
368,Helibelton Palacios,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Starter,D,RB,29,Colombia,Elche
369,Largie Ramazani,,"€ 2,981","€ 155,000",,"Jun 30, 2025",3-yrs,"€ 465,000",,Starter,F,LW,21,Belgium,Almeria
370,Álvaro Aguado,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Reserve,M,CM,26,Spain,Valladolid
371,Diego González,,"€ 2,981","€ 155,000",,"Jun 30, 2024",2-yrs,"€ 310,000",,Reserve,D,CB,27,Spain,Elche
372,Ramón Terrats,,"€ 2,981","€ 155,000",,"Jun 30, 2024",2-yrs,"€ 310,000",,Reserve,M,DM,21,Spain,Girona
373,Arnau Puigmal,,"€ 2,981","€ 155,000",,"Jun 30, 2026",4-yrs,"€ 620,000",,Reserve,M,CM,21,Spain,Almeria
374,Rui Silva,,"€ 2,981","€ 155,000",,"Jun 30, 2026",4-yrs,"€ 620,000",,Starter,K,GK,28,Portugal,Real Betis
375,Kike Saverio,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Reserve,F,LW,23,Ecuador,Osasuna
376,Valery Fernández,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Reserve,F,RW,22,Spain,Girona
377,Enzo Roco,,"€ 2,981","€ 155,000",,"Jun 30, 2023",1-yr,"€ 155,000",,Reserve,D,CB,30,Chile,Elche
378,Diego Conde,,"€ 2,981","€ 155,000",,"Jun 30, 2024",2-yrs,"€ 310,000",,Reserve,K,GK,23,Spain,Getafe
379,Srdjan Babic,,"€ 2,981","€ 155,000",,"Jun 30, 2026",4-yrs,"€ 620,000",,Starter,D,CB,26,Serbia,Almeria
380,Pep Chavarría,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,D,LB,24,Spain,Rayo Vallecano
381,Pepe Reina,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,K,GK,40,Spain,Villarreal
382,Jaime Seoane,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,M,CM,25,Spain,Getafe
383,Domingos Duarte,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Starter,D,CB,27,Portugal,Getafe
384,Pol Lozano,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,M,CM,22,Spain,Espanyol
385,Diego López,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,K,GK,40,Spain,Rayo Vallecano
386,Diego Fuoli,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,K,GK,24,Spain,Almeria
387,Marko Milovanovic,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Reserve,F,CF,19,Serbia,Almeria
388,David López,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,D,CB,32,Spain,Girona
389,Javi Hernández,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,D,LB,24,Spain,Girona
390,Jesús Vázquez,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,D,LB,19,Spain,Valencia
391,Reinier,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,F,AM,20,Brazil,Girona
392,Johan Mojica,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,D,LB,30,Colombia,Villarreal
393,John Nwankwo,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Starter,D,CB,21,Spain,Elche
394,Robert Navarro,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,F,AM,20,Spain,Real Sociedad
395,Cristhian Mosquera,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,D,CB,18,Spain,Valencia
396,Clément Grenier,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Starter,M,CM,31,France,Mallorca
397,Marcão,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,D,CB,26,Brazil,Sevilla
398,Rodrigo Battaglia,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,M,DM,31,Argentina,Mallorca
399,Manu Vallejo,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,F,LW,25,Spain,Girona
400,Rodrigo Ely,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Starter,D,CB,28,Brazil,Almeria
401,Rodrigo Riquelme,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,F,RW,22,Spain,Girona
402,Manu Sánchez,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,D,LB,22,Spain,Osasuna
403,Roger Martí,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,F,CF,31,Spain,Elche
404,Carlos Clerc,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Starter,D,LB,30,Spain,Elche
405,Brian Oliván,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Starter,D,LB,28,Spain,Espanyol
406,Brian Ocampo,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Starter,F,RW,23,Uruguay,Cadiz
407,Brais Méndez,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Starter,F,RW,25,Spain,Real Sociedad
408,Rubén Peña,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,D,RB,31,Spain,Osasuna
409,Jörgen Strand Larsen,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Starter,F,CF,22,Norway,Celta Vigo
410,Salvi Sánchez,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,F,RW,31,Spain,Rayo Vallecano
411,Luiz Henrique,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Starter,F,RW,21,Brazil,Real Betis
412,Samuel Lino,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,F,LW,22,Brazil,Valencia
413,Zouhair Feddal,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,D,CB,32,Morocco,Valladolid
414,Abdul Mumin,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,D,CB,24,Ghana,Rayo Vallecano
415,Luis Milla,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,M,CM,27,Spain,Getafe
416,Axel Werner,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,K,GK,26,Argentina,Elche
417,José Ángel Carmona,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Starter,D,RB,20,Spain,Sevilla
418,Sergio Asenjo,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Starter,K,GK,33,Spain,Valladolid
419,Awer Mabil,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,F,LW,26,Australia,Cadiz
420,Sergio Camello,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,F,CF,21,Spain,Rayo Vallecano
421,Arnau Tenas,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,"€ 100,000,000",Reserve,K,GK,21,Spain,Barcelona
422,Sergio Escudero,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,D,LB,33,Spain,Valladolid
423,Joseba Zaldua,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,D,RB,30,Spain,Cadiz
424,Antonio Blanco,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,M,DM,22,Spain,Cadiz
425,José Carlos Lazo,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,F,LW,26,Spain,Espanyol
426,José Copete,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Starter,D,CB,22,Spain,Mallorca
427,Joselu,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Starter,F,CF,32,Spain,Espanyol
428,Ángel Algobia,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,M,CM,23,Spain,Getafe
429,Takefusa Kubo,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Starter,F,RW,21,Japan,Real Sociedad
430,André Almeida,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Starter,M,CM,22,Portugal,Valencia
431,Luca de la Torre,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,M,CM,24,United States,Celta Vigo
432,Théo Bongonda,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,F,LW,26,Democratic Republic of the Congo,Cadiz
433,Andoni Zubiaurre,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,K,GK,25,Spain,Real Sociedad
434,Ander Iru,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,K,GK,24,Spain,Athletic Club
435,Ander Capa,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,D,RB,30,Spain,Athletic Club
436,José Luis Morales,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,F,CF,35,Spain,Villarreal
437,Léo Baptistão,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,F,SS,30,Brazil,Almeria
438,Lázaro,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Starter,F,LW,20,Brazil,Almeria
439,Toni Fuidias,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,K,GK,21,Spain,Girona
440,Toni Villa,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,F,LW,27,Spain,Girona
441,Umar Sadiq,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Reserve,F,CF,25,Nigeria,Real Sociedad
442,José Pozo,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,F,AM,26,Spain,Rayo Vallecano
443,Álex Sola,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,D,RB,23,Spain,Real Sociedad
444,Kiko Femenía,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Starter,D,RB,31,Spain,Villarreal
445,Kiko Casilla,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,K,GK,35,Spain,Getafe
446,Vedat Muriqi,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Starter,F,CF,28,Kosovo,Mallorca
447,Alexander Sörloth,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,F,CF,26,Norway,Real Sociedad
448,Víctor Chust,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Starter,D,CB,22,Spain,Cadiz
449,Kenedy,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,F,LW,26,Brazil,Valladolid
450,Vinicius Souza,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,M,DM,23,Brazil,Espanyol
451,Juanjo Narváez,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,F,CF,27,Colombia,Valladolid
452,Williot Swedberg,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,M,CM,18,Sweden,Celta Vigo
453,Yan Couto,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,D,RB,20,Brazil,Girona
454,Yangel Herrera,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,M,CM,24,Venezuela,Girona
455,Aitor Paredes,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,D,CB,22,Spain,Athletic Club
456,Aitor Fernández,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,K,GK,31,Spain,Osasuna
457,Aimar Oroz,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,M,CM,20,Spain,Osasuna
458,Agustín Marchesín,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Starter,K,GK,34,Argentina,Celta Vigo
459,Adrián Embarba,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,F,RW,30,Spain,Almeria
460,Adnan Januzaj,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,F,RW,27,Belgium,Sevilla
461,Juanmi Latasa,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,F,CF,21,Spain,Getafe
462,Momo Mbaye,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,D,CB,24,Senegal,Cadiz
463,Moi Gómez,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Starter,F,LW,28,Spain,Osasuna
464,Mohamed-Ali Cho,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,F,CF,18,France,Real Sociedad
465,Gui Guedes,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Reserve,M,CM,20,Portugal,Almeria
466,Munir El Haddadi,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,F,CF,27,Morocco,Getafe
467,Gorka Guruzeta,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,F,CF,25,Spain,Athletic Club
468,Gonzalo Plata,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Starter,F,RW,21,Ecuador,Valladolid
469,Nahuel Molina,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,D,RB,24,Argentina,Atletico Madrid
470,Gonzalo Melero,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,M,CM,28,Spain,Almeria
471,Gonçalo Paciência,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Reserve,F,CF,28,Portugal,Celta Vigo
472,Nicolás Fernández Mercau,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,D,LB,22,Argentina,Elche
473,Nicolas Jackson,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,F,RW,21,Senegal,Villarreal
474,Houboulang Mendes,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,D,RB,24,Guinea-Bissau,Almeria
475,Gastón Álvarez,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,D,CB,22,Uruguay,Getafe
476,Fernando Pacheco,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,K,GK,30,Spain,Almeria
477,Fede San Emeterio,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Starter,M,CM,25,Spain,Cadiz
478,Federico Fernández,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,D,CB,33,Argentina,Elche
479,Oriol Romeu,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Starter,M,DM,30,Spain,Girona
480,Isco,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Starter,F,AM,30,Spain,Sevilla
481,Miguel Gutiérrez,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Starter,D,LB,21,Spain,Girona
482,Óscar Mingueza,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,D,CB,23,Spain,Celta Vigo
483,Óscar Rodríguez,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Starter,F,AM,24,Spain,Celta Vigo
484,Fabrizio Angileri,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,D,LB,28,Argentina,Getafe
485,Mickaël Malsa,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,,Reserve,M,DM,25,Martinique,Valladolid
486,Pablo Ibáñez,,€ 0,€ 0,,"Jun 30, 2024",2-yrs,€ 0,,Reserve,M,CM,23,Spain,Osasuna
487,Pablo Torre,,€ 0,€ 0,,"Jun 30, 2026",4-yrs,€ 0,"€ 100,000,000",Reserve,F,AM,19,Spain,Barcelona
488,El Bilal Touré,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Starter,F,CF,20,Mali,Almeria
489,Matija Nastasic,,€ 0,€ 0,,"Jun 30, 2023",1-yr,€ 0,,Reserve,D,CB,29,Serbia,Mallorca
490,Edu Expósito,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Starter,M,CM,26,Spain,Espanyol
491,Iván Fresneda,,€ 0,€ 0,,"Jun 30, 2025",3-yrs,€ 0,,Starter,D,RB,17,Spain,Valladolid
492,Martin Svidersky,,€ 0,€ 0,,"Jun 30, 2027",5-yrs,€ 0,,Reserve,M,DM,19,Slovakia,Almeria
493,Kaiky,,€ 0,€ 0,,"Jun 30, 2028",6-yrs,€ 0,,Reserve,D,CB,18,Brazil,Almeria
