,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
218,Oussama Idrissi,"€ 28,462","€ 1,480,000","€ 1,480,000",F,24,Morocco,Sevilla
219,Antonio Sanabria,"€ 28,269","€ 1,470,000","€ 1,470,000",F,24,Paraguay,Real Betis
220,Fernando Pacheco,"€ 28,269","€ 1,470,000","€ 1,470,000",K,28,Spain,Alaves
221,Sergio León,"€ 27,885","€ 1,450,000","€ 1,450,000",F,31,Spain,Levante
222,Yangel Herrera,"€ 27,885","€ 1,450,000","€ 1,450,000",M,22,Venezuela,Granada
223,Cristian Rivero,"€ 27,885","€ 1,450,000","€ 1,450,000",K,22,Spain,Valencia
224,Joaquín,"€ 27,692","€ 1,440,000","€ 1,440,000",F,39,Spain,Real Betis
225,Jaume Costa,"€ 27,500","€ 1,430,000","€ 1,430,000",D,32,Spain,Villarreal
226,Sergi Gómez,"€ 27,500","€ 1,430,000","€ 1,430,000",D,28,Spain,Sevilla
227,Tomás Pina,"€ 27,500","€ 1,430,000","€ 1,430,000",M,33,Spain,Alaves
228,Iñigo Vicente,"€ 27,500","€ 1,430,000","€ 1,430,000",F,22,Spain,Athletic Club
229,Oihan Sancet,"€ 26,923","€ 1,400,000","€ 1,400,000",F,20,Spain,Athletic Club
230,Lucas Pérez,"€ 26,731","€ 1,390,000","€ 1,390,000",F,32,Spain,Alaves
231,Facundo Roncaglia,"€ 26,538","€ 1,380,000","€ 1,380,000",D,33,Argentina,Osasuna
232,Sergio Canales,"€ 26,346","€ 1,370,000","€ 1,370,000",F,29,Spain,Real Betis
233,Ángel Rodríguez,"€ 26,154","€ 1,360,000","€ 1,360,000",F,33,Spain,Getafe
234,Darwin Machís,"€ 26,154","€ 1,360,000","€ 1,360,000",F,27,Venezuela,Granada
235,Augusto Solari,"€ 25,962","€ 1,350,000","€ 1,350,000",F,29,Argentina,Celta Vigo
236,Brais Méndez,"€ 25,962","€ 1,350,000","€ 1,350,000",F,23,Spain,Celta Vigo
237,Rubén García,"€ 25,962","€ 1,350,000","€ 1,350,000",F,27,Spain,Osasuna
