,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
215,Asier Illarramendi,es  ESP,MF,Real Madrid,24,1990,13.9,3,0,,24,,,,,,,,
216,Andrés Iniesta,es  ESP,MF,Barcelona,30,1984,17.5,3,0,,13,,,,,,,,
217,Emanuel Insúa,ar  ARG,DF,Granada,23,1991,11.3,4,1,,26,,,,,,,,
218,Emiliano Insúa,ar  ARG,DF,Rayo Vallecano,25,1989,20.0,7,0,,35,,,,,,,,
219,Pablo Insua,es  ESP,DF,La Coruña,20,1993,13.6,6,0,,21,,,,,,,,
220,Gorka Iraizoz,es  ESP,GK,Athletic Club,33,1981,34.0,3,0,,0,,,,,,,,
221,Andoni Iraola,es  ESP,"DF,MF",Athletic Club,32,1982,17.0,5,0,,22,,,,,,,,
222,Xabi Irureta,es  ESP,GK,Eibar,28,1986,33.0,3,0,,0,,,,,,,,
223,Isco,es  ESP,"FW,MF",Real Madrid,22,1992,25.9,6,1,,32,,,,,,,,
224,Manuel Iturra,cl  CHI,MF,Granada,30,1984,26.2,5,0,,37,,,,,,,,
225,Ander Iturraspe,es  ESP,MF,Athletic Club,25,1989,20.2,6,0,,30,,,,,,,,
226,Andreas Ivanschitz,at  AUT,MF,Levante,30,1983,14.7,3,0,,14,,,,,,,,
227,Ivi,es  ESP,"FW,MF",Getafe,20,1994,1.6,0,0,,2,,,,,,,,
228,Jaime,es  ESP,GK,Eibar,33,1980,5.0,0,0,,0,,,,,,,,
229,Jason,es  ESP,"FW,MF",Levante,20,1994,0.6,0,0,,0,,,,,,,,
230,Jesé,es  ESP,FW,Real Madrid,21,1993,6.2,2,0,,5,,,,,,,,
231,Jesús,es  ESP,GK,Levante,26,1988,6.0,1,0,,0,,,,,,,,
232,Raúl Jiménez,mx  MEX,FW,Atlético Madrid,23,1991,6.6,0,0,,14,,,,,,,,
233,Bojan Jokić,si  SVN,"DF,MF",Villarreal,28,1986,6.1,2,0,,8,,,,,,,,
234,Jonathas,br  BRA,FW,Elche,25,1989,33.5,11,1,,96,,,,,,,,
235,Joan Jordán,es  ESP,MF,Espanyol,20,1994,1.3,0,0,,0,,,,,,,,
236,Jozabed,es  ESP,MF,Rayo Vallecano,23,1991,13.2,2,0,,14,,,,,,,,
237,Juankar,es  ESP,"DF,FW",Granada,24,1990,14.9,6,1,,19,,,,,,,,
238,Juanmi,es  ESP,"FW,MF",Málaga,21,1993,24.7,4,0,,49,,,,,,,,
239,Juanpi,ve  VEN,MF,Málaga,20,1994,2.3,1,0,,3,,,,,,,,
240,Gaël Kakuta,cd  COD,"FW,MF",Rayo Vallecano,23,1991,33.9,1,0,,30,,,,,,,,
241,Carlos Kameni,cm  CMR,GK,Málaga,30,1984,38.0,3,0,,0,,,,,,,,
242,Nikolaos Karabelas,gr  GRE,DF,Levante,29,1984,10.5,6,0,,14,,,,,,,,
243,Sami Khedira,de  GER,MF,Real Madrid,27,1987,3.4,2,0,,6,,,,,,,,
244,Koke,es  ESP,MF,Atlético Madrid,22,1992,32.0,9,0,,41,,,,,,,,
245,Timothée Kolodziejczak,fr  FRA,DF,Sevilla,22,1991,17.5,3,0,,13,,,,,,,,
246,Rene Krhin,si  SVN,"FW,MF",Córdoba,24,1990,13.3,4,0,,18,,,,,,,,
247,Michael Krohn-Dehli,dk  DEN,"FW,MF",Celta Vigo,31,1983,34.2,7,0,,44,,,,,,,,
248,Toni Kroos,de  GER,MF,Real Madrid,24,1990,33.9,6,0,,34,,,,,,,,
249,Grzegorz Krychowiak,pl  POL,MF,Sevilla,24,1990,30.1,13,1,,82,,,,,,,,
250,Alberto de la Bella,es  ESP,DF,Real Sociedad,28,1985,21.2,4,0,,33,,,,,,,,
251,Mehdi Lacen,dz  ALG,MF,Getafe,30,1984,28.9,7,0,,54,,,,,,,,
252,Ángel Lafita,es  ESP,"FW,MF",Getafe,29,1984,11.8,3,0,,40,,,,,,,,
253,Roberto Lago,es  ESP,"DF,MF",Getafe,28,1985,11.4,3,1,,13,,,,,,,,
254,Aymeric Laporte,es  ESP,DF,Athletic Club,20,1994,32.9,11,1,,37,,,,,,,,
255,Javi Lara,es  ESP,MF,Eibar,28,1985,19.1,3,0,,11,,,,,,,,
256,Joaquín Larrivey,ar  ARG,FW,Celta Vigo,29,1984,24.4,5,0,,36,,,,,,,,
257,Daniel Larsson,se  SWE,"FW,MF",Granada,27,1987,0.5,0,0,,1,,,,,,,,
258,Laure,es  ESP,DF,La Coruña,29,1985,15.2,4,0,,25,,,,,,,,
259,Dejan Lekić,rs  SRB,FW,Eibar,29,1985,4.3,2,0,,10,,,,,,,,
260,Pedro León,es  ESP,"FW,MF",Getafe,27,1986,16.3,1,0,,14,,,,,,,,
