,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
495,Harry Winks,eng  ENG,MF,Tottenham,23,1996,24.7,1840,58,413,1230,318,4,1773,14,22,63.6,15,1,1311,7069,3603,140,34,1,10,15,1423,1378,96.8,24
496,Chris Wood,nz  NZL,FW,Burnley,27,1991,27.1,763,22,59,309,421,112,749,9,20,45.0,10,1,365,1074,504,28,11,6,85,31,1314,580,44.1,236
497,Granit Xhaka,ch  SUI,MF,Arsenal,26,1992,28.7,2145,126,637,1322,312,18,2095,27,32,84.4,27,2,1528,7179,3508,129,32,2,10,12,1643,1559,94.9,35
498,Andriy Yarmolenko,ua  UKR,"MF,FW",West Ham,29,1989,11.0,545,11,82,223,267,58,533,10,16,62.5,10,0,406,2118,1142,64,11,22,24,18,572,418,73.1,57
499,DeAndre Yedlin,us  USA,DF,Newcastle Utd,26,1993,10.4,407,39,151,165,110,5,366,5,11,45.5,6,0,212,1021,591,26,10,0,6,5,277,225,81.2,30
500,Maya Yoshida,jp  JPN,DF,Southampton,30,1988,6.2,317,39,167,144,20,5,309,1,1,100.0,1,0,170,792,288,6,2,0,1,3,194,187,96.4,4
501,Ashley Young,eng  ENG,DF,Manchester Utd,34,1985,10.6,836,37,194,442,239,11,656,8,17,47.1,9,2,503,2064,1150,46,16,3,5,3,508,479,94.3,19
502,Pablo Zabaleta,ar  ARG,DF,West Ham,34,1985,6.6,398,37,118,205,93,8,332,0,2,0.0,0,0,197,992,529,29,10,1,2,2,228,202,88.6,15
503,Wilfried Zaha,ci  CIV,"MF,FW",Crystal Palace,26,1992,36.4,1859,10,194,869,995,226,1831,162,262,61.8,172,7,1716,9281,6045,307,81,75,123,172,1956,1459,74.6,292
504,Christoph Zimmermann,de  GER,DF,Norwich City,26,1993,15.9,826,183,550,321,20,7,807,4,6,66.7,4,0,443,3086,1887,25,4,0,4,5,456,453,99.3,2
505,Oleksandr Zinchenko,ua  UKR,DF,Manchester City,22,1996,14.2,1467,29,280,749,527,10,1353,5,10,50.0,5,0,961,3895,2241,104,43,0,6,8,1143,1101,96.3,51
506,Richairo Živković,nl  NED,FW,Sheffield Utd,22,1996,1.2,31,0,1,15,18,2,28,1,3,33.3,1,0,23,104,61,3,1,0,4,3,56,23,41.1,10
507,Kurt Zouma,fr  FRA,DF,Chelsea,24,1994,26.0,2291,265,1222,1160,50,20,2263,8,12,66.7,9,0,1588,7897,4212,86,15,0,6,5,1698,1674,98.6,14
